#{"t_start": 1595474696.2615278, "env_id": null}
r,l,t
-1866.398502,1428,10.568256
-1736.229393,1428,17.90581
-1852.161343,1428,25.576557
-1416.121528,1428,32.946923
-1746.253592,1428,40.548137
-1943.400828,1428,48.143904
-2050.149501,1428,55.753655
-2561.921514,1428,63.933702
-2046.046317,1428,71.8733
-1300.915841,1428,79.658651
-1008.399854,1428,88.000053
-1015.950123,1428,95.770528
-1839.194779,1428,103.860261
-1252.980277,1428,111.677835
-1547.400672,1428,119.499565
-1088.836381,1428,126.779289
-2157.021377,1428,134.102677
-1908.275291,1428,141.840235
-969.185341,1428,149.158208
-1660.930351,1428,156.417675
-1201.832316,1428,163.944931
-1884.06745,1428,171.527647
-1786.752224,1428,178.972209
-1576.318057,1428,186.433897
-1069.820758,1428,193.726406
-1826.687307,1428,201.39854
-1755.187164,1428,208.916915
-1452.423519,1428,216.303917
-1721.672048,1428,224.194326
-1641.740397,1428,231.815151
-1660.926696,1428,239.182008
-1530.804793,1428,246.594228
-1252.063399,1428,254.353274
-1614.352693,1428,261.812313
-1702.477972,1428,269.484193
-1290.086054,1428,277.403936
-1033.889494,1428,284.974271
-1254.943845,1428,292.406384
-1822.574603,1428,299.940567
-885.842932,1428,307.828918
-1567.552008,1428,315.490636
-703.19794,1428,323.020729
-897.33395,1428,401.504112
-975.100915,1428,409.604983
-1551.91153,1428,417.420598
-2184.503056,1428,425.258791
-898.913606,1428,433.048601
-1180.510753,1428,440.685149
-1420.247919,1428,448.188337
-1170.06002,1428,539.417412
-747.786865,1428,547.227467
-1660.449018,1428,554.857212
-1335.700051,1428,562.30128
-1219.248531,1428,570.111198
-2546.033003,1428,577.839281
-1399.687085,1428,585.344836
-1424.021595,1428,698.545388
-1115.734137,1428,706.454426
-1081.284372,1428,714.269271
-1134.873822,1428,721.786351
-1836.296801,1428,729.612251
-1997.908948,1428,736.991787
-1533.192711,1428,744.502907
-767.104869,1428,904.438675
-1163.517507,1428,912.020263
-918.491667,1428,919.407031
-1405.159865,1428,926.971427
-1898.457025,1428,934.985089
-1217.17124,1428,943.0155
-1558.522959,1428,950.970103
-682.508834,1428,1158.95907
-1237.70808,1428,1167.0148
-550.192482,1428,1175.028185
-832.386666,1428,1182.883939
-1188.529706,1428,1190.595061
-467.064518,1428,1198.745739
-1080.694763,1428,1206.984356
-1279.800597,1428,1215.056668
-1398.838187,1428,1222.791781
-1124.839492,1428,1230.648874
-696.030964,1428,1238.229526
-378.37875,1428,1245.964278
-1479.478987,1428,1253.907263
-1556.891774,1428,1261.475227
-446.559473,1428,1298.741205
-850.874969,1428,1306.52044
-1848.701996,1428,1313.982788
-783.068305,1428,1321.335924
-1305.017213,1428,1328.781514
-339.921502,1428,1336.490134
-717.619443,1428,1344.21896
-1306.935905,1428,1434.277725
-1094.525591,1428,1441.804808
-997.060913,1428,1449.255849
-1150.0402,1428,1456.759288
-773.466148,1428,1464.435126
-520.090184,1428,1472.083973
-689.905157,1428,1479.541036
-1563.533458,1428,1671.883498
-1235.020489,1428,1678.957829
-415.698001,1428,1686.60319
-835.170122,1428,1694.178883
-966.979519,1428,1701.926929
-1210.72512,1428,1709.594677
-646.893698,1428,1717.063063
-895.833644,1428,1743.789268
-726.900027,1428,1751.477156
-942.555859,1428,1759.041575
-385.793418,1428,1766.436505
-773.82661,1428,1773.927577
