#{"t_start": 1594411598.8056583, "env_id": null}
r,l,t
-463.100551,1428,8.585668
-503.639166,1428,14.329899
-1022.562436,1428,21.544866
-798.824123,1428,27.481939
-735.58765,1428,33.33592
-116.576107,1428,39.99488
-342.82865,1428,45.575347
-992.429932,1428,51.399547
-710.541238,1428,57.968141
-237.758391,1428,63.718781
-1015.0958,1428,69.413487
-260.373068,1428,76.341959
-826.437499,1428,82.246975
-567.546768,1428,88.024946
-460.245961,1428,94.683858
-461.18465,1428,100.343248
-651.941091,1428,107.211711
-541.419774,1428,112.811793
-485.913074,1428,118.559913
-283.397301,1428,125.260573
-686.169901,1428,131.04189
-872.633436,1428,136.589162
-239.604519,1428,143.33154
-1188.412646,1428,149.22113
-351.164862,1428,155.038304
-427.462386,1428,161.820457
-449.938624,1428,167.621347
-706.754567,1428,173.270136
-619.109907,1428,179.984713
-712.791047,1428,185.855576
-794.558772,1428,192.633394
-394.880412,1428,198.370608
-683.44283,1428,204.383777
-669.617061,1428,211.199148
-881.248329,1428,216.925278
-782.279882,1428,222.57133
-787.514213,1428,229.42175
-398.581499,1428,234.971109
-285.940625,1428,240.622621
-190.542355,1428,247.20125
-649.43234,1428,253.179694
-440.139918,1428,258.901871
-417.683021,1428,265.617135
-617.639898,1428,271.403495
-667.409797,1428,278.290152
-885.287268,1428,283.777582
-954.557539,1428,289.521774
-688.313671,1428,296.266031
-995.924215,1428,302.069375
-405.145911,1428,307.952022
-639.964715,1428,314.908242
-655.453066,1428,320.726291
-222.275281,1428,326.337087
-698.002036,1428,332.925042
-513.760577,1428,338.923762
-382.134412,1428,344.596679
-496.546512,1428,351.239355
-186.084429,1428,357.017416
-701.121259,1428,363.486439
-712.649227,1428,368.970181
-482.452655,1428,374.568265
-582.572319,1428,381.461701
-1321.575893,1428,387.180965
-607.869697,1428,392.885215
-949.119277,1428,400.129353
-812.108557,1428,405.912855
-923.869322,1428,411.698029
-265.3478,1428,418.551263
-433.471338,1428,424.240122
-411.572977,1428,429.753668
-239.975191,1428,436.5617
-170.867082,1428,442.376425
-425.970001,1428,449.205223
-416.070523,1428,454.808847
-258.910144,1428,460.584996
-83.14495,1428,467.296238
-638.626619,1428,472.755572
-482.226263,1428,478.463668
-875.118063,1428,485.184695
-205.07451,1428,491.179924
-340.240561,1428,496.824048
-799.655673,1428,503.555076
164.00974,1428,509.529607
-1076.505232,1428,515.469694
-680.3966,1428,522.327229
-606.108809,1428,528.056954
-333.144046,1428,534.655219
-160.905171,1428,540.380731
-399.100106,1428,546.093005
-225.138539,1428,552.950805
-182.678693,1428,558.580183
-1038.762328,1428,564.20049
