#{"t_start": 1594703524.9087148, "env_id": null}
r,l,t
-210.104853,1428,22.236185
-1716.676168,1428,37.192013
-778.005447,1428,52.001842
-1086.26443,1428,66.919321
-652.775946,1428,81.787803
-621.20149,1428,96.768413
-847.560736,1428,111.860919
-560.358098,1428,126.75827
-518.128615,1428,141.818808
-2032.286369,1428,156.621711
-818.512098,1428,171.594002
-2337.315274,1428,186.732881
-2339.517139,1428,202.271658
-1038.158934,1428,218.182156
-939.04589,1428,234.201805
-1345.033678,1428,250.36499
-1334.617725,1428,266.429747
-1183.002148,1428,282.467083
-615.177055,1428,298.641677
-845.73855,1428,314.717354
-885.655086,1428,330.850696
-647.386723,1428,346.941721
-881.259036,1428,363.058691
-1554.275889,1428,379.251985
-2197.80679,1428,395.283833
-2464.736299,1428,411.570041
-2166.190958,1428,427.646494
-768.105311,1428,443.880758
-1108.278908,1428,460.029212
-820.918172,1428,476.298429
-457.307225,1428,492.898839
-933.490581,1428,509.71664
-1461.301525,1428,526.21093
-474.701402,1428,542.569875
-812.458281,1428,558.891425
-1844.079844,1428,575.037569
-871.048162,1428,591.082107
-832.865191,1428,607.241987
-1150.391189,1428,623.510495
-941.055798,1428,639.619374
-749.42225,1428,655.814788
-819.061485,1428,671.960126
-978.411671,1428,688.090966
-1473.096761,1428,704.286035
-1130.902321,1428,720.645295
-1471.186151,1428,736.882584
-248.91934,1428,753.185009
-709.106195,1428,769.44924
-450.64111,1428,785.435176
-908.838576,1428,801.640099
-862.055173,1428,817.893321
-1001.384304,1428,834.132507
-299.579817,1428,850.348305
-911.252623,1428,866.632686
-342.847623,1428,882.728495
-676.061123,1428,898.678961
-1205.410408,1428,914.687315
-444.603513,1428,930.646177
-642.162303,1428,946.821209
-627.474923,1428,962.999682
-905.924706,1428,979.139152
-403.374925,1428,995.304234
-960.168721,1428,1011.38565
-725.913528,1428,1027.506029
-448.375468,1428,1043.656909
-690.102991,1428,1059.92542
-1886.916881,1428,1076.06184
-708.912106,1428,1092.263684
-936.926865,1428,1108.382544
-1557.10652,1428,1124.554365
-831.606019,1428,1140.64997
-1080.266565,1428,1156.91829
-774.824063,1428,1173.091017
-479.826223,1428,1189.206507
-887.020829,1428,1205.294401
-600.109069,1428,1221.303158
-902.199591,1428,1237.37544
-566.577133,1428,1253.43912
-642.96516,1428,1269.759527
-581.211408,1428,1285.877585
-1118.007159,1428,1301.973942
-1357.398901,1428,1318.173277
-933.881793,1428,1334.392121
-687.821929,1428,1350.309598
-657.119851,1428,1366.489853
-1075.120781,1428,1382.664056
-932.730915,1428,1398.817606
-1337.429091,1428,1414.934945
-678.834413,1428,1430.972754
-690.563587,1428,1447.020088
-441.515376,1428,1462.992837
-1251.38557,1428,1479.108848
-677.380925,1428,1495.442433
-423.112169,1428,1511.511318
-607.895228,1428,1527.504493
-517.001116,1428,1543.575341
-312.183475,1428,1559.452713
-346.908414,1428,1575.712664
-541.528588,1428,1591.83346
-724.534362,1428,1608.047447
-354.860716,1428,1624.198327
-980.841734,1428,1640.276512
-354.407651,1428,1656.429149
-202.581659,1428,1672.649017
-662.317819,1428,1688.850696
-320.835205,1428,1704.921783
-221.760953,1428,1721.046184
-222.325472,1428,1737.060105
-1651.085137,1428,1753.09788
-743.543514,1428,1769.197399
-576.568013,1428,1785.478712
-600.402989,1428,1801.551754
-176.357309,1428,1817.675128
-829.575764,1428,1833.647026
-1182.164512,1428,1849.733595
-1307.189679,1428,1866.056772
-1020.677525,1428,1882.088746
-1131.817956,1428,1898.453822
-1204.93561,1428,1914.543815
-31.699123,1428,1930.653503
-662.871869,1428,1946.672267
-736.548684,1428,1962.791665
-443.458378,1428,1978.905663
-886.358073,1428,1995.031413
-626.780043,1428,2011.418878
-67.252804,1428,2027.453203
-253.358777,1428,2043.553136
-551.812107,1428,2059.640031
-1009.499065,1428,2075.791421
-429.983753,1428,2091.894557
-845.914708,1428,2108.054038
-170.692637,1428,2124.32374
-138.667897,1428,2140.528583
-446.157767,1428,2156.583941
-330.454638,1428,2172.711423
-1289.50311,1428,2189.030675
-229.735729,1428,2204.948719
-358.085422,1428,2221.098917
-477.065062,1428,2237.081234
-1088.209315,1428,2253.26128
-1291.766198,1428,2269.122788
-453.917377,1428,2285.220084
-1180.163268,1428,2301.325439
-266.010884,1428,2317.474816
640.553248,1428,2333.491623
-513.889066,1428,2349.548422
-156.610593,1428,2365.807341
-4.346541,1428,2381.980638
-963.734436,1428,2397.913579
-659.511214,1428,2413.904664
-270.414317,1428,2429.930668
-744.361192,1428,2446.038498
-806.079803,1428,2462.197468
-378.675447,1428,2478.310282
-1244.442934,1428,2494.302496
-425.256658,1428,2510.493808
-411.111421,1428,2526.476382
-343.882317,1428,2542.389119
-219.981666,1428,2558.326857
-365.281388,1428,2574.51093
-290.909793,1428,2590.586181
-245.228536,1428,2606.608632
-278.341197,1428,2622.83153
-35.745198,1428,2638.864034
-401.751085,1428,2655.044246
-355.193227,1428,2671.178727
-519.644116,1428,2687.390354
-676.930276,1428,2703.353112
-768.464814,1428,2719.621893
-502.762885,1428,2735.65677
-190.435933,1428,2751.529564
-732.375604,1428,2767.509209
-504.293618,1428,2783.993028
-1120.8647,1428,2800.435382
-1583.260484,1428,2816.823086
-757.639691,1428,2833.194752
-12.406154,1428,2849.393059
-414.0421,1428,2865.423632
44.320854,1428,2881.635944
-570.447604,1428,2897.964857
-693.162738,1428,2914.079342
-400.364948,1428,2930.129955
-503.840907,1428,2946.205776
-613.601375,1428,2962.317874
-708.228395,1428,2978.422775
-380.185647,1428,2994.742016
