#{"t_start": 1594703525.159168, "env_id": null}
r,l,t
-192.474331,1428,12.271792
-731.276843,1428,17.66259
-1133.889413,1428,23.355567
-520.912614,1428,28.79975
-918.679522,1428,34.414988
-258.753401,1428,39.897213
-266.076904,1428,45.463419
-477.418271,1428,50.997636
-526.731536,1428,56.620489
-337.893173,1428,62.306782
-442.159876,1428,67.744948
-109.621892,1428,73.251843
-535.041911,1428,78.884441
-602.82796,1428,84.202961
-232.096511,1428,89.641041
-246.174815,1428,95.098306
-759.607122,1428,100.606367
-1062.586982,1428,106.031861
-552.862981,1428,111.49356
-1139.85075,1428,117.187655
-870.859033,1428,122.72358
-399.528817,1428,128.204021
-570.900843,1428,133.815888
-539.283173,1428,139.544364
-411.557856,1428,145.131451
-560.679949,1428,150.561746
-749.446257,1428,156.427705
-564.486675,1428,161.827688
-1124.886971,1428,167.539424
-742.263378,1428,172.968653
-349.790527,1428,178.551996
-612.133295,1428,184.0646
-1493.657274,1428,189.697565
-344.55187,1428,195.491857
-359.168789,1428,201.260125
-1482.021738,1428,216.700379
-1618.147466,1428,231.03245
-1965.971773,1428,245.315419
-1889.673988,1428,259.71512
-2169.709094,1428,274.374225
-1980.932544,1428,288.694699
-1362.338642,1428,302.878581
-1286.536662,1428,317.69309
-872.291725,1428,331.892953
-1980.637223,1428,346.091396
-1696.386109,1428,360.288651
-1738.631613,1428,375.201274
-1326.840504,1428,389.466872
-1707.661297,1428,404.052508
-1607.962259,1428,418.381575
-1160.77167,1428,433.396271
-446.954169,1428,447.477214
-1515.012627,1428,461.891093
-777.429421,1428,476.867208
-1034.80135,1428,491.420423
-1113.915127,1428,506.127258
-1633.161189,1428,520.745982
-1692.992334,1428,536.037918
-1090.055338,1428,550.54524
-1146.696599,1428,565.041543
-1334.268723,1428,580.090784
-1441.290601,1428,594.600746
-1697.998223,1428,608.971461
-666.843336,1428,623.496663
-945.570435,1428,638.474066
-617.412816,1428,653.022849
-691.781176,1428,667.489141
-838.224423,1428,682.30115
-927.255402,1428,696.376037
-788.762804,1428,710.804789
-1125.808416,1428,725.051267
-501.580014,1428,739.814467
-478.7651,1428,754.152954
-1367.077255,1428,768.377359
-1173.992041,1428,782.693017
-306.804271,1428,797.609426
-453.381684,1428,811.747301
-851.213314,1428,826.171072
-724.703575,1428,841.116736
-594.243234,1428,855.508839
-385.386369,1428,869.69364
-325.825929,1428,884.208958
-1596.53568,1428,898.961203
-514.739867,1428,913.268199
-371.788408,1428,927.375994
-2401.383246,1428,942.239241
-875.73752,1428,956.778175
-328.604303,1428,971.145956
-896.954846,1428,985.419835
-835.333119,1428,1000.279511
-1506.298758,1428,1014.656579
-903.832777,1428,1028.99245
-394.211238,1428,1043.874425
-1476.671578,1428,1058.411405
-884.322767,1428,1072.867561
-458.696249,1428,1087.282022
-971.674867,1428,1102.330564
-560.897701,1428,1116.683246
-1120.861165,1428,1130.974672
-1625.518404,1428,1145.221653
-948.025548,1428,1160.450048
-408.133398,1428,1174.890472
-796.99427,1428,1189.268205
-828.300342,1428,1204.202747
-644.422095,1428,1218.640276
-1240.342293,1428,1233.047076
-684.690777,1428,1247.365671
