#{"t_start": 1594789509.3469863, "env_id": null}
r,l,t
-513.640135,1428,9.289482
-941.583095,1428,14.74328
-903.720293,1428,20.209707
-977.160367,1428,25.637129
-837.183736,1428,31.217432
-823.710641,1428,36.574554
-1378.950185,1428,41.933375
-1023.886787,1428,47.355387
-505.405125,1428,52.73462
-1812.097266,1428,58.26639
-1106.479117,1428,63.580924
-1132.760658,1428,68.946037
-137.358298,1428,74.43744
-408.782563,1428,79.643209
-473.01232,1428,85.011283
-1073.648102,1428,90.308525
-1258.055541,1428,95.778203
-302.342451,1428,101.251495
-1326.447703,1428,106.867988
-805.748446,1428,112.293922
-940.224979,1428,117.687178
-1573.078137,1428,123.234237
-1608.60253,1428,128.640343
-1356.494168,1428,134.101683
-1174.370532,1428,139.600086
-396.929075,1428,145.136834
-472.639834,1428,150.574782
-1031.201796,1428,155.869369
-1709.435246,1428,161.274184
-1520.956922,1428,166.593248
-1229.462187,1428,172.040128
-2836.8387,1428,177.337968
-1390.108644,1428,182.761451
-1266.474572,1428,188.330618
-691.259377,1428,193.832546
-708.824375,1428,199.356685
-573.909649,1428,204.697168
-186.33895,1428,210.087873
-1395.966385,1428,215.40808
-699.265321,1428,220.982258
-604.192494,1428,226.420102
-590.093019,1428,231.734464
-477.146633,1428,237.067871
-1111.706761,1428,242.558832
-1252.007476,1428,248.080928
-1503.314028,1428,253.36316
-815.04796,1428,258.813478
-1600.889536,1428,263.878467
-939.207123,1428,269.24285
-551.696678,1428,274.657098
-311.835164,1428,280.096444
-410.126323,1428,285.557154
-382.578715,1428,290.862127
-1299.331318,1428,296.23033
-774.704035,1428,301.579743
-572.046636,1428,306.895177
-886.498591,1428,312.34621
-840.115686,1428,317.736366
-355.781048,1428,323.071161
-1867.965942,1428,328.136579
-1039.394294,1428,333.564626
-379.513971,1428,338.780349
-509.334512,1428,344.046054
-1533.366508,1428,349.640562
-815.998494,1428,354.940793
-1090.756772,1428,360.272574
-1102.186205,1428,365.349283
-1295.087532,1428,370.61147
-1428.592175,1428,375.671365
-663.089871,1428,380.692471
-1217.762885,1428,385.841709
-557.562454,1428,391.210262
-460.029052,1428,396.548248
-295.815941,1428,401.669324
-2238.447545,1428,407.08992
-515.262833,1428,412.089978
-643.715973,1428,417.161673
-1057.191875,1428,422.449073
-1072.080535,1428,427.669758
-791.158441,1428,432.887148
-430.493639,1428,438.065036
-1396.093624,1428,443.20466
-605.959521,1428,448.413471
-1032.088879,1428,453.641309
-2107.511335,1428,459.017592
-1279.717485,1428,464.397254
-764.101269,1428,469.609715
-2279.471155,1428,474.780758
-1611.099605,1428,479.938577
-1943.410987,1428,485.169496
-1588.861885,1428,490.406354
-628.520297,1428,495.451665
-515.390598,1428,500.573016
-1181.528569,1428,505.839356
-571.520408,1428,510.783448
-880.485159,1428,516.000476
-674.032122,1428,521.152327
-1184.950898,1428,526.483408
-800.212383,1428,531.782851
-1380.223443,1428,536.704515
-1365.475806,1428,542.266321
-1051.964047,1428,547.308144
-1573.288614,1428,552.44792
-1829.47602,1428,557.550089
-1004.730867,1428,562.734873
-743.001013,1428,568.066288
-520.727117,1428,573.246732
-871.638477,1428,578.602777
-1510.200648,1428,583.67588
-1157.67593,1428,589.036945
-1052.340482,1428,594.209208
-950.487359,1428,599.246801
-673.068032,1428,604.618535
-1792.140213,1428,609.75246
-747.063859,1428,615.129452
-662.392304,1428,620.248979
-533.173195,1428,625.64466
-715.427769,1428,630.728773
-828.228377,1428,635.952856
-1967.721544,1428,641.127346
-1155.962756,1428,646.284495
-2235.458827,1428,651.476851
-752.946675,1428,656.68483
-1159.50255,1428,662.106737
-1369.70337,1428,667.520382
-1467.442246,1428,672.658884
-619.999706,1428,677.863816
-1258.31843,1428,682.991242
-763.22465,1428,688.327131
-2911.299752,1428,693.498093
-419.10827,1428,698.920631
-436.778997,1428,704.131618
-1010.737568,1428,709.223763
-1335.249251,1428,714.47206
-608.857398,1428,719.570727
-436.188751,1428,724.87922
-1685.673618,1428,729.935404
-1006.334116,1428,735.189281
-353.693114,1428,740.373966
-1183.74491,1428,745.722413
-502.350992,1428,751.002586
-619.431268,1428,756.093854
-1334.618855,1428,761.307606
-730.338816,1428,766.552333
-1343.838938,1428,771.837862
-746.757502,1428,776.976528
