#{"t_start": 1594329679.6283019, "env_id": null}
r,l,t
-136.543552,1428,9.734818
-415.754943,1428,18.236436
-414.010834,1428,28.671934
-1563.862679,1428,37.143106
-1769.071145,1428,47.537042
-533.374551,1428,55.890881
-264.837612,1428,64.223587
-795.733869,1428,74.489482
-1050.626697,1428,82.854043
-790.229084,1428,92.95335
-1097.240799,1428,101.402454
-160.019049,1428,111.822337
349.518568,1428,120.339838
-843.217964,1428,128.810566
-939.613769,1428,138.815133
-279.527454,1428,147.362346
-791.408074,1428,157.823303
-242.105564,1428,165.933599
-614.547707,1428,176.251524
-716.213447,1428,184.337525
-964.802278,1428,192.641748
-1590.190618,1428,203.223712
-1027.161541,1428,211.29702
-1035.147416,1428,222.444805
-687.377212,1428,230.835643
-888.154434,1428,241.986506
-808.575493,1428,250.465923
-892.966355,1428,259.147582
-588.517143,1428,269.958286
-1170.139546,1428,278.222155
-602.567386,1428,288.586767
-925.356456,1428,296.602448
-796.586892,1428,306.727236
-1379.830801,1428,314.940788
-1148.596623,1428,323.455627
-716.387909,1428,334.654449
-842.224261,1428,342.990388
-531.08221,1428,353.528953
-857.337014,1428,361.896885
-324.221583,1428,372.481996
-647.270105,1428,380.998507
-492.990918,1428,389.1627
-1528.485205,1428,399.962121
-941.665097,1428,408.312525
-409.033988,1428,418.722233
-1230.405704,1428,426.946538
-322.035158,1428,437.437314
-1125.904726,1428,445.872874
-333.730726,1428,454.163766
-936.357206,1428,464.823807
-406.176999,1428,473.159013
-1080.613039,1428,483.845088
-903.428925,1428,492.574941
-893.415988,1428,503.274183
-557.084519,1428,511.742997
-1598.351412,1428,520.125883
-1158.052762,1428,531.01115
-883.362184,1428,539.439253
-892.303573,1428,549.995943
-1235.877077,1428,558.480865
-1422.938489,1428,568.860049
-2499.484414,1428,577.178517
-1362.784485,1428,585.581889
-1961.125813,1428,596.140657
-1813.891259,1428,604.564636
-1802.1646,1428,615.374994
-1127.183786,1428,623.760812
-2208.388908,1428,634.622821
-2033.431962,1428,643.003577
-3078.17076,1428,651.385585
-1007.752001,1428,662.345438
-1119.99222,1428,670.746854
-2218.117849,1428,681.499159
-1006.219706,1428,689.878866
-1346.309049,1428,700.508361
-2282.624715,1428,708.983925
-1109.396387,1428,717.66655
-1234.378842,1428,728.457229
-2029.673516,1428,736.759516
-2059.502258,1428,747.632985
-1261.456174,1428,756.100633
-2429.019327,1428,767.005434
-1731.208226,1428,775.408844
-1699.850092,1428,783.672953
-1376.373939,1428,794.313615
-1665.135154,1428,802.485951
-1851.448374,1428,813.315331
-1605.401677,1428,822.15948
-1491.403213,1428,832.667367
-1797.407009,1428,841.18085
-1547.776876,1428,849.640965
-1409.922418,1428,860.099066
-2134.352639,1428,868.67823
-1210.488463,1428,879.487027
-1555.700396,1428,887.838207
-1652.633388,1428,898.479639
-1939.150725,1428,906.771247
