#{"t_start": 1594317199.6787894, "env_id": null}
r,l,t
-6549.470006,7142,26.124685
-9047.450858,7142,49.695147
-7186.81095,7142,73.184456
-7924.997515,7142,96.243449
-5563.761633,7142,119.376437
-8478.068411,7142,143.064736
-6297.433266,7142,166.745231
-7052.256564,7142,190.498541
-10923.808955,7142,213.464615
-12956.038279,7142,236.755241
-6240.816078,7142,260.076632
-10430.863904,7142,283.85292
-5058.126818,7142,307.523407
-11263.682013,7142,331.199226
-7706.701008,7142,355.963044
-7217.576463,7142,379.986289
-8633.845007,7142,402.950731
-8960.475358,7142,426.482604
-13546.569842,7142,449.890111
-7528.424741,7142,473.302732
-5384.987197,7142,497.18721
-4228.464293,7142,521.702374
-7168.490382,7142,546.356257
-5197.001932,7142,571.147398
-4325.473012,7142,595.419373
-8994.576124,7142,619.289145
-4705.523315,7142,643.146061
-8604.060476,7142,667.101293
-6365.933283,7142,690.993037
-8376.86818,7142,714.620664
-11423.789621,7142,738.055964
-6051.235352,7142,762.474119
-5883.890395,7142,784.949436
-10608.932253,7142,808.423841
-5836.772436,7142,832.144935
-8094.222386,7142,855.720753
-4679.011601,7142,879.003807
-5587.531609,7142,901.807039
-4767.812232,7142,923.855239
-4953.096086,7142,946.479776
-12464.133003,7142,968.879884
-4366.635243,7142,990.967699
-10964.898237,7142,1014.016799
-6777.949255,7142,1035.983235
-3851.904617,7142,1058.556383
-11544.077632,7142,1081.013178
-7143.102116,7142,1103.047847
-7350.806006,7142,1125.283346
-11390.17365,7142,1147.349398
-8577.022209,7142,1170.51357
-1642.697726,7142,1193.058997
-8249.26282,7142,1214.476821
-11374.642934,7142,1236.519459
-2928.280581,7142,1258.717656
-9344.482585,7142,1280.478214
-7484.710256,7142,1302.422081
-6699.128062,7142,1325.920784
-11558.632222,7142,1347.721821
-5567.330512,7142,1369.799177
-12289.82181,7142,1392.510314
-5887.450103,7142,1414.269079
-7865.439128,7142,1436.639616
-4878.732767,7142,1458.506691
-4944.585654,7142,1481.276709
-5103.925453,7142,1503.540454
-671.79125,7142,1525.971081
-7773.089981,7142,1548.921894
-5809.744916,7142,1571.042717
-4783.797044,7142,1594.411889
-12059.887481,7142,1616.729109
-9482.957884,7142,1640.202175
-6144.210631,7142,1662.803289
-10374.48808,7142,1684.835525
-6807.448687,7142,1707.522395
-4605.279139,7142,1729.823044
-7218.868695,7142,1751.76142
-10886.052446,7142,1774.95719
-6970.964745,7142,1798.839354
-2704.611333,7142,1821.344842
-4021.145155,7142,1843.572998
-6300.791537,7142,1866.51595
-4569.638721,7142,1889.383153
-6742.621168,7142,1911.875691
-3773.521581,7142,1934.963504
-4158.939766,7142,1959.24946
-4027.174633,7142,1982.146984
-7710.692706,7142,2004.845735
-2438.712316,7142,2027.556514
-6444.588988,7142,2051.139492
-6449.473852,7142,2073.08264
-4134.675248,7142,2096.099528
-8193.253705,7142,2119.642985
-736.716345,7142,2142.802776
-5498.537435,7142,2165.391362
-3253.948998,7142,2187.593101
-6355.743342,7142,2210.000602
-7365.837146,7142,2232.301864
-4146.978588,7142,2254.75043
-4058.893137,7142,2279.11258
-5811.425672,7142,2301.159461
-5235.90293,7142,2324.434737
-5373.617949,7142,2347.216105
-5352.054284,7142,2370.298312
-4596.250854,7142,2392.988708
-5220.744698,7142,2415.534183
-5909.968363,7142,2438.455754
-3916.085733,7142,2460.777184
-5085.404306,7142,2483.382357
-2164.076008,7142,2505.410355
-4038.646781,7142,2527.773556
-2256.313634,7142,2550.5078
-6680.357472,7142,2573.084466
-998.586349,7142,2597.651517
-2554.850099,7142,2620.205674
-1777.769054,7142,2642.83055
-1572.044478,7142,2665.577377
-2848.292901,7142,2689.807084
-243.301279,7142,2713.079198
-5143.227202,7142,2735.963081
-4552.308288,7142,2760.451403
-2600.418069,7142,2782.800694
-3452.223811,7142,2805.720091
-585.614936,7142,2828.414411
-933.109542,7142,2850.922438
-4859.263404,7142,2873.504405
-5726.114644,7142,2895.886092
-4750.577729,7142,2921.599979
-4744.147757,7142,2944.401075
-7892.856155,7142,2966.951388
-109.039559,7142,2989.53761
-4387.50561,7142,3012.093235
-1871.118495,7142,3034.774263
-2258.585955,7142,3058.254409
-3914.703116,7142,3081.580635
-4647.601483,7142,3103.759707
-2381.885706,7142,3125.667169
-4296.49892,7142,3147.842202
-2818.066797,7142,3170.612146
-2132.318933,7142,3193.300994
-1430.140956,7142,3216.049156
-1505.800032,7142,3241.638095
-738.875134,7142,3264.726378
-2084.12552,7142,3287.470359
-1296.841817,7142,3310.045741
-1735.039648,7142,3332.55666
-5230.199674,7142,3355.465897
-1214.698682,7142,3378.174146
-3471.211355,7142,3401.479698
-4013.329359,7142,3424.479645
-290.889185,7142,3447.165779
-6655.175588,7142,3469.782592
-5921.282406,7142,3492.550505
-1290.322116,7142,3515.698386
-2160.444706,7142,3538.445765
-1313.109536,7142,3564.097106
-1445.695215,7142,3587.572446
-2027.363867,7142,3610.179764
-1276.715934,7142,3632.234596
-2433.556695,7142,3653.871144
-462.636312,7142,3675.895135
-10338.296676,3826,3688.207672
-5434.140146,7142,3710.581077
-1036.074624,7142,3733.311685
-4045.321002,7142,3755.629347
-2810.7509,7142,3778.510443
-4863.822163,7142,3801.420327
-6869.20403,7142,3824.769503
-6117.180804,7142,3848.136772
-3535.447279,7142,3872.665886
-2756.11755,7142,3895.64162
-4124.559732,7142,3918.689067
-2357.651136,7142,3942.577525
-3607.198077,7142,3965.352539
-1252.51866,7142,3988.124399
-2326.440401,7142,4010.92968
-7018.465231,7142,4033.874565
-8201.066281,7142,4057.208254
-3145.528483,7142,4080.344528
-877.889076,7142,4103.895589
-3206.405936,7142,4126.755795
-2004.879475,7142,4149.514172
-266.487102,7142,4173.075253
-3756.587097,7142,4197.555417
-7091.429738,7142,4220.030098
-3608.922362,7142,4242.280793
-1890.271528,7142,4264.712822
-2025.191927,7142,4286.522596
-9440.952437,7142,4309.378698
-3179.72344,7142,4332.283889
-7544.821611,7142,4354.927305
-11556.057072,7142,4377.830261
-3350.349679,7142,4400.259113
-5784.168702,7142,4423.043454
-3735.792962,7142,4445.845087
-6809.733308,7142,4468.213264
-6602.500215,7142,4490.842483
-4533.21174,7142,4516.281879
-600.086707,7142,4538.866382
-2739.106258,7142,4560.830271
-4372.529761,7142,4583.337538
-6273.985539,7142,4605.47316
-5497.131801,7142,4627.473183
-8393.872182,7142,4650.392042
-3324.92466,7142,4673.026695
-3607.964052,7142,4694.887999
-2468.318023,7142,4716.486838
-3845.310486,7142,4739.10543
-7110.883925,7142,4761.347126
-6377.353899,7142,4783.385331
-5107.18238,7142,4804.693319
-2399.025846,7142,4830.815685
-851.636742,7142,4852.852065
-2448.449988,7142,4874.750417
-5992.522004,7142,4897.463092
-4479.902042,7142,4919.505661
-6751.936811,7142,4941.112625
-6087.786328,7142,4963.404186
-4106.035077,7142,4984.98939
-4720.332808,7142,5007.94574
-3408.577502,7142,5030.108393
-4631.276034,7142,5052.651076
-6420.146982,7142,5074.470193
-2957.119284,7142,5096.667193
-8699.938807,7142,5118.419052
-3691.785038,7142,5144.907897
-5031.330828,7142,5166.788371
-4517.258691,7142,5188.544568
-2864.473561,7142,5211.167936
-1067.818739,7142,5232.999128
-7007.647334,7142,5255.039259
-2957.729081,7142,5276.82112
-5740.862125,7142,5298.520102
-1915.684196,7142,5320.377429
-3371.476357,7142,5342.296358
-4705.690294,7142,5364.579854
-3512.22363,7142,5386.277876
-1090.954546,7142,5408.96594
-5007.111101,7142,5430.880135
-1262.429915,7142,5456.387039
-1958.422393,7142,5477.95535
-6256.079352,7142,5499.486857
-11094.141935,5209,5515.768608
-1280.326009,7142,5537.176594
-2645.570338,7142,5559.121712
-7355.036413,7142,5580.745954
-8247.707768,7142,5602.768727
-8994.247561,7142,5624.848143
-5986.867295,7142,5647.06646
-7680.965724,7142,5670.838916
-4473.960905,7142,5693.440937
-4910.529484,7142,5715.330407
-7801.114289,7142,5737.216301
-7201.95376,7142,5764.495698
-4807.612764,7142,5786.948921
-9000.060404,7142,5809.258672
-6273.026588,7142,5831.980794
-5314.844698,7142,5854.492128
-4116.58131,7142,5876.93375
-7160.072903,7142,5899.30117
-7893.275799,7142,5921.373591
-4375.504893,7142,5943.679709
-4846.401777,7142,5966.017405
-4529.20998,7142,5988.845515
-6186.761571,7142,6010.908993
-6297.72361,7142,6032.465613
-4508.005496,7142,6054.52404
-5892.013444,7142,6081.055371
-7385.149596,7142,6103.315857
-9679.764794,7142,6125.182897
-6385.805735,7142,6148.528223
-3709.693445,7142,6170.387128
-7855.305482,7142,6192.527363
-8441.672823,7142,6214.543389
-7584.591243,7142,6237.096838
-6214.027131,7142,6259.745072
-7299.952385,7142,6282.364813
-6453.199558,7142,6305.206344
-6240.659984,7142,6327.539389
