#{"t_start": 1594332604.010084, "env_id": null}
r,l,t
-669.935029,1428,8.98518
-378.885656,1428,16.20696
-594.921117,1428,23.799866
-1180.994487,1428,31.125817
-605.105274,1428,38.789597
-476.366928,1428,46.106778
-683.762092,1428,53.472622
-314.588443,1428,61.216829
-201.422291,1428,68.709637
-276.387199,1428,76.55235
-1883.016349,1428,83.911319
-924.157086,1428,91.768143
-381.023745,1428,99.210979
-1293.231088,1428,106.562196
-898.49708,1428,114.340229
-819.401322,1428,121.711487
-317.712956,1428,129.552161
-172.996036,1428,137.110145
-660.539409,1428,144.818438
-791.292097,1428,152.280737
-694.62808,1428,159.745688
-445.30524,1428,167.557988
-601.800492,1428,175.002923
-1258.051326,1428,182.95031
-436.409333,1428,190.594907
-381.45161,1428,198.584334
-1625.875673,1428,206.140288
-498.699479,1428,213.568636
-806.867979,1428,221.591896
-331.14144,1428,229.248164
-572.602912,1428,236.996177
-571.941999,1428,244.636709
-382.829149,1428,252.701241
-644.438389,1428,260.196037
-446.927841,1428,267.725586
-435.126749,1428,275.744605
-1483.874637,1428,283.240891
213.266167,1428,291.192263
-821.501299,1428,298.796104
-789.815768,1428,306.63976
-1100.931689,1428,314.540469
-812.709517,1428,322.432818
-248.23021,1428,330.663635
-870.112976,1428,338.27312
-889.241181,1428,346.210926
-723.823327,1428,353.795929
-191.845156,1428,361.871745
-736.997311,1428,369.540145
-610.294745,1428,377.22412
-399.055928,1428,385.294818
-759.326208,1428,392.895342
-562.648397,1428,400.943296
-765.802621,1428,408.603854
-1189.289666,1428,416.692934
-1591.016997,1428,424.419856
-447.823586,1428,432.051373
-622.490881,1428,440.087494
-290.956917,1428,447.756459
-1052.055603,1428,455.829457
-605.578629,1428,463.51703
-818.084512,1428,471.510845
-487.174167,1428,479.175803
-404.460639,1428,486.869113
-327.128535,1428,494.917281
-561.893732,1428,502.605058
-1821.812054,1428,510.752358
-388.233882,1428,518.375671
-938.302472,1428,526.161898
-784.451517,1428,534.078292
-272.996511,1428,541.67007
-706.058774,1428,549.642081
-927.836335,1428,557.280982
-1048.898543,1428,565.354599
-792.103693,1428,573.047294
-239.083263,1428,581.047819
-1227.825533,1428,588.686954
-445.846024,1428,596.588711
-642.176935,1428,604.612554
-151.189485,1428,612.330845
-1483.955471,1428,620.408116
-808.9421,1428,628.13359
-1724.866893,1428,636.174091
-1249.184361,1428,643.953661
-511.114535,1428,651.610788
-405.636584,1428,659.754809
-693.160863,1428,667.679335
-1542.455388,1428,675.771464
-277.176146,1428,683.387254
-969.583132,1428,691.334758
-217.015682,1428,699.282108
-425.059684,1428,706.912155
8.567239,1428,715.012826
-1329.555728,1428,722.772214
-761.326414,1428,730.808238
-158.854148,1428,738.403127
-420.89797,1428,746.533542
-1128.705252,1428,754.419668
-973.427998,1428,762.092376
-793.442571,1428,770.028592
-444.670461,1428,777.628849
-274.387294,1428,785.811155
-311.179524,1428,793.597531
-828.146763,1428,801.516572
-638.744746,1428,809.187145
-732.724427,1428,816.885906
-312.17576,1428,824.749237
-473.813292,1428,832.324703
-362.003151,1428,840.370197
-351.162899,1428,847.97841
-560.081214,1428,856.468745
-674.100874,1428,864.536091
-427.959083,1428,872.472568
-572.70756,1428,880.777278
-423.093733,1428,888.70495
-316.990597,1428,896.652825
-465.654759,1428,904.262483
-136.618867,1428,912.264985
-251.863078,1428,920.0488
-122.974223,1428,927.872957
-805.877515,1428,936.175753
-350.151985,1428,943.975489
-315.901121,1428,951.785311
-465.734027,1428,959.589697
