#{"t_start": 1594048292.355639, "env_id": null}
r,l,t
-2677.514623,7142,24.592012
-3438.620209,7142,45.41493
-1776.845821,7142,67.018783
-3727.345666,7142,88.607913
-1674.501851,7142,118.130292
-1189.860925,7142,140.645938
-839.566555,7142,164.317744
-5562.107625,7142,187.129783
-971.552581,7142,217.188237
-1685.235657,7142,240.389937
-5541.306406,7142,264.096536
-413.45776,7142,287.434672
-4259.719362,7142,310.67539
-1020.266997,7142,340.433816
-2272.621982,7142,363.587705
-2488.258338,7142,387.184275
-2112.965272,7142,410.168416
-6795.170253,7142,441.518016
-3223.053724,7142,464.299526
-3024.61124,7142,487.905411
-3316.025307,7142,511.528408
-2425.962665,7142,534.852437
925.170596,7142,565.693932
-2317.246142,7142,589.453528
-3584.773956,7142,612.721329
-2420.506359,7142,635.808521
-2231.926816,7142,667.5275
-5830.247932,7142,691.508589
256.954744,7142,715.842498
-2906.672193,7142,739.371646
-629.52907,7142,763.365417
-262.821362,7142,794.288673
-1460.677948,7142,818.257329
-2593.917561,7142,842.042765
-2204.723986,7142,866.342286
-829.037629,7142,896.201456
-636.515141,7142,919.577786
-1010.972055,7142,943.057953
-1254.468884,7142,966.76564
-1566.795641,7142,990.213452
-3370.087421,7142,1020.795499
-670.846782,7142,1045.225831
-3260.042629,7142,1069.01913
1029.63886,7142,1093.108538
-1878.795522,7142,1123.999645
-2417.441532,7142,1147.544641
-2682.162712,7142,1171.478776
-1655.269786,7142,1194.865765
-1257.636154,7142,1218.4785
-1181.87382,7142,1249.412992
-1765.800595,7142,1273.126734
-1344.037471,7142,1297.550606
-4019.184748,7142,1321.410254
-643.922634,7142,1352.019652
-1528.930592,7142,1376.291878
-850.230949,7142,1400.627113
1123.214049,7142,1424.207247
-1537.643641,7142,1447.331232
-997.502942,7142,1478.092996
-698.121005,7142,1501.646785
-2630.496539,7142,1526.110822
-2250.550718,7142,1550.407501
-766.104977,7142,1580.489969
-993.201419,7142,1604.137219
-2610.840795,7142,1627.270619
-1018.02692,7142,1650.49412
-3781.705875,7142,1673.834148
-447.194267,7142,1704.556186
-293.209457,7142,1728.361739
-1638.78586,7142,1752.287802
-1485.276347,7142,1776.122211
-664.846076,7142,1807.005586
-1450.183546,7142,1830.129418
533.963638,7142,1854.26434
-1247.069308,7142,1878.374475
-1487.881708,7142,1902.832339
42.96432,7142,1932.885506
-2430.685295,7142,1956.592886
-251.618742,7142,1980.605887
-1313.764528,7142,2004.657719
-3494.157064,7142,2034.778851
-1965.448733,7142,2058.938221
429.051918,7142,2082.804522
-1392.994504,7142,2106.751643
-455.652324,7142,2130.852328
1150.678596,7142,2161.922222
-1783.903571,7142,2186.033185
-1914.70344,7142,2210.315017
1824.557966,7142,2234.102063
-343.887653,7142,2264.572599
-522.786751,7142,2288.403765
-285.075405,7142,2311.855109
-493.691539,7142,2335.84509
-144.888665,7142,2359.580126
-2120.378626,7142,2391.03833
-1484.536228,7142,2414.738604
-1331.813431,7142,2438.382291
-1447.14342,7142,2461.480387
-948.499884,7142,2492.08886
-1775.242263,7142,2516.448004
-2632.779727,7142,2539.923563
-1149.071212,7142,2563.408643
-745.214429,7142,2586.587601
-2572.247121,7142,2618.233723
-580.825921,7142,2642.00597
-1338.665198,7142,2665.181546
289.691454,7142,2688.950177
-1161.568919,7142,2719.830395
-1111.312116,7142,2743.29697
-2622.242765,7142,2766.778523
-3814.883787,7142,2790.618148
-1080.199616,7142,2814.098016
4077.78267,7142,2844.570583
-1924.218105,7142,2868.159577
-1164.609707,7142,2892.81286
-2614.160293,7142,2917.270675
505.001024,7142,2949.673103
-1788.662393,7142,2973.518691
-1823.737756,7142,2997.319912
-2042.477773,7142,3021.597437
-1069.882138,7142,3052.968428
-912.088794,7142,3077.815408
-1535.074113,7142,3101.474942
-1474.518183,7142,3125.573758
-312.849841,7142,3149.384082
-1467.624781,7142,3179.70626
-3344.245537,7142,3203.375706
-1866.550854,7142,3227.708751
-1088.92604,7142,3251.529793
-868.253059,7142,3282.237501
2737.416889,7142,3306.480381
-869.572535,7142,3329.740541
-1093.058169,7142,3353.102783
959.192864,7142,3377.059543
-2219.384025,7142,3408.482328
-1944.335476,7142,3432.010497
-800.672476,7142,3455.148254
-336.270927,7142,3479.302639
-2885.057469,7142,3510.373081
635.096006,7142,3534.139211
-1729.200425,7142,3558.245068
-1424.102414,7142,3582.961874
-162.51201,7142,3606.74183
-2519.522326,7142,3636.77838
-725.307268,7142,3659.900918
3151.800096,7142,3683.109328
-1506.476847,7142,3706.945354
-1185.914312,7142,3737.9898
-1123.10113,7142,3761.79382
-1584.626807,7142,3785.601817
-2286.840773,7142,3810.291031
-1547.12016,7142,3834.164121
-1077.718114,7142,3864.216792
-2653.32115,7142,3888.512878
-2838.42253,7142,3911.91026
-2081.869945,7142,3935.887122
-2191.007372,7142,3966.403548
-985.644263,7142,3989.473444
-962.94205,7142,4013.194796
-1384.475464,7142,4037.044227
-763.966744,7142,4060.250938
-1054.461945,7142,4091.40888
-1735.277645,7142,4114.933599
-2132.981969,7142,4138.520662
-3811.852604,7142,4162.175501
-2564.625366,7142,4191.871797
-687.444852,7142,4216.236948
-1338.831479,7142,4239.970216
-2330.907253,7142,4264.351275
-490.792828,7142,4287.447356
-1427.359539,7142,4319.857644
-844.045823,7142,4344.178431
-1841.384266,7142,4369.543099
-2068.973547,7142,4394.126542
-677.00601,7142,4426.392765
-1225.444619,7142,4450.554437
-657.96501,7142,4474.857467
-3121.237847,7142,4499.75051
-1528.0998,7142,4524.056288
-1974.446262,7142,4554.604208
-2002.544608,7142,4578.39844
-820.609983,7142,4602.446085
-1611.826591,7142,4626.644279
2817.914826,7142,4658.18633
-644.164969,7142,4682.200653
-853.246802,7142,4706.090548
-1435.691519,7142,4731.18092
-1893.654899,7142,4755.48436
359.647071,7142,4786.819778
-1014.144243,7142,4811.617695
-2802.735385,7142,4835.787381
-1175.760166,7142,4859.683667
-1553.569574,7142,4890.684093
-264.198161,7142,4914.672929
-282.844354,7142,4939.451248
738.944919,7142,4963.505183
-732.201178,7142,4986.179321
-1264.108051,7142,5015.517993
-57.717099,7142,5039.679843
-1501.040484,7142,5064.303542
-2234.968174,7142,5089.312589
-2839.74251,7142,5120.645225
-1963.002892,7142,5145.142783
-892.651361,7142,5170.760808
-932.101564,7142,5195.599334
-2846.94126,7142,5220.343887
-530.723823,7142,5251.773657
-1625.060405,7142,5277.624461
-2343.31524,7142,5302.258975
-728.81979,7142,5326.354738
