#{"t_start": 1594755349.7195246, "env_id": null}
r,l,t
-1277.079519,1428,17.630035
-1505.813374,1428,30.104823
-763.358826,1428,42.575695
-796.348734,1428,55.503804
-980.120734,1428,68.137356
-1288.124209,1428,80.939252
-2335.825442,1428,93.827786
-692.48876,1428,106.627216
-1354.922637,1428,119.262933
-1083.630621,1428,131.995373
-1268.194131,1428,144.5743
-642.851762,1428,157.337989
-1161.973481,1428,170.045767
-781.557667,1428,182.482067
-602.729446,1428,195.050205
-1037.934591,1428,207.685633
-1792.672283,1428,220.457432
-1319.880798,1428,233.463862
-1055.73265,1428,246.606091
-1050.673771,1428,259.479064
-874.86585,1428,272.41101
-539.645864,1428,285.123879
-437.860559,1428,298.049273
-551.455072,1428,311.001522
-476.91683,1428,323.780959
-865.801495,1428,336.848896
-1293.497806,1428,349.571782
-1400.767298,1428,362.327904
-2305.64617,1428,374.957591
-938.506672,1428,387.6327
-948.217627,1428,400.289232
-882.716281,1428,412.910908
-1615.542377,1428,425.522775
-1172.237442,1428,438.248628
-268.37198,1428,451.07519
-585.498522,1428,463.678464
-873.60879,1428,476.83952
-851.506653,1428,490.067036
-817.563509,1428,503.10414
-1490.429513,1428,516.330855
-700.853837,1428,529.72229
-1020.148087,1428,542.738069
-539.590696,1428,555.817986
-576.625984,1428,568.644136
-401.27674,1428,581.533479
-704.711106,1428,594.380688
-577.537993,1428,607.071953
-1058.90177,1428,619.81389
-242.851193,1428,632.486115
-524.370372,1428,645.087736
-2047.200664,1428,657.692245
-752.594713,1428,670.291651
-1078.282423,1428,682.873415
-624.001945,1428,695.373632
-1234.168298,1428,708.080909
-812.606604,1428,720.721995
-897.437391,1428,733.366513
-603.833695,1428,746.101943
-1401.620124,1428,758.793662
-579.608839,1428,771.352103
-464.320551,1428,783.934761
-307.832896,1428,796.536454
-455.678819,1428,809.279805
-1113.69774,1428,822.098644
-479.141328,1428,835.023767
-305.991355,1428,847.783288
-709.236925,1428,860.857099
-740.713699,1428,873.582147
-781.075259,1428,886.23791
-717.692222,1428,898.985285
-479.498908,1428,911.770104
-725.134841,1428,924.497586
-1000.931118,1428,937.334286
-764.222491,1428,950.265198
-169.46897,1428,963.060961
-953.689478,1428,975.964413
-541.961523,1428,988.712715
-1126.071223,1428,1001.542167
-776.388732,1428,1014.232233
-488.971203,1428,1026.717528
-986.915666,1428,1039.190658
-551.269446,1428,1051.840675
-260.988772,1428,1064.56036
-695.037592,1428,1077.288669
-531.960704,1428,1089.866948
-539.486725,1428,1102.489847
-614.823415,1428,1115.101924
-312.273782,1428,1127.664199
-180.112863,1428,1140.2779
-821.632993,1428,1152.922398
-545.078551,1428,1165.679196
-403.218177,1428,1178.340402
-1966.560565,1428,1192.01104
-553.820744,1428,1205.365804
108.301037,1428,1217.990959
-175.336128,1428,1230.654057
-46.045407,1428,1243.298979
-403.921548,1428,1256.043296
-707.71853,1428,1268.795204
-638.545156,1428,1281.457668
-236.766687,1428,1294.2313
-1178.613599,1428,1306.818743
-388.441651,1428,1319.63749
-1228.904776,1428,1332.358472
-292.798673,1428,1345.18632
-420.45999,1428,1357.965846
-240.834384,1428,1370.675092
-327.756209,1428,1383.351205
-63.598519,1428,1396.021747
-393.987423,1428,1408.605278
-533.661758,1428,1421.245186
-679.228159,1428,1434.008701
-550.974503,1428,1446.863101
-151.084649,1428,1459.571054
-177.609513,1428,1472.300651
-447.504624,1428,1484.978047
-969.109449,1428,1497.69315
-1326.567934,1428,1510.356695
-1331.93488,1428,1522.966284
-408.458995,1428,1535.671735
-784.827214,1428,1548.374017
-405.446414,1428,1561.039036
-577.518796,1428,1573.725759
-792.808457,1428,1586.291872
-758.673564,1428,1598.901476
-394.42618,1428,1611.518526
-1629.474491,1428,1624.092366
-1667.456204,1428,1636.582618
-775.165707,1428,1649.195388
-441.915422,1428,1661.906195
-1478.355852,1428,1674.498053
-1097.298308,1428,1687.204199
-336.573871,1428,1699.812326
-1143.924429,1428,1712.433044
-276.292382,1428,1725.146877
-539.731648,1428,1737.844395
-465.040762,1428,1750.447477
-423.006722,1428,1763.259141
-584.424733,1428,1775.979548
-901.814022,1428,1788.552049
-1080.576165,1428,1801.198303
-250.572076,1428,1814.008613
-590.099282,1428,1826.758104
-878.356224,1428,1839.348936
-383.081674,1428,1851.941467
-310.413816,1428,1864.513317
-934.75086,1428,1877.255056
-1259.886537,1428,1890.094498
-941.763935,1428,1902.785566
