#{"t_start": 1595469889.7073147, "env_id": null}
r,l,t
-710.452684,1428,7.475173
-545.7868,1428,10.772649
-460.878746,1428,13.972983
-639.612093,1428,17.212913
-893.128471,1428,20.582022
-721.05631,1428,23.580351
-890.653023,1428,26.96669
-551.450862,1428,30.141902
-300.692997,1428,33.168899
-559.647427,1428,36.210782
-1050.755067,1428,39.214347
-327.993462,1428,42.233855
-144.1044,1428,45.45624
-278.016322,1428,48.651521
-1219.412186,1428,51.842294
-609.174377,1428,55.038512
-598.090623,1428,58.058541
-704.630247,1428,61.216424
-782.273674,1428,64.238472
-960.843601,1428,67.316292
-748.765591,1428,70.362014
-362.781766,1428,73.42108
-1212.496926,1428,76.464261
-514.640427,1428,79.444439
-428.508377,1428,82.470837
-1098.669465,1428,85.474327
-600.4015,1428,88.562034
-558.757388,1428,91.56634
-306.976477,1428,94.458539
-610.501321,1428,97.438427
-296.490055,1428,100.360794
-1132.137981,1428,103.381151
-907.998776,1428,106.360643
-656.077192,1428,109.397908
-751.213198,1428,112.507024
-1416.234642,1428,121.356789
-2405.602767,1428,129.387904
-1962.582425,1428,137.544157
-2101.192342,1428,145.888692
-2112.367746,1428,154.471312
-1734.414703,1428,162.784975
-1037.568183,1428,171.231146
-1378.037786,1428,179.789133
-1088.484901,1428,188.288511
-1463.709384,1428,196.638575
-1348.361292,1428,205.233633
-1360.848995,1428,213.81379
-863.987034,1428,222.125828
-997.651158,1428,230.585841
-1821.822903,1428,239.055299
-1197.916244,1428,248.202427
-1180.222871,1428,256.667119
-1142.886968,1428,265.117759
-1523.303946,1428,274.041677
-1208.099486,1428,282.696891
-1355.137244,1428,291.200617
-1815.686586,1428,299.504613
-926.156549,1428,307.988078
-875.193365,1428,316.201675
-1203.75582,1428,324.629794
-665.037154,1428,333.199809
-294.935338,1428,341.401036
-347.944519,1428,349.699128
-1563.163532,1428,357.910924
-798.898322,1428,366.508928
-1651.333714,1428,374.848947
-912.359596,1428,383.204561
-904.497211,1428,392.03888
-850.253185,1428,400.62329
-772.609537,1428,409.428321
-1283.717299,1428,417.963024
-416.787301,1428,426.67923
-930.93165,1428,435.130936
-650.820477,1428,443.689295
-666.762302,1428,452.071684
-1219.448629,1428,460.980678
-359.757328,1428,469.880376
-642.713144,1428,478.522435
-308.496994,1428,487.757641
-338.721005,1428,496.396161
-1643.697638,1428,505.341278
-323.391853,1428,514.094169
-1386.542117,1428,522.978664
-302.740917,1428,531.571258
-741.405491,1428,540.372299
-403.413623,1428,549.222966
-591.152247,1428,557.763874
-1397.553865,1428,566.299289
-1163.863026,1428,574.914588
-211.378497,1428,583.958345
-793.53464,1428,592.49075
-442.734477,1428,600.866178
-1356.513062,1428,609.481774
-1045.935807,1428,617.901824
-892.649665,1428,626.544656
-265.802902,1428,634.911601
-925.007509,1428,643.687031
-1279.648137,1428,652.299257
-662.407571,1428,660.71598
-1426.949716,1428,669.040768
-456.914264,1428,677.667267
-1917.618985,1428,686.008693
-903.931476,1428,694.532687
-1311.487648,1428,703.4695
26.818381,1428,711.936738
-412.230163,1428,720.539412
-773.845314,1428,729.243985
-440.255176,1428,738.046453
-1234.917531,1428,746.384424
-1148.876919,1428,754.933941
-937.160093,1428,763.966394
-982.754548,1428,772.757345
-901.803991,1428,781.409536
-617.942948,1428,789.987915
-864.339426,1428,799.192272
-1029.168543,1428,807.984011
-1481.527938,1428,816.656774
-396.420831,1428,825.978601
-299.923016,1428,834.868808
-1203.233597,1428,843.678134
-625.96521,1428,852.484474
190.244975,1428,861.551637
-799.367647,1428,869.890449
-1309.257319,1428,878.32153
-415.035575,1428,886.64227
-1655.894354,1428,895.435596
-440.718194,1428,903.910998
-411.826011,1428,912.42399
-981.924072,1428,921.480606
-1167.394182,1428,930.387968
-540.550616,1428,938.967675
-164.560647,1428,947.572516
-557.110102,1428,956.503153
-1789.810013,1428,965.084563
-835.180559,1428,973.30324
-1409.67859,1428,981.955136
-333.946389,1428,990.549581
-1143.467181,1428,999.111795
-339.451845,1428,1007.866499
-209.503636,1428,1016.817708
-400.110936,1428,1025.364444
-1249.148583,1428,1033.87205
-511.077344,1428,1042.531882
-399.707768,1428,1050.805561
-249.27831,1428,1058.955713
-512.984678,1428,1067.253679
-1247.251332,1428,1075.964275
-1375.851499,1428,1084.455682
-597.490107,1428,1092.954543
-701.593307,1428,1101.383415
-474.720433,1428,1110.163674
-372.07444,1428,1118.663764
-304.979556,1428,1126.824419
-476.289125,1428,1135.471391
-1539.360403,1428,1143.8792
-695.995803,1428,1152.284784
-1023.516109,1428,1160.763773
-738.522581,1428,1169.353599
-678.964829,1428,1177.877031
-1163.422634,1428,1186.57744
-1507.807524,1428,1195.411237
-191.459593,1428,1203.866089
-1216.292366,1428,1212.042919
-466.162489,1428,1220.464525
-531.861125,1428,1229.180541
-381.723445,1428,1237.747934
-655.698493,1428,1246.32668
-1439.788478,1428,1255.217487
