#{"t_start": 1594284178.066381, "env_id": null}
r,l,t
-10189.093224,7142,43.245274
-8393.860117,7142,80.601791
-8963.432408,7142,117.577749
-8094.07166,7142,155.097419
-5972.485357,7142,192.888266
-9742.801679,7142,230.494792
-7456.292868,7142,267.995522
-7288.7261,7142,306.255002
-8235.809472,7142,343.697181
-9934.599816,7142,381.93554
-10928.097561,7142,419.692679
-5627.532052,7142,457.255188
-8724.35033,7142,494.970474
-8015.96857,7142,532.524567
-8781.790846,7142,571.542458
-8054.452858,7142,609.814921
-7144.458628,7142,647.392124
-14939.527346,7142,685.277179
-8744.620851,7142,723.29305
-5861.015099,7142,761.082929
-9939.295165,7142,799.436422
-4172.875908,7142,838.418432
-5267.23853,7142,875.945873
-2989.641236,7142,913.64766
-2817.412756,7142,952.313398
-6536.420069,7142,990.402311
-9585.099539,7142,1028.369113
-1730.423934,7142,1066.674804
-1673.207094,7142,1105.947184
-2409.407279,7142,1143.168895
-2173.746169,7142,1181.556166
-5246.095094,7142,1220.059683
-4176.271557,7142,1258.150681
-2541.849588,7142,1295.966508
-3548.312533,7142,1333.554519
-2935.028087,7142,1372.969984
-4905.55143,7142,1410.951253
-4159.242853,7142,1448.997104
-5413.13654,7142,1486.655343
-2975.352716,7142,1524.798989
-3869.086307,7142,1562.819387
-4226.44242,7142,1601.031656
-7456.440398,7142,1640.955675
-3066.496305,7142,1679.34402
-6884.20441,7142,1717.208218
-3755.669812,7142,1754.790429
-5468.932102,7142,1792.407789
-2465.555665,7142,1830.366207
-5646.394695,7142,1868.522045
-3297.905132,7142,1907.529127
-4143.689628,7142,1946.101367
-1186.166655,7142,1983.722897
-3500.190141,7142,2022.285101
-2706.656138,7142,2060.304499
-4890.89002,7142,2098.599277
-3817.714592,7142,2136.559701
-4345.062324,7142,2175.937678
-3852.830708,7142,2213.847795
-3085.465634,7142,2251.796998
-2142.217179,7142,2289.203981
-2668.50239,7142,2327.298041
-6153.392703,7142,2365.811005
-1561.107092,7142,2403.445544
-2425.610777,7142,2442.810759
-5438.859575,7142,2480.812545
-583.369333,7142,2518.540928
-3109.081248,7142,2556.642464
-1729.455491,7142,2594.095243
-4597.625875,7142,2632.116155
-2824.188791,7142,2670.608083
-9030.05688,7142,2709.84375
-1367.570892,7142,2748.111224
-5584.279218,7142,2785.891557
-2487.070555,7142,2823.446639
-2495.425734,7142,2861.818049
-1863.857131,7142,2899.413742
-3154.990895,7142,2937.050001
-1451.38055,7142,2976.491689
-935.747299,7142,3014.636644
-303.386448,7142,3052.548617
-3350.067194,7142,3090.441487
-2032.074255,7142,3128.048281
-2477.161645,7142,3165.460294
-5909.812027,7142,3203.694116
999.855164,7142,3243.564762
-1316.645185,7142,3281.956907
-955.488091,7142,3320.403372
-881.540108,7142,3358.976715
-339.990455,7142,3396.821184
-1315.946912,7142,3434.37279
-814.439578,7142,3472.480276
-1387.914254,7142,3511.391712
-3839.660909,7142,3549.085199
-1171.485803,7142,3587.208461
-2024.567395,7142,3625.084612
-1450.764244,7142,3663.13388
-2538.308233,7142,3701.097214
-4267.406667,7142,3739.188612
-3586.873294,7142,3778.642843
-2471.312233,7142,3816.723541
292.386646,7142,3854.524676
-2434.443774,7142,3892.335745
-2156.774742,7142,3930.121132
-2704.233862,7142,3968.716342
-2836.511188,7142,4006.390764
-1917.399389,7142,4046.126281
-1497.061372,7142,4084.113359
-1591.549056,7142,4122.589803
51.027796,7142,4160.757192
-2416.296247,7142,4199.405509
-1265.075921,7142,4237.241125
-1927.893396,7142,4275.492537
-1722.545358,7142,4314.260701
-74.239607,7142,4352.487049
-1128.549815,7142,4390.394985
-2357.929548,7142,4428.76834
-1325.923536,7142,4466.429283
-1240.945305,7142,4504.530802
-1323.835617,7142,4542.445686
-1191.2557,7142,4581.047317
-3535.681245,7142,4618.727542
-1201.733093,7142,4656.774572
-789.679352,7142,4694.619829
-958.763052,7142,4732.532793
-5842.41007,7142,4770.64232
-2328.452952,7142,4808.70828
-2292.809211,7142,4847.831123
