#{"t_start": 1594831063.9625456, "env_id": null}
r,l,t
-404.310127,1428,8.723988
-784.323263,1428,14.140168
-151.118046,1428,19.502285
-629.337733,1428,25.033156
-687.240242,1428,30.565135
-634.031543,1428,35.934573
-297.124104,1428,41.213485
-637.701127,1428,46.588288
-699.651748,1428,52.00719
-869.163292,1428,57.674706
-1042.950658,1428,63.095349
-943.481827,1428,71.023554
-484.283192,1428,76.370297
-766.783609,1428,81.940148
-649.971979,1428,87.323278
-1007.031063,1428,92.779801
-873.043965,1428,98.083992
-909.422475,1428,103.65105
-581.610288,1428,109.22367
-800.435875,1428,114.517029
-746.641147,1428,119.755962
-542.81128,1428,125.590418
-287.4851,1428,132.700094
-804.734387,1428,138.193779
-1041.477701,1428,144.178964
-461.45898,1428,149.532864
-698.3149,1428,155.168083
-742.387311,1428,160.728774
-330.855627,1428,166.137322
-433.447243,1428,171.737936
-376.461854,1428,177.155757
-397.200097,1428,182.698078
-672.045074,1428,188.135219
-830.565436,1428,194.985448
-503.247876,1428,200.738903
-519.524919,1428,206.172071
-436.528578,1428,211.521561
-845.248407,1428,216.971346
-383.244287,1428,222.233851
-388.869857,1428,227.372604
-854.869073,1428,232.6643
-149.083536,1428,237.875579
-218.13676,1428,243.288967
-525.66887,1428,248.604614
-407.978923,1428,255.532204
-836.806304,1428,261.179381
-413.215838,1428,266.731591
-328.054091,1428,272.348731
-277.742766,1428,277.982641
-317.6146,1428,283.311965
-767.680916,1428,288.736763
-724.378577,1428,294.234762
-731.507944,1428,299.718746
-645.849757,1428,305.306803
-818.726097,1428,310.801825
-499.248507,1428,316.133289
-592.175726,1428,322.817706
-356.001723,1428,328.177165
-312.364719,1428,333.586652
-1011.805935,1428,339.16046
-739.378606,1428,344.665507
-460.638031,1428,349.99192
-476.984261,1428,355.419776
-523.513745,1428,361.163738
-700.770919,1428,366.506062
-792.644301,1428,371.991752
-285.043731,1428,377.50871
-158.077243,1428,384.624238
-433.255527,1428,390.057819
-41.658094,1428,395.653692
-405.033824,1428,401.078651
-292.336386,1428,406.612315
-638.053924,1428,411.966256
-268.938563,1428,417.696325
-324.06678,1428,422.843579
-257.390317,1428,428.057693
-352.535833,1428,433.323267
-437.661096,1428,438.524946
-138.215138,1428,445.636402
-415.114352,1428,450.922153
-768.932001,1428,456.513803
-817.697177,1428,462.068309
-312.259104,1428,467.761193
-368.39636,1428,473.014739
-520.24262,1428,478.474708
-610.725047,1428,483.813825
-569.393119,1428,489.203748
-286.640541,1428,494.812509
-127.138114,1428,500.537095
139.565699,1428,507.196476
-552.175202,1428,512.880709
-267.623974,1428,518.431318
-630.072586,1428,524.100929
-81.282852,1428,529.661552
-446.809965,1428,535.053052
376.811607,1428,540.633746
-261.520422,1428,546.133481
-374.015633,1428,551.621803
-224.606581,1428,556.926443
-262.923763,1428,562.449921
-506.677916,1428,569.790748
-571.542608,1428,575.296755
-853.839951,1428,580.915484
-304.569927,1428,586.301966
-185.362355,1428,591.677737
-203.228917,1428,597.0238
-477.101694,1428,602.471983
-212.092868,1428,608.361758
-362.959748,1428,613.988982
-700.277641,1428,619.259789
-398.614809,1428,624.5124
-257.542734,1428,629.762325
-740.750262,1428,636.760576
-287.623973,1428,642.241214
-398.873563,1428,647.31048
-205.356002,1428,652.638921
-168.556823,1428,657.621625
-185.059624,1428,663.071334
-385.48486,1428,668.539666
-472.816267,1428,674.005023
-571.85793,1428,679.556803
-472.405006,1428,685.075595
-33.326273,1428,690.48963
-435.250705,1428,697.402652
-171.371776,1428,702.891044
-230.871983,1428,708.335927
-257.110915,1428,713.711943
-250.465561,1428,719.200798
-153.955517,1428,724.677491
-285.872532,1428,730.129806
-286.011546,1428,735.395367
-359.245206,1428,740.906944
-119.071806,1428,746.330945
-446.743417,1428,752.119722
-277.537026,1428,758.946566
392.248506,1428,764.529731
17.026474,1428,770.094926
-209.249251,1428,775.554001
-282.955612,1428,780.933692
-229.453717,1428,786.443623
-521.279794,1428,791.870142
229.916922,1428,797.095224
-220.982062,1428,802.609886
-431.32582,1428,808.152193
-279.771479,1428,813.855033
-158.162111,1428,820.764421
-377.954868,1428,826.332029
-229.092661,1428,831.605236
-378.21559,1428,837.31691
-385.769262,1428,842.623537
-227.945014,1428,848.00473
-606.395347,1428,853.07357
-171.67578,1428,858.398373
-479.628174,1428,863.904333
-331.873222,1428,869.156804
-347.171835,1428,874.602662
-506.724311,1428,881.406302
-345.03409,1428,886.772461
-342.837465,1428,892.17481
-535.164644,1428,897.617661
-332.084635,1428,903.128148
-147.020781,1428,908.940258
-608.369269,1428,914.548699
-175.061677,1428,920.166952
-160.72665,1428,925.5769
-613.177006,1428,931.291663
-522.578945,1428,936.877019
-153.935905,1428,942.533101
-281.268056,1428,949.132432
-260.90762,1428,954.75043
-265.944372,1428,960.337789
-228.133561,1428,965.706687
-113.586684,1428,971.203248
-314.815927,1428,976.58895
-218.907406,1428,981.815413
-446.108463,1428,987.28955
-16.264047,1428,992.911575
-477.244158,1428,998.596797
-384.912697,1428,1004.025801
-219.026104,1428,1010.765132
-309.493133,1428,1016.167198
-155.053001,1428,1021.372733
-139.315779,1428,1027.028729
-59.070842,1428,1032.418506
-63.295278,1428,1038.052329
-245.598096,1428,1043.601612
-262.188234,1428,1048.950591
408.780128,1428,1054.312541
-178.975531,1428,1059.861255
-302.982559,1428,1065.774325
-225.958658,1428,1072.506312
-450.414857,1428,1077.726549
145.86871,1428,1083.168515
