#{"t_start": 1594048291.4770284, "env_id": null}
r,l,t
-2257.140865,7142,28.589314
-4577.225979,7142,51.259348
-2685.691838,7142,74.510911
-1643.176452,7142,97.462289
-4833.815819,7142,121.229144
-852.957385,7142,145.389774
-2483.184601,7142,169.250194
257.751181,7142,192.735766
-4646.450514,7142,216.703012
-3917.149886,7142,240.995082
-4859.638556,7142,265.316797
-2892.543558,7142,289.634007
-5719.84256,7142,314.161766
-2433.906907,7142,339.091336
-3550.85461,7142,364.111108
-1307.473031,7142,389.045937
-2114.584057,7142,413.768427
-7489.938568,7142,439.351249
-4675.081995,7142,464.485449
-4175.289492,7142,489.174862
-5187.2442,7142,513.55407
-2804.904683,7142,538.3018
-2478.690365,7142,563.692279
-2766.984599,7142,589.046736
-6001.865114,7142,613.777097
-170.796326,7142,638.104792
-7056.332274,7142,663.321387
-2487.213397,7142,687.778007
-3310.32245,7142,712.594079
-1118.738995,7142,736.687741
-2924.129351,7142,762.088214
-6159.842982,7142,786.153226
-7994.020329,7142,810.9235
-6567.202288,7142,835.397779
-4002.481361,7142,859.714526
-6368.390589,7142,884.132484
-6181.56465,7142,909.038312
-5247.938931,7142,933.337417
-9113.48409,7142,957.591209
-7386.616011,7142,982.010322
-7843.778357,7142,1006.858276
-2116.687969,7142,1031.791026
-6036.233341,7142,1057.056342
-2408.598526,7142,1081.878138
-4765.920251,7142,1106.822528
-4236.166273,7142,1131.728148
-361.316181,7142,1157.762364
-11277.038172,7142,1182.275418
-5228.100579,7142,1206.308218
-2279.585116,7142,1230.591326
-3616.840415,7142,1254.878215
-5256.838397,7142,1280.184306
-6913.02265,7142,1306.01143
-6013.602319,7142,1331.48398
-4989.438552,7142,1355.878074
-2921.416159,7142,1381.282937
-3455.016097,7142,1406.091501
-1785.843654,7142,1431.295923
-1023.894646,7142,1456.338893
-3517.597054,7142,1480.990957
-2671.835902,7142,1505.295931
-4812.167001,7142,1530.32301
-1733.740439,7142,1554.907954
-2399.571941,7142,1579.811192
-444.001806,7142,1604.652156
-9432.070542,7142,1629.756671
-4445.095607,7142,1655.079637
-3059.820012,7142,1680.178277
-3684.676522,7142,1705.08017
-5776.181052,7142,1731.112327
-3545.920626,7142,1756.276313
-1393.064996,7142,1781.050985
-1642.474511,7142,1805.591195
-3855.075975,7142,1830.409848
-4404.988944,7142,1854.65066
-2173.967045,7142,1879.951589
-369.631331,7142,1904.868972
-1081.841165,7142,1929.068125
-3730.019726,7142,1953.64003
-9502.167711,7142,1978.423298
-3880.106865,7142,2002.175168
-9432.272055,7142,2026.591653
-3895.276155,7142,2050.893307
-7550.931482,7142,2074.814872
-1338.031749,7142,2100.091814
-1731.98953,7142,2124.217575
-5996.606772,7142,2149.54856
-5669.783484,7142,2174.872172
-6587.951383,7142,2199.541132
-3602.199376,7142,2224.068699
-5843.236955,7142,2248.935067
-3293.060471,7142,2273.221021
-2470.393744,7142,2297.917721
-683.600844,7142,2323.257511
-6822.38422,7142,2347.669765
-2328.077264,7142,2372.911587
-4543.009148,7142,2397.620895
-4660.311129,7142,2421.407377
-6317.214116,7142,2445.874874
-2716.709149,7142,2471.356033
-835.849779,7142,2496.231504
-4474.149134,7142,2520.989366
-1871.910509,7142,2545.591583
-2014.730396,7142,2571.280478
-1186.566534,7142,2596.558242
-11995.145161,7142,2622.089855
-4229.260428,7142,2647.378431
-3057.312464,7142,2671.942542
-1668.277745,7142,2696.569598
-10782.988245,7142,2722.292456
-8582.597634,7142,2747.11394
-8982.977934,7142,2771.253263
-1484.754412,7142,2796.305897
-2936.330306,7142,2820.748017
-2247.315013,7142,2845.28262
-499.944757,7142,2870.250768
-2848.504905,7142,2894.323444
-1859.987489,7142,2918.74808
-2405.589972,7142,2943.588715
-1748.637829,7142,2968.693214
-5676.906337,7142,2994.041984
-2777.540501,7142,3018.722994
-7721.500518,7142,3044.350651
-2462.729859,7142,3069.586533
-2489.354522,7142,3095.142934
-6176.987457,7142,3119.571759
-4604.382281,7142,3144.65231
-6126.624762,7142,3169.815905
-2905.677073,7142,3194.9793
-2895.220346,7142,3219.833602
-2780.087936,7142,3244.805379
-2977.249954,7142,3269.908691
-2420.743331,7142,3295.632733
5650.467798,7142,3320.812495
-2158.538055,7142,3345.639381
-7609.104652,7142,3370.874058
-3747.676165,7142,3396.262625
-4159.914321,7142,3421.508032
-4324.32353,7142,3446.148072
-2669.659999,7142,3471.373787
-6527.127545,7142,3497.152516
