#{"t_start": 1595870624.071787, "env_id": null}
r,l,t
-6160.047463,3571,44.781498
-6158.160708,3571,86.88484
-5965.764755,3571,129.346248
-6547.449386,3571,170.548555
-6197.224731,3571,215.350041
-5528.216207,3571,257.964067
-5579.200831,3571,300.21348
-5997.413226,3571,342.166417
-5304.684571,3571,387.406698
-4450.0945,3571,430.158682
-3940.247002,3571,472.998487
-4732.604424,3571,516.031343
-4789.213522,3571,558.170625
-4325.320377,3571,604.819236
-4424.569101,3571,648.081438
-3883.342715,3571,690.273371
-2781.560298,3571,735.023169
-3832.931904,3571,781.573795
-1610.986145,3571,827.048655
-1528.565312,3571,872.341928
-1533.531772,3571,917.254094
-2141.835481,3571,961.300668
-1131.389843,3571,1011.163501
-556.711782,3571,1058.380187
-1035.605865,3571,1104.810601
-729.626084,3571,1150.954466
-1113.103416,3571,1200.020717
-1522.770035,3344,1242.871243
-680.216988,3571,1290.493436
-1.508523,3571,1338.960756
-1071.904308,3571,1385.412253
-1798.416773,2368,1418.530992
-483.903085,3571,1466.525823
-941.146791,3571,1514.028143
-401.537244,3571,1562.646839
-646.238648,3571,1610.648628
331.189134,3571,1663.127897
-342.746273,3571,1710.971921
332.509011,3571,1760.608638
-41.424016,3571,1809.258694
-1545.145629,1820,1830.892189
222.873666,3571,1883.547738
-148.937484,3571,1931.921917
-0.333536,3571,1981.247781
471.555956,3571,2029.789756
532.708163,3571,2082.237969
623.226532,3571,2130.923656
654.930429,3571,2179.44259
155.770862,3571,2228.305557
560.446275,3571,2276.594274
991.968693,3571,2328.378569
1864.339895,3571,2377.459254
1480.221673,3571,2427.144608
2437.856793,3571,2475.442128
1818.765989,3571,2528.353246
2352.911384,3571,2577.632462
2889.403944,3571,2627.233998
692.142643,3571,2676.041304
2081.533932,3571,2725.432052
2350.975204,3571,2777.055477
3960.11117,3571,2826.415493
3735.206855,3571,2875.887932
3012.326889,3571,2925.377344
3031.909432,3571,2978.126577
2407.874206,3571,3026.285282
2482.547224,3571,3074.437548
3966.267831,3571,3122.493909
4581.142388,3571,3170.91449
2352.078093,3571,3221.588845
4685.028494,3571,3269.667429
4822.678377,3571,3317.8806
2942.426441,3571,3367.259637
4627.4623,3571,3419.497377
4742.306999,3571,3468.087451
5104.879265,3571,3517.533614
5068.659224,3571,3566.848513
4882.974373,3571,3616.195044
2535.254635,3571,3668.052372
4971.448484,3571,3716.996089
4848.495286,3571,3766.773968
5075.456522,3571,3816.483256
3549.886949,3571,3868.531221
4652.872425,3571,3917.527163
4803.291726,3571,3967.306984
4445.832076,3571,4015.876165
5137.265001,3571,4064.494432
1814.817765,3571,4115.929884
-79.004442,3571,4164.33859
3826.285683,3571,4213.398245
3206.681539,3571,4262.974547
2199.524076,3571,4315.032189
4706.818639,3571,4363.843609
4643.538459,3571,4413.470459
-463.710672,428,4418.658951
963.985271,3571,4467.489628
4990.694019,3571,4520.150584
4774.068715,3571,4569.398294
5478.047332,3571,4618.464595
4041.940837,3571,4668.166984
5467.238202,3571,4717.199284
5563.71094,3571,4768.91029
5417.785174,3571,4818.142974
5408.167615,3571,4868.026111
5369.292236,3571,4917.911113
4324.315155,3571,4970.575608
5514.057296,3571,5020.073974
5257.462164,3571,5069.848486
5372.571037,3571,5118.884057
3861.474154,3571,5167.927933
5841.635816,3571,5220.726753
5659.416705,3571,5269.777857
5030.471133,3571,5319.354611
-707.539457,755,5328.37224
5396.125385,3571,5378.042234
5256.303206,3571,5430.729501
5428.563071,3571,5480.151206
5191.10497,3571,5529.449704
4908.850322,3571,5578.504435
4594.800963,3571,5627.562863
5063.70016,3571,5680.161075
5317.482762,3571,5730.060549
4694.179997,3571,5780.002134
5024.511926,3571,5829.773384
5762.706082,3571,5883.275386
5929.071061,3571,5933.099427
5140.367517,3571,5982.046957
5274.730429,3571,6031.490537
5500.32413,3571,6080.807565
4892.724156,3571,6133.100003
5108.382248,3571,6182.195472
5307.367064,3571,6231.382699
5717.968465,3571,6280.380887
5413.161182,3571,6332.426618
5825.711576,3571,6381.858286
5839.737379,3571,6431.354067
5009.104302,3571,6481.376283
5409.632703,3571,6533.773215
-1069.766827,1620,6553.971637
5352.864074,3571,6602.185492
5629.707584,3571,6650.391348
5521.033911,3571,6697.110941
5168.53625,3571,6742.903457
5768.692043,3571,6790.812315
5434.70536,3571,6835.153201
5278.031309,3571,6874.380681
4938.93207,3571,6910.030929
