#{"t_start": 1595863663.4744265, "env_id": null}
r,l,t
-6390.40205,3571,41.799322
-5225.952022,3571,81.027155
-5953.289203,3571,121.123261
-6171.130771,3571,161.544223
-5479.086839,3571,205.808714
-4790.018094,3571,249.215209
-4657.324531,3571,292.375267
-4785.34314,3571,334.946966
-5081.885657,3571,379.232876
-4681.329439,3571,423.242611
-4280.073653,3571,466.823132
-3942.071307,3571,510.722501
-3660.974087,3571,553.999807
-3768.275143,3571,599.02077
-4125.362496,3571,642.538777
-3422.727992,3571,687.049551
-3822.705094,3571,730.655222
-3663.661196,3571,775.819345
-2938.929436,3571,821.124704
-3144.835975,3571,865.954882
-3266.750512,3571,909.992499
-2878.578108,3571,955.044524
-2894.954146,3571,1001.249794
-2332.836689,3571,1045.569872
-2586.416101,3571,1089.601789
-2348.730864,3571,1132.94444
-2523.908189,3571,1177.879806
-1192.693335,3571,1224.29648
-1526.722382,3571,1269.75859
-1212.935504,3571,1315.820854
-1806.788617,3571,1360.870252
-1176.785423,3571,1407.134161
-1163.559872,3571,1452.253056
-1446.020335,3571,1497.61676
-1244.975516,3571,1543.100504
-1018.764818,3571,1589.644942
-908.374593,3571,1636.291056
-788.869476,3571,1681.535737
-1347.337259,3571,1726.044782
-946.028085,3571,1770.945055
-969.313899,3571,1817.236909
-761.028625,3571,1863.8558
-834.497274,3571,1909.375665
-773.636784,3571,1955.412905
-695.004537,3571,2003.177919
-657.82158,3571,2050.047847
-511.750636,3571,2097.393231
-220.90804,3571,2146.490363
-540.114488,3571,2193.845534
-547.188562,3571,2243.654269
-520.120393,3571,2291.838085
-1097.707273,3571,2338.612339
-464.680754,3571,2385.789929
-1470.200906,3571,2433.010072
377.63037,3571,2483.124075
-509.922457,3571,2532.378785
-1362.890291,3571,2578.877216
-571.522596,3571,2625.983675
-838.284904,3571,2674.600982
-487.866558,3571,2722.914839
-504.118388,3571,2770.605149
-874.278995,3571,2817.903055
-430.439269,3571,2867.78986
-1017.057807,1208,2884.099522
-369.539975,3571,2935.315117
513.01262,3571,2984.420486
1168.968422,3571,3032.712098
-360.359093,3571,3081.794626
521.288514,3571,3129.576276
-353.919736,3571,3178.134024
-414.559521,3571,3227.017377
-456.275487,3571,3274.858807
-1768.824277,3571,3319.621582
-370.669593,3571,3367.75054
-428.981959,3571,3416.297151
-370.546952,3571,3465.600349
-352.739497,3571,3516.020572
-396.300702,3571,3564.56054
-390.635524,3571,3612.957836
-389.586995,3571,3661.969404
-361.525762,3571,3710.384374
-367.263641,3571,3761.386308
-392.469993,3571,3809.879311
-359.260217,3571,3858.936544
-349.583817,3571,3907.195447
-351.326732,3571,3956.289105
-346.836545,3571,4004.701295
-368.220767,3571,4053.073889
-326.822263,3571,4102.125367
-365.469942,3571,4150.591284
590.518167,3571,4201.454542
-368.404828,3571,4250.107013
-376.976185,3571,4298.726088
597.346384,3571,4348.358819
-374.982244,3571,4397.106988
-350.175449,3571,4445.191489
-357.112407,3571,4494.129349
-364.025141,3571,4543.396669
-324.787551,3571,4592.139884
-353.126004,3571,4641.839392
-1503.772516,3020,4679.156029
-608.681975,699,4687.640081
1164.758671,3571,4737.323546
-323.921205,3571,4784.68866
-345.395649,3571,4833.140275
-355.304252,3571,4881.240134
-335.490333,3571,4929.899266
-358.461479,3571,4978.72825
1566.997107,3571,5027.118627
-349.08555,3571,5077.608929
419.859215,3571,5126.051332
-359.3402,3571,5174.623035
-342.011746,3571,5223.232338
-334.765593,3571,5272.679436
-324.204041,3571,5321.800376
-342.580725,3571,5371.300415
-334.047914,3571,5420.379521
-345.007682,3571,5468.676775
-371.289987,3571,5518.636317
-340.130122,3571,5567.242985
-341.79659,3571,5616.717474
-334.495381,3571,5664.779391
-351.288291,3571,5713.547291
-371.191113,3571,5761.685036
-343.27293,3571,5809.165744
-331.585012,3571,5856.9251
-390.009317,3571,5904.758162
-351.777289,3571,5954.345633
-321.249837,3571,6003.450611
-323.230752,3571,6052.139139
-334.17711,3571,6100.266045
4777.950204,3571,6150.753075
-321.695642,3571,6199.339665
-332.914528,3571,6248.121113
-319.173724,3571,6297.347896
-341.150896,3571,6346.017823
-331.764004,3571,6395.909121
-321.288022,3571,6444.265389
-343.330411,3571,6493.183689
-338.232228,3571,6541.443251
-342.273244,3571,6590.876789
3272.387834,3571,6639.678383
-325.488283,3571,6688.66289
-327.397236,3571,6737.651809
