#{"t_start": 1595744189.1407537, "env_id": null}
r,l,t
-2774.705723,3571,62.192564
-1843.78332,3571,120.784809
-1843.791397,3571,179.858879
-1843.776285,3571,238.38322
-1839.852292,3571,296.328627
-1839.085831,3571,353.958535
-1835.164717,3571,412.950914
-1826.04374,3571,470.404869
-1810.26533,3571,529.308963
-1810.26533,3571,587.424641
-1810.26533,3571,644.852621
-1810.26533,3571,703.195888
-1810.26533,3571,763.084435
-1810.26533,3571,818.43052
-1810.26533,3571,875.946029
-1810.26533,3571,932.517289
-1810.26533,3571,991.221921
-1810.26533,3571,1047.992367
-1810.26533,3571,1104.325787
-1810.26533,3571,1160.417686
-1810.26533,3571,1217.160197
-1810.26533,3571,1274.318893
-1810.26533,3571,1331.88452
-1810.26533,3571,1386.998879
-1810.26533,3571,1444.75332
-1810.26533,3571,1502.948156
-1810.26533,3571,1562.639674
-1810.26533,3571,1620.756823
-1810.26533,3571,1680.821961
-1810.26533,3571,1740.475868
-1810.26533,3571,1801.011677
-1810.26533,3571,1862.881041
-1810.26533,3571,1924.333362
-1810.26533,3571,1985.351268
-1810.26533,3571,2045.186047
-1935.945893,3571,2108.014931
-2022.253392,3571,2185.482119
-1845.634743,3571,2246.240306
-1843.50821,3571,2306.641706
-1842.258408,3571,2367.597306
-1842.648608,3571,2428.236744
-1842.699635,3571,2488.01284
-1842.771413,3571,2548.437586
-1842.854668,3571,2609.086214
-1842.907958,3571,2669.253573
-1843.295042,3571,2728.779822
-1842.435563,3571,2786.789829
-1841.328913,3571,2845.919124
-1840.624093,3571,2904.311686
-1838.5372,3571,2962.408531
-1841.419923,3571,3020.570099
-1810.26533,3571,3077.743937
-1810.26533,3571,3136.838174
-1810.26533,3571,3196.674686
-1810.26533,3571,3255.404574
-1810.26533,3571,3313.680724
-1810.26533,3571,3372.782335
-1810.26533,3571,3431.427834
-1810.26533,3571,3491.592762
-1810.26533,3571,3550.189451
-1810.26533,3571,3607.691092
-1810.26533,3571,3668.0358
-1810.26533,3571,3725.391209
-1810.26533,3571,3783.212368
-1810.26533,3571,3843.546066
-1810.26533,3571,3901.899776
-1810.26533,3571,3960.907541
-1810.26533,3571,4019.852698
-1810.26533,3571,4077.507445
-1810.26533,3571,4137.261781
-1810.26533,3571,4198.073932
-1810.26533,3571,4256.990344
-1810.26533,3571,4315.319963
-1810.26533,3571,4373.678093
-1810.26533,3571,4431.346173
-1810.26533,3571,4490.242109
-1810.26533,3571,4549.143606
-1810.26533,3571,4607.847267
-1810.26533,3571,4668.360753
-1810.26533,3571,4728.016748
-1810.26533,3571,4786.288569
-1810.26533,3571,4846.214255
-1810.26533,3571,4905.056454
-1810.26533,3571,4962.19208
-1810.26533,3571,5021.433957
-1810.26533,3571,5081.669982
-1810.26533,3571,5140.609373
-1810.26533,3571,5199.78309
-1810.26533,3571,5258.755464
-1810.26533,3571,5319.098597
-1810.26533,3571,5378.130333
-1810.26533,3571,5437.327416
-1810.26533,3571,5497.146335
-1810.26533,3571,5556.541052
-1810.26533,3571,5615.558313
-1810.26533,3571,5675.88291
-1810.26533,3571,5734.66649
-1810.26533,3571,5793.148414
-1810.26533,3571,5853.978226
-1810.26533,3571,5911.659112
-1810.26533,3571,5971.172301
-1810.26533,3571,6029.087134
-1810.26533,3571,6089.237945
-1810.26533,3571,6148.789629
-1810.26533,3571,6208.448709
-1810.26533,3571,6267.71986
-1810.26533,3571,6327.149793
-1810.26533,3571,6384.390294
-1810.26533,3571,6442.260563
-1810.26533,3571,6502.290571
-1810.26533,3571,6561.813714
-1810.26533,3571,6620.903194
-1810.26533,3571,6681.367681
-1810.26533,3571,6741.16957
-1810.26533,3571,6801.616118
-1810.26533,3571,6862.151152
-1810.26533,3571,6921.510472
-1810.26533,3571,6981.003727
-1810.26533,3571,7040.799382
-1810.26533,3571,7099.171993
-1810.26533,3571,7158.102857
-1810.26533,3571,7217.472771
-1810.26533,3571,7277.056692
-1810.26533,3571,7336.7198
-1810.26533,3571,7394.649496
-1810.26533,3571,7452.281095
-1810.26533,3571,7511.683575
-1810.26533,3571,7569.273426
-1810.26533,3571,7627.878424
-1810.26533,3571,7686.58884
-1810.26533,3571,7744.991864
-1810.26533,3571,7805.631162
-1810.26533,3571,7865.253987
-1810.26533,3571,7922.998926
-1810.26533,3571,7981.159822
-1810.26533,3571,8036.865033
-1810.26533,3571,8093.304177
-1810.26533,3571,8151.577596
-1810.26533,3571,8208.048687
-1810.26533,3571,8264.274882
