#{"t_start": 1595699659.8326697, "env_id": null}
r,l,t
-3080.720951,3571,83.764556
-2325.566545,3571,164.68741
-1074.69349,1079,188.368266
-542.570242,739,204.801915
-573.871207,1074,230.319478
-900.26654,2026,276.343043
-439.906869,339,283.751429
-927.796267,991,305.478221
-642.346332,1154,331.167229
-407.130622,404,340.174052
-361.207207,248,345.65174
-404.556815,412,354.516213
-375.319924,286,360.572415
-425.305873,477,370.692526
-383.083579,299,377.080916
-375.147589,254,382.616618
-690.185801,1248,411.380848
-522.12827,3571,497.401501
-460.604295,320,504.368342
-449.647014,358,512.23774
-741.007292,3571,596.49624
-426.446554,429,605.802467
-438.835506,463,616.120963
-469.036074,513,627.496871
-369.063039,275,633.461069
-401.194209,360,641.410619
-377.949057,269,647.09668
-381.421628,322,654.211271
-466.773558,486,664.761423
-1229.414585,1403,694.931813
-356.823692,288,701.575799
-278.563062,259,707.314045
1168.892554,3571,794.845392
494.698945,3571,883.147684
356.405314,3571,972.102647
1387.688551,3571,1059.444376
1931.769029,3571,1146.940693
-232.121748,289,1153.289862
2762.714677,3571,1241.321838
-271.19694,297,1248.033484
-215.209186,258,1253.972579
2261.73567,3571,1342.012765
1584.226978,3571,1430.188913
1275.322064,3571,1518.680615
84.105386,3571,1608.66714
-529.977663,876,1629.051688
458.110336,3571,1717.235728
625.693322,3571,1804.610309
593.552675,3571,1892.619231
376.668172,3571,1980.148427
-174.400146,3571,2066.814366
-305.96545,3571,2154.038502
-292.231657,3571,2240.858694
-110.450351,3571,2327.349173
-3274.230206,3571,2405.511093
-2939.273422,3571,2485.150223
-2592.834559,3571,2563.695544
-2770.910295,3571,2641.446731
-2859.686372,3571,2718.895348
-3391.364126,3571,2797.058563
3041.804927,3571,2883.287891
-1994.394427,3571,2958.413122
-352.920145,356,2966.089041
-585.775842,551,2977.981475
-674.267622,582,2990.7088
-401.186989,420,2999.807515
-377.421241,390,3008.06267
-639.42731,870,3027.082374
-355.347185,339,3034.475797
-430.647547,528,3046.09431
-345.445827,335,3053.238999
-538.633695,677,3067.990647
-442.778576,576,3080.631252
-559.830124,844,3099.331828
-1655.7781,3571,3177.06794
-1672.259803,3571,3254.463425
-1693.975223,3571,3331.674175
-792.912317,1340,3361.066561
-276.247822,217,3365.782841
-310.679908,263,3371.461651
-266.327104,197,3375.698519
-286.82725,228,3380.733669
-937.539081,1705,3418.133531
-467.515024,664,3432.902794
-353.112925,395,3441.596301
-451.706595,610,3454.900672
-387.644336,360,3462.675864
-292.293767,266,3468.451833
-551.837971,842,3486.922986
-530.831647,758,3503.510301
-268.244826,207,3507.864491
-647.847104,1085,3531.472625
-336.742156,357,3539.36061
-275.503562,214,3544.071738
-337.297878,371,3552.159923
-319.865685,318,3559.177277
-262.86464,217,3563.864944
-687.781931,1068,3586.923028
-318.703393,316,3593.902995
-394.360916,433,3603.538225
-819.541224,1311,3632.174109
-440.518375,613,3645.849946
-340.710411,360,3653.61191
-400.058548,395,3662.18636
-264.435367,203,3666.563774
-296.727109,255,3672.103781
-304.16737,253,3677.484209
-340.991566,338,3684.77676
-303.473971,249,3690.137428
-343.724958,373,3698.289252
-367.679268,342,3705.579319
-265.29055,216,3710.285197
-298.704797,235,3715.363544
-265.31969,184,3719.283665
-413.898851,531,3730.907805
-406.680401,431,3740.210432
-638.291798,904,3760.136379
-278.53531,204,3764.59525
-323.558039,259,3770.191422
-328.525253,285,3776.347202
-410.432195,361,3784.179737
-269.060583,192,3788.342672
-344.700726,293,3794.676663
-329.229974,282,3800.984857
-399.535176,440,3810.62049
-299.692343,228,3815.57811
-297.803625,210,3820.046028
-267.53596,213,3824.847949
-294.895045,215,3829.456454
-303.079843,252,3834.925853
-427.266888,3571,3921.063919
-324.958174,3571,4007.610164
780.177424,3571,4095.222587
-178.711861,153,4098.709209
-180.133191,157,4102.220203
133.070521,3571,4190.699643
-301.181595,291,4196.937766
-237.857488,217,4201.622474
430.657103,3571,4289.487344
-109.50811,3571,4376.872929
-0.139894,3571,4464.205966
-768.451382,3571,4549.676398
-463.521396,445,4559.24715
-227.880474,211,4563.830561
577.831177,3571,4652.249907
-217.791342,197,4656.642447
-213.840518,179,4660.436456
-207.264416,166,4664.101259
-181.75211,146,4667.318661
471.156907,3571,4755.437074
-728.641773,815,4772.939838
-218.657271,194,4777.272739
-168.217036,133,4780.129732
-337.738637,454,4790.688522
-207.582143,175,4794.44684
-218.855407,219,4799.233676
-209.205288,197,4803.574485
-25.515734,3571,4891.572875
-16.124581,3571,4979.463374
-210.215949,193,4983.854594
-278.993618,302,4990.480042
-422.862372,3571,5076.5792
-557.289432,3571,5160.813695
-191.749454,156,5164.240697
-199.436827,148,5167.554553
-407.249428,500,5178.659855
-1302.570347,3571,5262.855275
-43.839525,3571,5351.159984
89.948259,3571,5440.194228
168.103996,3571,5528.526144
141.260991,3571,5617.468407
237.392441,3571,5705.262042
48.056148,3571,5794.915178
-205.281338,3571,5883.239167
-370.131253,3571,5973.608723
-562.343613,3571,6064.458774
218.650979,3571,6152.535
531.685282,3571,6241.080909
-16.67964,3571,6329.300719
-265.554306,3571,6416.747335
-192.421143,3571,6502.556388
1407.913324,3571,6590.71604
1454.787498,3571,6679.51071
1308.365013,3571,6768.122747
1709.780721,3571,6856.160317
2229.079235,3571,6943.929383
2214.863992,3571,7032.194954
2935.45992,3571,7119.875576
-325.723432,1409,7152.246558
-193.037345,117,7154.730256
-202.221467,153,7158.084407
-193.606215,139,7161.089566
-216.981444,220,7165.882883
-205.814066,179,7169.877631
-192.375217,104,7172.051796
2547.182948,3571,7259.991943
1086.339156,3571,7346.564547
1431.206565,3571,7434.530571
1709.933279,3571,7521.800736
714.64164,3571,7609.259152
655.372208,3571,7695.449982
-278.065497,678,7710.377805
516.196055,3571,7796.397176
927.086466,3571,7881.439181
1319.354727,3571,7967.349202
1595.526122,3571,8052.711734
-1014.585764,3571,8133.042979
1147.905135,3571,8218.22435
1181.15369,3571,8303.102504
820.946616,3571,8386.962898
857.470508,3571,8471.929555
1636.643052,3571,8556.14725
1583.787308,3571,8641.15871
581.050632,3571,8726.586754
937.057874,3571,8811.901075
1066.27495,3571,8897.439882
1263.713549,3571,8982.629686
1230.453141,3571,9067.691448
1349.249943,3571,9153.455639
1520.636026,3571,9238.553937
1367.121993,3571,9324.957721
1251.526305,3571,9409.48092
1289.044308,3571,9495.401636
1696.831818,3571,9580.593997
1943.810119,3571,9665.660689
1680.371839,3571,9750.617591
-244.404028,310,9757.355932
-365.466066,770,9774.191855
2018.253071,3571,9859.129631
-2162.794721,3571,9938.87174
-772.327828,1697,9976.690993
-323.405604,444,9986.393968
1888.502575,3571,10070.236488
-1226.509763,3571,10149.643614
-667.456236,1383,10179.762599
-284.947779,321,10186.634659
-1882.385694,3571,10268.209677
-1770.402821,3571,10348.040806
-1335.567952,3571,10427.818615
-368.086804,440,10437.148483
-433.130636,540,10448.608086
-354.87068,3571,10530.530041
1578.750041,3571,10616.091398
-1200.273358,3571,10695.668378
2297.73163,3571,10780.488966
2822.589512,3571,10864.955619
3332.0184,3571,10949.30141
3542.207571,3571,11033.165848
3530.879828,3571,11118.351727
3718.168073,3571,11203.170498
3807.578266,3571,11288.017009
3465.717782,3571,11372.834479
3971.204557,3571,11457.471714
4174.71766,3571,11541.912014
3769.496092,3571,11626.105875
-1079.720269,1218,11651.830307
4030.295845,3571,11737.057925
3999.413635,3571,11821.380903
