#{"t_start": 1595752043.8524477, "env_id": null}
r,l,t
-4901.384521,3571,56.997808
-6265.549652,3571,109.694269
-6130.234405,3571,162.693118
-6389.373674,3571,215.418837
-6731.141241,3571,268.253943
-6295.859894,3571,319.914557
-6058.48523,3571,372.462381
-6486.644245,3571,424.852833
-5939.679869,3571,479.626446
-6237.286991,3571,532.05397
-6565.499984,3571,585.047289
-6248.957438,3571,638.453097
-6572.600672,3571,690.919763
-5638.936682,3571,744.49973
-372.975009,1448,774.752136
-232.687419,122,776.903386
-232.534823,120,778.845335
-233.713842,121,781.228185
-230.228013,119,783.164323
-233.18293,121,785.114239
-246.430156,157,788.181182
-189.856525,113,790.189772
-189.811125,108,792.193858
-194.410641,151,794.844228
-191.447787,130,797.626118
-193.035513,139,800.067616
-199.109738,135,802.407889
-192.739868,133,805.168014
-193.145302,132,807.466827
-192.275469,137,809.833612
-194.968775,141,812.692294
-195.813197,145,815.286563
-196.122063,158,818.460519
-191.637185,135,820.749359
-197.926122,143,823.477309
-192.135924,135,825.536408
-191.981745,129,827.970335
-191.543886,128,830.212429
-192.420441,136,833.064179
-194.898371,142,835.541238
-195.18991,149,838.710387
-191.977083,133,841.036094
-192.670216,139,843.354921
-190.616553,106,845.323359
-191.986543,131,848.163551
-192.368849,136,850.30021
-193.119043,138,853.116563
-192.011812,136,855.719661
-186.249545,101,857.519635
-193.662131,136,859.740249
-191.929743,133,862.563303
-194.749193,142,865.038879
-193.091445,147,867.63942
-193.703062,138,870.706562
-200.886536,151,873.304037
-197.161037,149,876.282691
-192.789406,139,878.519069
-193.422579,106,880.557875
-194.429109,155,883.678615
-191.936745,131,885.917162
-191.557893,129,888.137439
-193.73082,136,891.182265
-191.538198,130,893.460772
-194.024432,156,896.610029
-193.684424,135,898.92555
-193.897597,134,901.275678
-193.719305,140,904.203386
-192.752105,137,906.542859
-192.881943,137,909.574638
-198.28498,136,911.820318
-196.081447,146,914.265787
-192.403693,110,916.265301
-188.504318,110,918.681477
-195.459202,151,921.296907
-193.334451,152,924.328294
-431.588979,1193,950.731078
-217.146472,275,956.838701
-202.362676,143,960.105478
-242.95076,292,966.289711
-2844.97907,3571,1046.819382
-2953.158061,3571,1126.832484
-3142.186451,3571,1205.936097
-2207.040477,3571,1284.32546
-1001.892966,3571,1369.278308
-762.941012,3571,1455.040471
-662.183225,3571,1541.29051
-323.565531,3571,1621.732163
-322.626972,3571,1704.228813
-321.979896,3571,1782.024931
-318.20537,3571,1856.711833
-316.855556,3571,1933.018761
-317.304451,3571,2007.484948
-313.347706,3571,2082.44085
-313.541716,3571,2158.297712
-313.289331,3571,2229.292762
-338.969315,3571,2304.404257
-367.400127,3571,2375.59903
5022.685022,3571,2455.874697
-633.945004,3507,2537.366553
-314.346839,3571,2614.124725
2959.399522,3571,2693.93797
3991.46137,3571,2772.77072
4401.215338,3571,2850.656826
4722.593844,3571,2929.461356
4779.859398,3571,3007.369015
4843.855527,3571,3085.66819
4663.512636,3571,3163.2329
3973.059572,3571,3241.532792
-336.494581,3571,3321.61328
4206.13897,3571,3399.156429
4027.739346,3571,3475.475327
4616.460513,3571,3551.125929
4692.55173,3571,3625.87793
3727.88433,3571,3701.290114
2621.531285,3571,3778.955159
868.292699,3571,3856.845874
-463.379305,3571,3935.851341
-341.848742,3571,4013.534135
1478.810774,3571,4089.101842
-376.818177,3571,4164.227057
1700.292706,3571,4238.665834
2217.609408,3571,4312.267052
-312.392136,3571,4389.472742
5031.21001,3571,4460.114115
-305.553588,3571,4536.892588
4005.115972,3571,4609.781231
1135.708161,3571,4692.237205
3268.133234,3571,4771.816168
830.582797,3571,4854.213931
3388.649498,3571,4936.166553
4703.644973,3571,5014.815806
4711.661815,3571,5090.9246
4508.24478,3571,5169.683624
4370.37755,3571,5249.542309
3608.18644,3571,5331.25821
3453.808968,3571,5413.459061
4591.062936,3571,5496.434305
4543.929232,3571,5579.406324
4668.906919,3571,5662.192834
4715.498658,3571,5745.901918
4951.687339,3571,5830.347768
4799.340142,3571,5915.116524
4865.102515,3571,5999.424454
4793.103934,3571,6084.239291
4818.322067,3571,6168.623365
4295.289203,3571,6252.964996
3848.781573,3571,6336.209559
5030.785264,3571,6420.129395
4902.583313,3571,6504.41666
4370.175346,3571,6589.904267
4065.479569,3571,6676.366347
3814.600416,3571,6762.265569
4264.134803,3571,6847.252672
4490.761972,3571,6933.44365
-262.542743,205,6937.25485
-347.485901,3571,7020.457597
2811.623921,3571,7104.731277
-346.252877,3571,7186.913821
-283.134701,195,7190.61231
-255.387522,180,7193.969404
-380.234198,3571,7277.345695
-263.598638,188,7280.775307
-288.858072,218,7284.659665
-258.615957,189,7288.21917
-304.029384,222,7292.312796
-280.875076,223,7296.180858
-320.680724,253,7300.830245
-257.079666,177,7304.2233
-308.143386,234,7308.450444
-263.77005,180,7311.885972
-280.485061,200,7315.611409
-283.526017,189,7319.205788
-310.003135,227,7323.257555
-541.788282,3571,7405.007433
3344.610018,3571,7488.750685
4966.837062,3571,7573.418688
4819.633162,3571,7659.175636
4869.49282,3571,7744.244471
4922.319851,3571,7829.846311
3754.367987,3571,7914.784911
4542.714167,3571,8001.123942
-281.048735,3571,8086.185366
-312.554464,3571,8166.884205
-166.154778,3571,8238.839687
-318.529324,3571,8310.066973
-318.756175,3571,8382.305009
-334.279694,3571,8453.290793
-313.278637,3571,8524.298007
-348.482666,3571,8596.383452
-340.783661,3571,8668.046801
1397.078773,3571,8755.371725
5027.642289,3571,8836.103495
-189.6657,117,8838.277107
4409.496996,3571,8920.145669
2880.027483,3571,8999.612017
-313.202408,3571,9068.588691
-312.831648,3571,9136.392355
1124.589967,3571,9205.680007
-280.45534,3571,9271.733531
-312.441888,3571,9336.135286
-312.882733,3571,9401.591003
-312.346727,3571,9467.008713
4800.721722,3571,9545.430198
-294.10577,3571,9610.222135
4816.435998,3571,9689.007116
-311.860212,3571,9755.337172
4694.393695,3571,9832.461128
4991.092508,3571,9908.054317
-303.802435,3571,9967.38829
-313.373048,3571,10027.770837
-312.758916,3571,10087.220459
-330.891205,3571,10146.003768
-313.189977,3571,10206.018942
-314.022156,3571,10266.189282
-313.292276,3571,10329.265889
-312.14957,3571,10393.929795
