#{"t_start": 1595519875.5193381, "env_id": null}
r,l,t
-5528.203447,3571,49.555762
-6247.075731,3571,93.455572
-5859.502289,3571,137.372159
-5830.054252,3571,182.043602
-3129.892024,3571,234.564023
-2866.237208,3571,283.073148
-996.166371,3571,337.449405
-4073.394439,3571,382.938788
-4424.096628,3571,430.303362
-542.539745,3571,485.203893
-1376.044034,3571,535.1242
-581.440071,3571,590.064234
-490.037703,3571,641.700981
-920.646649,3571,696.088854
-1183.298288,3571,747.624605
-370.764603,3571,803.648283
-585.678272,3571,856.094923
-1205.206082,3571,910.106103
-423.411917,3571,963.553714
-258.046026,3571,1015.911877
-497.634112,3571,1069.614015
-337.088899,3571,1121.691071
-397.047686,3571,1176.124964
-492.818544,3571,1230.146518
-462.318562,3571,1281.534607
-677.512959,3571,1336.364431
-422.909679,3571,1389.359659
-305.645289,3571,1442.271423
-164.234578,3571,1496.861176
-161.371008,3571,1549.930387
-561.424721,3571,1603.172083
-290.854651,3571,1658.923798
-444.223434,3571,1711.218785
-536.796124,3571,1765.43651
-541.897011,3571,1817.178044
-267.784222,3571,1870.205906
-55.046736,3571,1926.051888
-136.296079,3571,1981.420147
-56.879795,3571,2035.802705
-75.257281,3571,2089.989272
10.795246,3571,2144.317359
-752.93437,942,2156.382049
-485.863268,431,2161.987327
-462.980854,443,2167.647891
-824.819734,925,2179.396098
-668.4177,633,2187.649201
-585.879728,577,2195.536083
-754.904819,817,2205.626659
-606.949441,600,2213.157625
-518.61301,475,2218.870559
-742.288154,798,2229.513258
-461.331247,474,2235.652478
-681.258956,674,2243.960363
-506.833508,478,2250.177252
-605.778006,600,2257.618705
-564.925417,564,2264.716071
-601.374383,616,2272.665832
-536.682378,491,2278.892608
-663.270289,573,2285.872571
-590.001104,576,2292.967447
-485.621902,470,2299.11807
-1009.968098,1239,2314.665977
-684.790304,688,2324.464214
-405.769695,326,2328.637888
-990.411051,1061,2341.923852
-980.067005,1080,2356.219003
-557.515385,609,2364.177839
-755.761559,946,2376.333552
-525.977276,533,2383.395338
-487.858971,418,2389.033113
-521.236366,517,2395.51733
-666.276384,651,2403.677495
-833.986858,932,2414.840199
145.854113,3571,2467.993633
-786.459593,972,2481.045866
-1047.644539,1138,2495.154896
-858.082556,873,2506.421493
-458.462219,441,2512.508176
-770.650155,875,2523.365331
130.918124,3571,2577.499971
412.576549,3571,2629.524461
-664.979661,682,2638.393247
-988.929021,1225,2654.51788
-1462.625935,1695,2677.122552
-1556.262154,3571,2725.529248
-1426.027236,1791,2747.715158
259.174686,3571,2803.136568
405.282555,3571,2854.698807
294.647091,3571,2907.674798
-67.840612,3571,2960.572001
-2911.789933,3536,3006.92354
589.383939,3571,3060.176002
1338.981087,3571,3113.192005
743.04806,3571,3165.561005
473.974998,3571,3216.951214
517.221642,3571,3271.464432
1066.229259,3571,3325.918345
968.327559,3571,3379.72204
1493.208574,3571,3434.008588
993.719915,3571,3489.902055
1984.705591,3571,3544.199722
1677.474854,3571,3599.23294
1869.164676,3571,3652.140086
1873.780929,3571,3707.131303
1737.545828,3571,3762.115259
850.260427,3571,3814.831776
1839.220792,3571,3867.24686
2429.282704,3571,3919.846357
1489.532373,3571,3975.642034
2194.638625,3571,4027.896672
2421.997337,3571,4081.803822
2271.326083,3571,4134.339334
2791.425693,3571,4189.012054
2215.822904,3571,4243.060052
2938.869093,3571,4296.693377
1663.535325,3571,4349.916065
2608.356417,3571,4403.012715
3055.048974,3571,4459.261272
3165.85229,3571,4511.86276
3571.135864,3571,4566.505902
3046.313108,3571,4620.073512
3284.68139,3571,4676.349102
3161.902505,3571,4730.147385
3616.032948,3571,4784.595471
3215.697697,3571,4837.720438
3039.782181,3571,4891.263542
3428.224808,3571,4945.993237
3690.342048,3571,4999.654325
3646.173097,3571,5052.866508
3754.849225,3571,5106.526657
3458.478521,3571,5162.633168
3939.541993,3571,5215.704621
4226.170247,3571,5270.312507
2863.408456,3571,5322.865874
3234.962651,3571,5378.451939
3730.707379,3571,5431.6564
4263.796977,3571,5487.587304
3892.850354,3571,5539.954751
3795.508647,3571,5593.315969
3900.646755,3571,5650.519982
3735.677404,3571,5703.039017
3946.360266,3571,5757.785608
4111.927197,3571,5811.771085
3897.792612,3571,5866.235032
3860.477056,3571,5921.429455
4211.952378,3571,5976.293653
3946.879673,3571,6029.555089
4141.516157,3571,6083.164651
4203.493375,3571,6139.713789
4061.04698,3571,6192.513688
4193.138513,3571,6247.47992
4209.172684,3571,6301.055146
4082.678516,3571,6356.148251
4054.86089,3571,6411.416925
4199.779202,3571,6464.140976
4411.07819,3571,6517.983784
4522.920777,3571,6571.024535
4334.362629,3571,6625.294858
4396.47795,3571,6679.70753
4515.141094,3571,6733.399133
4379.637342,3571,6786.630376
4403.205076,3571,6841.106023
4479.016292,3571,6897.357713
4640.93758,3571,6951.418647
4491.558571,3571,7003.739303
4536.447414,3571,7060.092285
878.701602,3571,7113.573634
4640.977284,3571,7165.56682
4690.184342,3571,7220.437582
4544.457614,3571,7273.832235
4544.847638,3571,7327.898296
4587.202936,3571,7382.292727
4473.080103,3571,7435.297673
4646.292603,3571,7489.064415
4684.336116,3571,7542.595627
