#{"t_start": 1596029923.36176, "env_id": null}
r,l,t
-3057.747483,3571,40.840672
-5378.962322,3571,81.792897
-4541.174142,3571,122.948799
-4252.06183,3571,164.866012
-3719.968463,3571,211.147892
-3406.644584,3571,253.799206
-4789.203686,3571,296.386204
-5277.666751,3571,339.404402
-4555.937557,3571,385.890375
-1102.322277,3571,428.851716
-1778.673514,3571,472.057486
-1711.131752,3571,512.770828
-1118.360571,3571,553.997131
-1340.461214,3571,598.303933
-988.186553,3571,638.946723
-548.028252,3571,679.760059
-524.182957,3571,720.39783
-589.006378,3571,764.827162
-445.544097,3571,806.291622
-379.500507,3571,846.99347
-304.138647,3571,963.235981
-359.141438,3571,1001.717748
-116.849025,3571,1045.300474
-97.541729,3571,1085.408976
-28.074879,3571,1125.872872
156.395187,3571,1166.702228
-60.840243,3571,1210.922798
283.599899,3571,1251.970309
244.809469,3571,1293.346327
425.091402,3571,1333.820832
546.982104,3571,1374.587885
359.186454,3571,1419.1443
560.85268,3571,1460.432067
559.00708,3571,1502.209023
594.245844,3571,1542.755819
478.537772,3571,1586.375426
419.502716,3571,1626.78908
274.471532,3571,1667.296897
646.238582,3571,1708.769668
489.351375,3571,1750.590762
685.134281,3571,1794.440902
728.341897,3571,1834.736875
799.082285,3571,1874.734287
910.615616,3571,1915.685384
758.983638,3571,1960.725753
821.894538,3571,2001.920609
1131.964785,3571,2042.962798
767.628682,3571,2084.463426
923.622944,3571,2126.116106
956.123981,3571,2169.648441
1392.846507,3571,2211.012777
1380.99145,3571,2251.586095
1179.315358,3571,2292.766543
1370.34501,3571,2336.518389
1743.601317,3571,2377.428463
1758.883627,3571,2417.957325
1374.053507,3571,2459.234488
1388.091967,3571,2500.357722
1803.68657,3571,2544.426881
1783.529258,3571,2584.968837
2171.816531,3571,2625.902272
1891.556739,3571,2667.677671
1976.809534,3571,2711.436456
2362.341019,3571,2752.952063
2362.888609,3571,2793.039542
2321.571225,3571,2833.645694
2276.945227,3571,2874.070765
2501.449571,3571,2918.589557
2541.656868,3571,2959.532943
2636.210567,3571,3000.401626
2840.566971,3571,3041.357137
2761.375517,3571,3085.635809
2884.271944,3571,3127.81062
2275.127385,3571,3169.063602
2952.256475,3571,3210.5486
2346.465244,3571,3251.331529
2878.802304,3571,3296.069405
3079.71828,3571,3337.151116
3222.01164,3571,3377.93516
3048.348301,3571,3419.404407
3079.058787,3571,3464.125323
3601.808566,3571,3505.125978
3179.192423,3571,3546.268736
3531.248766,3571,3586.36048
2828.361197,3571,3626.876125
3620.256002,3571,3670.578547
3557.200036,3571,3712.159474
3429.558039,3571,3753.368315
3796.797435,3571,3795.359282
3652.299047,3571,3839.648179
3900.435364,3571,3880.17099
3715.145764,3571,3921.213951
3802.931276,3571,3962.297324
3664.604208,3571,4003.483997
3551.470902,3571,4048.103337
3592.114026,3571,4088.745355
3940.344841,3571,4129.806321
3685.50196,3571,4171.44929
3783.31372,3571,4215.906521
3842.048484,3571,4257.034148
3993.595011,3571,4298.808791
3627.863586,3571,4339.49954
4060.293502,3571,4381.594469
3798.929679,3571,4425.982335
4036.272851,3571,4466.856967
3899.401688,3571,4507.465582
3690.526663,3571,4548.8274
3905.734699,3571,4592.869853
4133.742423,3571,4634.569304
3652.026903,3571,4677.013917
3803.467727,3571,4718.016326
3660.075268,3571,4759.129291
3660.018615,3571,4803.450312
3874.122634,3571,4844.495848
4194.022718,3571,4885.287076
4072.410274,3571,4926.257846
4018.517683,3571,4971.768167
4251.286354,3571,5012.724932
4151.840789,3571,5053.949032
4261.031025,3571,5095.141911
3987.434527,3571,5139.464639
4232.592865,3571,5181.91145
4224.861642,3571,5223.286523
3722.212517,3571,5263.965863
4207.801219,3571,5304.962876
4265.315659,3571,5348.497287
3840.606591,3571,5389.513429
4432.986747,3571,5430.934873
3961.785156,3571,5472.863568
3866.793536,3571,5517.350693
4528.371563,3571,5558.377362
4328.916231,3571,5598.733882
4236.50589,3571,5639.318609
4075.507928,3571,5680.051891
3722.376076,3571,5724.167598
4237.189493,3571,5765.36221
4532.975107,3571,5806.455245
4492.94965,3571,5847.705879
4052.642568,3571,5892.432536
4362.775452,3571,5933.474572
4020.569648,3571,5974.109308
4180.395487,3571,6011.223031
4232.313241,3571,6047.251416
