#{"t_start": 1596029923.6730766, "env_id": null}
r,l,t
-3523.669358,3571,41.350095
-4573.391862,3571,82.362899
-4513.978898,3571,123.931463
-4029.096749,3571,166.188453
-3378.830599,3571,210.632755
-2062.32133,3571,253.596125
-3380.549034,3571,296.848707
-2369.194349,3571,340.322448
-1549.861839,3571,385.605001
-1051.226736,3571,428.250339
-787.799929,3571,471.424809
-1035.094153,3571,512.771108
-1223.758975,3571,554.189151
-671.742487,3571,596.448905
-704.392998,3571,637.831511
-1187.310226,3571,678.927899
-792.601887,3571,720.276625
-645.758074,3571,762.888503
-405.687207,3571,804.902002
-506.619726,3571,846.065041
-431.02833,3571,962.924541
-583.061458,3571,1001.552393
-417.368061,3571,1043.01801
-261.706319,3571,1083.413929
128.583646,3571,1124.145047
-217.169653,3571,1166.018134
-203.93218,3571,1208.217665
187.274266,3571,1249.392857
373.397552,3571,1290.999046
88.095893,3571,1331.983021
268.360674,3571,1373.35168
706.38137,3571,1415.569143
419.712723,3571,1457.409526
317.354639,3571,1498.824332
602.649482,3571,1539.825451
417.079927,3571,1582.487791
1220.145168,3571,1623.491874
1217.046237,3571,1664.989016
1412.798327,3571,1706.137038
983.874634,3571,1747.465162
1181.311455,3571,1789.83033
1894.278724,3571,1830.673257
1481.359002,3571,1871.367382
1662.27217,3571,1913.217415
1834.17178,3571,1956.101696
2293.939595,3571,1998.170094
2206.390035,3571,2039.711201
2293.242931,3571,2081.28593
2480.462933,3571,2123.471151
2890.91328,3571,2165.849523
2759.607343,3571,2207.443736
2930.447673,3571,2247.719944
2381.435541,3571,2289.732712
2366.863711,3571,2332.125354
3107.553836,3571,2373.041486
3070.833437,3571,2414.327852
3170.737605,3571,2456.124409
3519.825449,3571,2497.957728
3439.212995,3571,2540.570018
3620.612745,3571,2581.689448
3694.939489,3571,2623.181914
3498.059548,3571,2665.146595
4154.076818,3571,2707.41066
4193.149373,3571,2748.710015
3649.677483,3571,2789.72915
3822.674924,3571,2830.741652
3571.391806,3571,2871.831194
4227.029526,3571,2914.538817
3951.017838,3571,2955.921294
4481.62388,3571,2997.654381
3992.632439,3571,3038.775061
4601.942373,3571,3080.748535
4783.774558,3571,3122.716278
4270.197573,3571,3164.04493
4742.428134,3571,3205.906312
4364.949585,3571,3247.385361
4655.399174,3571,3290.177932
4699.719837,3571,3332.522727
5074.566984,3571,3373.269872
4589.442351,3571,3415.063827
4600.466399,3571,3457.728084
5036.294119,3571,3499.303544
5100.411922,3571,3540.982732
4912.463883,3571,3582.529791
5060.57218,3571,3624.841755
5121.982067,3571,3667.206596
5119.072311,3571,3708.344472
5572.008872,3571,3750.049588
5444.314006,3571,3792.735796
5432.453656,3571,3835.589797
5583.912411,3571,3876.767404
5464.551041,3571,3917.332314
5246.692747,3571,3958.29652
5240.381622,3571,4000.075498
5763.305002,3571,4043.237468
5458.170902,3571,4085.173342
5356.809818,3571,4126.409489
5617.957643,3571,4167.948624
5696.204976,3571,4211.302576
5912.042933,3571,4252.657272
5951.197244,3571,4293.866342
5688.700138,3571,4334.103656
5836.167539,3571,4375.596441
5761.241121,3571,4418.193431
5846.618749,3571,4459.276943
5702.991706,3571,4500.08532
5634.980301,3571,4540.893779
6146.406096,3571,4583.070868
5926.465192,3571,4624.196255
6012.34902,3571,4665.568156
5828.337562,3571,4706.496652
6227.620718,3571,4747.677862
5884.0245,3571,4789.873967
6118.29269,3571,4830.84857
6223.057476,3571,4871.845036
5875.537532,3571,4912.334864
6132.454246,3571,4955.04005
6044.141945,3571,4995.970758
6227.416727,3571,5036.858113
6211.542171,3571,5078.453298
6000.876555,3571,5120.348793
6000.908485,3571,5161.796391
6251.622923,3571,5202.712859
6048.149456,3571,5244.087569
6013.233071,3571,5285.094035
6073.801305,3571,5328.320029
6225.924512,3571,5369.153217
6096.857837,3571,5410.523321
6311.492756,3571,5451.453366
6109.513453,3571,5494.012957
6245.698119,3571,5534.770205
6105.84699,3571,5575.461661
6126.873076,3571,5616.724724
6267.818461,3571,5658.413563
6212.549169,3571,5700.953146
6178.241344,3571,5742.056792
6083.687175,3571,5782.983845
6241.724912,3571,5823.7353
6269.650084,3571,5866.467321
6367.760082,3571,5907.087906
6344.505498,3571,5947.367866
6345.435065,3571,5986.889598
6377.850625,3571,6024.101459
