#{"t_start": 1596029923.5878563, "env_id": null}
r,l,t
-4181.07753,3571,65.437732
-912.912794,3571,129.118915
-684.864608,1747,160.363786
-1364.159633,3571,224.549036
-691.214198,3571,289.440124
320.20638,3571,353.782914
-225.261645,479,362.439899
399.640237,3571,427.397878
43.664057,3571,490.615041
666.30739,3571,552.95845
1454.599358,3571,616.300764
810.73869,3571,678.495229
-539.222129,3571,741.019042
-200.120896,3571,803.703331
20.021027,3571,866.134706
158.272061,3571,963.010767
-158.764184,3571,1024.055011
167.002353,3571,1086.119292
80.15762,3571,1148.084539
-6.148394,3571,1211.012217
394.784045,3571,1273.605996
-480.100867,2006,1308.228554
-446.682216,2454,1350.744237
-345.856116,1792,1382.041173
-137.250236,3571,1443.893261
479.639689,3571,1505.654174
1071.567832,3571,1568.141421
634.965136,3571,1630.936458
151.589081,3571,1693.809785
1182.831199,3571,1756.293525
732.384502,3571,1818.957426
1367.154909,3571,1882.013317
1051.652596,3571,1944.330424
1513.760486,3571,2006.586979
1294.439066,3571,2068.992309
749.47082,3571,2130.878248
1234.893216,3571,2193.579223
557.356058,3571,2255.394984
653.968774,3571,2318.088037
-196.927058,218,2321.80197
-316.965961,373,2328.115551
-219.300191,251,2332.443376
-293.13617,357,2338.667448
-326.110943,384,2345.255611
-359.026663,454,2352.959943
-794.171399,1067,2371.250794
1761.155374,3571,2433.703753
1977.631478,3571,2495.54368
1591.997817,3571,2557.654469
1112.562859,3571,2620.181166
1222.298594,3571,2682.394705
558.276907,3571,2744.85008
115.58556,3571,2807.740219
1477.185011,3571,2870.041016
696.369862,3571,2932.142935
943.488996,3571,2994.625481
1316.267782,3571,3056.948611
1707.48023,3571,3119.647268
2367.270245,3571,3181.803078
2293.608251,3571,3243.896375
2002.975447,3571,3306.320013
1352.873973,3571,3367.877769
824.847467,3571,3430.301379
1310.752494,3571,3492.681617
1124.768971,3571,3555.22574
1404.081506,3571,3617.843373
1536.09957,3571,3680.638798
1571.241787,3571,3743.163525
1750.033507,3571,3805.380146
2133.016699,3571,3868.300611
2255.941093,3571,3931.039953
1630.700276,3571,3993.227002
1757.173028,3571,4055.359632
-321.655989,470,4063.521383
2315.979972,3571,4126.335088
1829.911792,3571,4188.306064
1806.60581,3571,4250.575859
2586.606425,3571,4312.838127
2093.757812,3571,4374.91116
2048.239366,3571,4437.411146
2137.611891,3571,4499.415629
798.26381,2742,4547.793456
1355.112491,3571,4609.84064
1265.999185,3571,4672.01242
1984.540452,3571,4734.790308
1756.299577,3474,4795.552236
1988.163515,3571,4858.822823
2106.449307,3571,4921.264502
1348.059847,3571,4983.229723
2417.965227,3571,5045.705094
1657.735227,3571,5108.126915
1595.771224,3571,5170.269715
727.887802,3571,5232.825345
1675.044996,3571,5295.877296
2089.222869,3571,5359.061938
1788.126777,3571,5421.885932
3058.367615,3571,5484.723541
2610.692739,3571,5546.937109
2519.632127,3571,5609.696227
2583.026284,3571,5672.516817
2408.756966,3571,5735.049413
2534.963452,3571,5798.252553
2489.087424,3571,5860.461685
2339.470917,3571,5923.0143
2539.501353,3571,5984.671296
2664.816586,3571,6042.238149
2053.31538,3571,6097.084185
2741.313785,3571,6150.88324
2437.07328,3571,6204.835777
2564.828788,3571,6258.978279
2501.417486,3571,6312.879032
2912.230612,3571,6366.603393
2629.16446,3571,6419.917527
2552.099022,3571,6473.641922
2396.636116,3571,6527.232697
2764.080549,3571,6580.755696
2817.133807,3571,6634.151155
2811.313417,3571,6687.556416
2643.22982,3571,6741.289027
2677.570898,3571,6794.844769
2982.553567,3571,6848.497631
2783.201288,3571,6901.746526
2725.116209,3571,6955.147781
2551.121187,3571,7008.878912
2679.598271,3571,7062.333642
2290.59049,3571,7115.761274
2467.798852,3571,7169.260614
2499.800912,3571,7222.671991
2360.342593,3571,7276.134095
2355.851639,3571,7329.478062
2641.292972,3571,7382.94368
2357.356473,3571,7436.513953
2819.678819,3571,7490.042534
2909.969238,3571,7543.934312
2484.11685,3571,7597.651131
2707.177247,3571,7651.004496
3001.491048,3571,7704.764337
3275.861089,3571,7758.653418
2992.501715,3571,7812.194959
2645.236955,3571,7865.553843
2864.361829,3571,7919.139442
2969.770118,3571,7972.66637
2700.493013,3571,8026.16291
2916.423058,3571,8079.5502
2939.472586,3571,8132.984761
2950.198485,3571,8186.897583
2818.86241,3571,8240.368532
3061.548699,3571,8293.587857
2609.166149,3571,8347.098111
