#{"t_start": 1596040485.459787, "env_id": null}
r,l,t
-17947.125856,3571,40.132583
-14519.144195,3571,78.028296
-17391.962785,3571,115.672336
-17789.330354,3571,154.688476
-14886.625162,3571,197.173233
-8591.438335,3571,236.281845
-9045.625261,3571,276.266587
-10825.011453,3571,316.377986
-8514.929452,3571,360.145656
-7062.656382,3571,399.850955
-7586.271262,3571,439.143235
-7749.387713,3571,479.389001
-8266.049696,3571,519.705503
-6784.472863,3571,561.753854
-19902.166062,3571,601.466536
-17653.879661,3571,642.017825
-20529.428671,3571,681.760938
-16687.487417,3571,726.00989
-6070.007279,3571,765.510109
-7782.821063,3571,805.263755
-9318.156357,3571,844.732265
-8487.328164,3571,884.864227
-7040.714808,3571,928.47395
-6723.261231,3571,968.199137
-12707.607938,3571,1008.50731
-13461.540723,3571,1048.805616
-11079.492732,3571,1092.727641
-10753.821905,3571,1132.634276
-17987.751008,3571,1172.34354
-6022.39627,3571,1211.532151
-9187.028344,3571,1252.027194
-7494.153472,3571,1295.279674
-6770.691689,3571,1335.049322
-7324.215916,3571,1376.244697
-7390.802459,3571,1416.932564
-7343.563255,3571,1461.20388
-5203.841007,3571,1501.573606
-6651.530617,3571,1542.874072
-6260.313321,3571,1582.999621
-6544.207456,3571,1623.170363
-5016.02164,3571,1666.577722
-4892.933889,3571,1707.199693
-4483.084249,3571,1747.557442
-4561.109721,3571,1787.333594
-4310.744292,3571,1831.221699
-7280.16931,3571,1870.913348
-3741.149982,3571,1911.621003
-4179.954559,3571,1951.905244
-3755.009684,3571,1991.931453
-6335.818844,3571,2035.865794
-4013.588009,3571,2075.698303
-3536.910201,3571,2116.557143
-5337.032397,3571,2157.100166
-3960.337722,3571,2200.155146
-3149.901194,3571,2239.225108
-3080.398735,3571,2279.733166
-3311.438876,3571,2319.239318
-3055.503838,3571,2358.708106
-3019.763017,3571,2402.343856
-2739.748321,3571,2441.753068
-2833.988208,3571,2481.136775
-2905.579923,3571,2522.014
-2982.870532,3571,2566.069776
-2639.462484,3571,2606.427106
-2690.593337,3571,2646.73205
-3815.12479,3571,2687.005649
-3826.68154,3571,2727.87213
-2960.3571,3571,2771.789509
-2763.93875,3571,2812.334141
-2881.605668,3571,2852.008849
-2697.044109,3571,2891.499038
-2726.017461,3571,2934.654562
-2551.288521,3571,2974.67718
-2583.554954,3571,3014.478714
-2801.154758,3571,3054.233287
-2732.876866,3571,3093.645835
-2672.511102,3571,3136.139192
-2876.471841,3571,3176.235261
-2508.085303,3571,3216.405673
-2751.273129,3571,3256.317593
-3047.205488,3571,3300.435182
-2435.036852,3571,3340.904538
-2689.754925,3571,3381.51632
-2656.952504,3571,3422.279284
-2598.804943,3571,3462.449855
-2480.140434,3571,3505.912547
-2752.723536,3571,3547.15586
-2535.327705,3571,3587.979773
-2660.024728,3571,3628.779359
-3332.683282,3571,3673.089554
-2412.280991,3571,3714.144225
-2534.532773,3571,3754.87444
-2740.358741,3571,3795.654334
-2431.696527,3571,3835.480575
-2560.745239,3571,3878.565704
-2610.257806,3571,3919.42091
-2595.66177,3571,3959.094489
-2438.314812,3571,3998.849218
-2547.404215,3571,4041.392498
-2273.988884,3571,4081.842044
-2491.385708,3571,4122.852412
-2424.090167,3571,4163.492016
-2442.504562,3571,4204.291894
-2276.561887,3571,4248.210932
-2371.857506,3571,4288.753069
-2501.556802,3571,4329.604257
-2271.664918,3571,4369.759834
-2331.687571,3571,4413.673785
-2247.137755,3571,4453.840652
-2178.941201,3571,4494.431684
-2286.264181,3571,4534.924479
-2413.078833,3571,4574.891402
-2416.50225,3571,4618.801311
-2242.932304,3571,4658.657975
-5180.429901,3571,4698.861567
-2185.744391,3571,4739.168726
-2266.782669,3571,4781.710174
-3656.410744,3571,4821.763036
-2334.446853,3571,4861.99016
-2340.659526,3571,4902.320951
-2240.994823,3571,4945.152703
-2317.38836,3571,4985.043238
-2263.457631,3571,5025.416169
-2293.369363,3571,5065.878597
-2232.660975,3571,5106.809566
-2238.189714,3571,5150.902642
-2184.04128,3571,5191.377097
-2244.888087,3571,5232.505112
-2291.747114,3571,5272.896979
-2317.053515,3571,5316.206361
-2284.659607,3571,5356.292534
-2231.060042,3571,5396.741766
-2480.739065,3571,5436.376764
-2305.672337,3571,5476.341097
-2224.642931,3571,5519.133074
-2430.698967,3571,5559.318044
-2559.477123,3571,5599.643184
-4430.581192,3571,5639.821105
-2230.841283,3571,5684.142507
-5162.718492,3571,5725.316345
-2202.770709,3571,5765.96629
-2219.649627,3571,5806.299254
-3266.090921,3571,5846.167994
