#{"t_start": 1596040485.2465162, "env_id": null}
r,l,t
-27239.187711,3571,41.109172
-11886.703738,3571,80.168408
-15553.051052,3571,120.768246
-19023.811545,3571,160.726176
-24436.214116,3571,202.636536
-13157.050793,3571,242.423784
-15383.475873,3571,283.380311
-11115.926415,3571,323.528852
-13766.02817,3571,365.277881
-6067.087272,3571,405.261556
-7717.567847,3571,445.638182
-6446.496616,3571,485.887556
-7954.062932,3571,526.835459
-6176.841425,3571,568.49681
-8145.767301,3571,608.497829
-6414.719935,3571,649.302605
-6535.816459,3571,689.813379
-5962.973844,3571,731.629745
-6076.204941,3571,772.243528
-6257.792952,3571,813.16466
-6538.703852,3571,853.641901
-6402.162407,3571,894.366255
-5327.607257,3571,936.027627
-6621.083821,3571,976.532193
-5517.51571,3571,1017.392952
-5619.921004,3571,1058.595568
-7414.688293,3571,1100.563378
-5740.128656,3571,1141.069125
-5344.721679,2797,1172.527288
-5349.292247,3571,1212.771538
-12552.771053,3571,1254.463347
-9572.001648,3571,1297.570213
-5383.485244,3571,1338.144789
-5074.44041,3571,1378.592171
-5305.647508,3571,1419.346234
-8772.332992,3571,1460.325691
-5826.093557,3571,1502.438667
-6057.847494,3571,1543.387349
-5967.005514,3571,1583.839988
-5609.962336,3571,1624.058579
-5414.568613,3269,1662.279248
-4599.996147,3571,1703.132243
-5333.365549,3571,1743.547137
-5317.542233,3571,1783.871399
-4677.765079,3571,1824.536676
-4345.033378,3571,1866.22971
-5029.571182,3571,1906.575126
-5202.283582,3571,1947.559392
-4368.933458,3571,1988.446256
-4447.9429,3571,2031.267844
-4237.204873,3571,2071.146943
-4281.013502,3571,2112.018331
-4753.686573,3571,2153.228243
-4777.89288,3571,2193.539796
-4260.800904,3571,2234.539193
-4224.536597,3571,2274.75557
-4190.869896,3571,2314.837364
-4068.20374,3571,2355.06217
-3806.679171,3571,2397.497022
-3220.103602,3571,2438.535008
-3461.833066,3571,2479.537444
-3540.46169,3571,2521.116851
-3671.585032,3571,2562.452052
-2890.971172,3571,2604.246073
-3067.898067,3571,2644.800478
-3257.998189,3571,2686.323287
-2994.900938,3571,2727.13906
-2945.709643,3571,2768.732445
-2638.063633,3571,2809.968509
-2634.398591,3571,2850.634084
-2648.197575,3571,2891.448767
-2711.930322,3571,2933.151259
-2652.203033,3571,2974.37777
-3089.896139,3571,3015.20718
-2882.353241,3571,3055.684076
-2693.555542,3571,3096.576259
-2759.193389,3571,3138.404631
-2817.85605,3571,3179.021465
-2649.31026,3571,3220.026985
-2787.549315,3571,3261.170671
-2870.504999,3571,3302.975123
-2526.399439,3571,3344.150003
-2501.746282,3571,3385.167481
-2590.425759,3571,3425.597215
-2709.126596,3571,3466.255806
-2453.427791,3571,3508.595167
-2442.062703,3571,3549.143046
-2375.455953,3571,3589.902673
-2509.803628,3571,3630.354575
-2518.19602,3571,3672.268148
-3378.715312,3022,3707.135372
-2890.546299,2477,3735.499052
-2682.669154,3571,3776.308173
-3548.461926,3287,3813.292509
-2739.175634,3571,3855.737367
-2853.748173,3571,3896.012132
-10252.992532,3205,3932.716898
-16018.271176,3571,3974.363037
-3964.476408,3571,4015.654779
-2675.271826,3571,4058.171406
-2664.989829,3571,4099.501329
-3156.088986,3571,4140.587627
-3289.591653,3571,4181.958342
-2884.486542,3571,4223.798052
-3111.828528,3571,4264.837061
-2751.020799,3571,4306.077334
-12295.56785,3571,4347.83733
-2638.071479,3571,4388.58291
-2862.699271,3571,4430.555717
-2562.374922,3571,4470.731569
-2768.670978,3571,4511.639231
-2437.474102,3571,4552.846495
-2761.130191,3571,4595.094949
-2400.841596,3571,4635.074327
-2530.85475,3571,4676.347438
-2394.673013,3571,4717.555088
-2490.341963,3571,4757.744251
-2342.072753,3571,4799.312543
-2446.214281,3571,4839.590903
-2569.566092,3571,4879.574547
-2457.148991,3571,4920.494469
-2514.372299,3571,4962.36364
-2392.675244,3571,5003.133424
-2372.740106,3571,5044.094029
-2434.16705,3571,5085.250102
-2449.524754,3571,5126.300752
-2343.64826,3571,5168.413635
-2319.967828,3571,5208.728186
-2366.048095,3571,5250.241889
-2337.147437,3571,5291.344974
-2390.087798,3571,5333.282416
-2184.889941,3571,5374.704699
-2361.314075,3571,5415.835436
-2250.652783,3571,5457.20595
-2239.082129,3571,5497.79957
-2235.591782,3571,5539.843141
-2381.157777,3571,5580.557611
-2136.059897,3571,5621.563562
-2218.567247,3571,5662.545736
-2491.502778,3571,5704.725514
-2148.657419,3571,5745.759025
-2092.724557,3571,5786.162009
-2173.418947,3571,5825.620422
-2191.509709,3571,5864.082701
