#{"t_start": 1595863662.9329424, "env_id": null}
r,l,t
-5828.723828,3571,41.208245
-6350.115234,3571,79.832102
-6344.099883,3571,119.537059
-6459.971994,3571,159.74865
-5065.097436,3571,205.815542
-4401.778934,3571,247.865837
-4526.198406,3571,290.605039
-4392.185552,3571,332.977986
-4854.112528,3571,378.155344
-3846.364458,3571,421.707935
-2744.78191,3571,466.715673
-3385.532536,3571,510.035912
-3404.011501,3571,553.355273
-2366.352225,3571,601.156163
-2197.929828,3571,646.605118
-3172.335805,3571,690.430573
-2526.354655,3571,735.599925
-1374.687702,3571,784.128072
-1689.54444,3571,829.319281
-1366.031523,3571,875.749389
-2042.000577,3571,920.284682
-2128.576207,3571,965.51055
-1756.059482,3571,1015.513437
397.555539,3571,1064.825514
-638.923442,785,1074.535177
-894.076052,3571,1121.301381
-1692.032741,3571,1166.787665
-969.350869,3571,1216.932594
-194.964423,3571,1264.444496
-582.163873,3571,1311.416774
-1073.670163,3571,1358.700262
-599.950332,761,1368.114244
-500.120872,3571,1419.704486
251.922761,3571,1467.521094
-584.278743,3571,1514.716851
-556.55812,3571,1560.871361
131.792966,3571,1608.363867
1465.177794,3571,1660.795913
-382.851412,3571,1709.018614
457.102406,3571,1757.315713
27.78981,3571,1805.522051
-489.029406,3571,1856.528752
1134.060239,3571,1904.877054
-145.043072,3571,1952.805656
997.247979,3571,2000.481744
-356.460039,3571,2048.132823
-418.945402,3571,2099.829676
-398.101296,3571,2147.013797
-424.466054,3571,2193.978049
-376.089416,3571,2241.792089
-207.304348,3571,2293.319852
-352.256649,3571,2341.012299
331.728421,3571,2388.905489
-398.059005,3571,2436.720067
-343.985326,3571,2484.458116
2912.513497,3571,2536.476822
-344.33285,3571,2584.525242
3043.362419,3571,2632.467794
-350.474636,3571,2679.995331
-357.700864,3571,2730.495162
-349.684666,3571,2778.905969
-331.005053,3571,2828.019242
2366.296068,3571,2876.678664
-373.201766,3571,2929.137378
-373.367814,3571,2981.522188
-342.253095,3571,3029.540313
-126.08654,3571,3078.098646
-380.859429,3571,3126.33647
3107.964917,3571,3177.808222
-334.498699,3571,3226.560037
-327.766793,3571,3274.036218
-338.95058,3571,3321.85656
4963.703649,3571,3371.071412
3474.753118,3571,3423.052083
-337.34459,3571,3472.143178
-378.441253,336,3476.233097
-332.270521,3571,3524.843804
3999.806164,3571,3573.784615
-338.157943,3571,3624.873912
-371.215721,3571,3672.725107
3600.3028,3571,3721.047682
-409.830142,3571,3769.947307
-359.406755,3571,3818.600353
5262.072647,3571,3871.422432
-324.078907,3571,3919.950989
4351.851762,3571,3968.838323
-329.0631,3571,4017.143906
-335.528606,3571,4069.703377
-349.486611,3571,4117.528903
-334.061518,3571,4166.053002
-348.310705,3571,4215.011075
4499.08241,3571,4263.340435
473.19152,3571,4314.748406
-338.839904,3571,4362.828113
-329.723678,3571,4411.523133
-326.41944,3571,4459.630455
-362.815069,3571,4511.433794
-381.538503,3571,4560.034838
-890.99223,2108,4585.503707
-346.650151,3571,4633.373003
-762.71719,981,4644.506193
-606.791074,1019,4656.759966
-744.631403,1167,4671.339051
-633.179218,3490,4720.782521
-459.361406,723,4729.733024
-333.564442,3571,4778.396589
-325.7336,332,4782.42766
-334.663941,3571,4830.579766
3401.643587,3571,4879.58931
-349.160959,3571,4931.356223
-314.061971,373,4936.004184
-342.578744,3571,4984.419987
-810.294177,990,4995.8859
-623.390789,1026,5008.417326
-526.371091,2069,5035.640545
-360.819463,3571,5083.161673
-344.814589,3571,5131.019642
-325.044396,3571,5183.472603
-337.669426,3571,5231.2917
-347.718592,3571,5279.037481
-349.076489,3571,5326.932566
-338.407673,400,5331.661685
-414.343465,607,5338.939379
-527.525851,802,5352.124783
-397.48433,1209,5368.238785
-336.173316,3571,5415.871218
2355.832281,3571,5463.515774
-347.051847,3571,5511.351867
-450.028424,800,5521.000833
-332.558944,3571,5572.488349
-348.204119,3571,5621.276531
-470.898674,643,5629.111611
-329.705769,3571,5677.061688
-329.286622,3571,5724.938757
-332.288037,3571,5772.341401
-348.300981,3571,5823.237393
-362.332268,3571,5871.085309
-334.436836,3571,5919.244905
-533.926344,572,5926.278884
-342.019061,3571,5973.845495
-358.566283,3571,6025.450877
-358.48855,3571,6074.101766
-601.889792,1029,6086.691692
-378.718452,3571,6134.958099
-668.985826,909,6146.06938
-369.939403,3571,6194.796683
-362.202888,3571,6246.408908
-348.417378,3571,6295.046655
-791.056267,2002,6321.074656
-335.931651,3571,6368.636426
-329.259753,3571,6416.408602
-462.523475,871,6426.879434
-330.287744,3571,6478.106126
-352.527658,3571,6526.066659
-367.010118,3571,6573.453135
-419.78315,592,6580.418714
-361.187797,3571,6629.175809
-372.281084,523,6635.510009
1913.090866,3571,6686.822882
-345.048672,3571,6734.640533
-356.814596,3571,6781.951132
-329.463175,3571,6830.74165
