#{"t_start": 1595870646.4372096, "env_id": null}
r,l,t
-6443.962163,3571,44.963866
-5514.385582,3571,87.238404
-6007.593243,3571,129.740458
-6047.451393,3571,171.284625
-4093.846813,3571,216.299407
-3928.831224,3571,259.236369
-3872.311079,3571,303.055513
-3856.048186,3571,346.983423
-3628.148135,3571,392.093853
-2067.23672,3571,436.309755
-2493.304211,3571,480.884324
-1595.090083,3571,526.289196
-1856.485542,3571,571.632315
-1744.884462,3571,618.412096
-1118.331776,3571,664.20339
-1360.384651,3571,710.401132
-1281.710688,3571,757.118021
-1400.995685,3571,805.035549
-680.89125,3571,853.065281
-842.628836,3571,899.953793
-657.000388,3571,948.31631
-744.059866,3571,996.289846
-621.748675,3571,1045.157439
-632.426563,3571,1092.877238
-648.148172,3571,1141.101241
-624.403836,3571,1189.30571
-612.735965,3571,1239.024663
-583.115288,3571,1287.819443
-549.379839,3571,1336.720753
-561.918534,3571,1385.605915
-635.175771,3571,1433.206301
-613.359478,3571,1482.685745
-477.933908,3571,1531.118802
-262.359497,3571,1580.126149
-507.912825,3571,1628.805645
-501.282707,3571,1678.883241
-164.959254,3571,1728.254119
-761.016004,3571,1776.759144
-305.121258,3571,1826.290587
-1088.706603,3571,1874.367668
-265.111267,3571,1923.971829
-231.86235,3571,1971.948525
-568.652413,3571,2020.269112
-405.74287,3571,2069.560457
-262.221991,3571,2120.776483
301.57987,3571,2170.385725
-249.163569,3571,2219.890178
-268.4113,3571,2267.937603
-124.899114,3571,2317.424839
170.094893,3571,2368.60146
-3.031954,3571,2418.583962
-65.834064,3571,2467.520371
-895.165974,3571,2515.40419
-948.750236,3571,2563.821522
40.5809,3571,2613.070582
-171.322286,3571,2662.530815
274.021215,3571,2712.764212
386.113318,3571,2762.370473
423.887653,3571,2812.706976
578.350778,3571,2861.666778
371.491195,3571,2912.14093
403.095095,3571,2962.291581
495.230423,3571,3013.155654
788.00721,3571,3063.095531
559.477755,3571,3112.923465
722.381034,3571,3161.8324
31.313759,3571,3210.542818
828.184152,3571,3261.273637
841.262475,3571,3310.142779
121.018628,3571,3358.313147
997.207739,3571,3407.990942
896.479027,3571,3458.350793
821.42243,3571,3507.227597
868.817723,3571,3556.89044
749.266766,3571,3606.50504
1256.322709,3571,3655.727676
1463.143307,3571,3706.911746
1207.422729,3571,3756.715134
455.428152,3571,3806.186938
1600.868352,3571,3855.268632
1262.156288,3571,3906.136868
-1571.928477,2109,3932.819396
-1220.240137,1586,3952.248052
1295.751788,3571,4001.676898
1106.498722,3571,4050.718805
-1342.377506,2007,4074.770073
706.965789,3571,4123.84953
-626.218572,3571,4170.647749
1063.630152,3571,4219.044789
1416.241426,3571,4267.469007
86.789092,3571,4314.943911
1013.98042,3571,4364.984087
966.590285,3571,4414.463775
1330.635715,3571,4463.581735
1872.426411,3571,4513.469578
784.39971,3571,4563.721476
648.121213,3571,4612.562906
1679.096404,3571,4662.00027
1428.025239,3571,4711.200361
1680.241686,3571,4761.656092
1547.695212,3571,4811.489768
2006.211986,3571,4861.408206
2350.272873,3571,4911.001562
2073.165911,3571,4960.76386
1605.041367,3571,5010.30895
2828.304894,3571,5059.752208
2562.402721,3571,5109.386052
2693.290186,3571,5159.049289
2905.495385,3571,5209.761184
2877.239623,3571,5258.418841
3130.605648,3571,5308.083212
3176.960929,3571,5357.579864
2817.5523,3571,5407.730075
3258.082578,3571,5458.550267
3252.437996,3571,5508.168298
3346.774646,3571,5557.575063
3067.887197,3571,5605.975091
3510.258433,3571,5656.770542
3468.716503,3571,5706.336251
3738.028564,3571,5755.696184
2310.095183,3571,5805.404898
2461.295126,3571,5854.556584
3287.829037,3571,5905.026783
2973.373078,3571,5953.654782
3041.52465,3571,6002.454644
3196.879766,3571,6051.881174
3630.152868,3571,6101.672106
3492.921819,3571,6151.038585
3480.892056,3571,6200.030322
3538.560184,3571,6248.522607
3346.421066,3571,6297.092186
3720.324036,3571,6346.590664
3573.794431,3571,6395.11236
3989.081066,3571,6443.189774
4012.993193,3571,6491.636711
4203.836487,3571,6540.265172
4090.826459,3571,6586.869468
4049.701898,3571,6633.718522
2847.692868,3571,6680.400565
-332.048055,3571,6725.333963
2934.640778,3571,6770.567179
4100.620661,3571,6813.698047
3371.213629,3571,6852.21985
4399.966577,3571,6887.293845
