#{"t_start": 1595753114.7423718, "env_id": null}
r,l,t
-716.444376,538,11.899694
-241.238216,126,13.85507
-239.046694,126,15.575099
-243.425537,130,17.753791
-243.405443,130,19.679309
-232.874613,122,21.463917
-237.778793,126,23.168026
-237.563908,126,25.264498
-237.41812,127,27.132516
-234.705872,124,29.017891
-237.018549,125,30.833775
-240.370438,127,33.014795
-241.431639,129,34.745497
-238.761185,127,36.687764
-238.747341,128,38.858077
-242.249616,129,40.71709
-239.098805,127,42.552873
-239.644304,129,44.302905
-239.383448,127,46.444709
-239.65789,126,48.30754
-236.685065,126,50.079648
-239.639732,127,52.279179
-238.754318,127,54.064469
-240.938708,126,55.847053
-268.219,254,60.15117
-194.536517,107,61.876173
-191.221387,131,64.020895
-462.189131,302,68.823777
-1844.18934,3571,125.385196
-958.062354,1709,153.265304
-285.608828,192,156.423251
-717.301375,2070,197.415808
-310.433814,219,201.744457
-360.531263,403,208.82954
-368.451575,505,218.043747
-363.995482,474,225.986389
-321.180927,325,232.052994
-309.31966,305,237.409968
-296.827932,298,242.581208
-269.33342,206,246.06375
-307.644787,330,251.645412
-297.544987,210,255.118011
-284.344388,208,258.604809
-308.757921,286,263.688643
-286.738829,206,267.246864
-300.149616,220,270.949853
-435.529846,879,286.398885
-281.677936,246,290.975702
-350.465598,427,298.489377
-277.874126,319,304.297724
-243.697298,160,307.259924
-284.839243,343,313.132541
-1843.821884,3571,371.513003
-1841.784109,3571,428.427417
-1841.678243,3571,486.55286
-1932.513823,3571,546.938074
-1993.662314,3571,616.557031
-1931.732122,3571,684.593543
-1915.857695,3571,751.596634
-1911.149131,3571,818.794247
-633.614882,941,836.224352
-260.190024,202,839.7547
-248.988543,190,843.039854
-247.830118,180,846.136044
-250.222799,192,849.319366
-281.038235,242,853.745274
-243.562581,183,856.822118
-254.403968,202,860.365046
-236.389818,166,863.569208
-244.687043,167,866.465155
-246.746167,165,869.511228
-292.516544,312,875.258744
-576.949783,786,889.239189
-374.118639,393,896.078263
-308.926463,312,901.874633
-240.387,173,905.400567
-245.512714,177,908.833673
-237.433984,168,911.676306
-265.190698,206,915.384256
-245.295958,175,918.663265
-253.165277,191,922.021101
-599.013098,887,937.765136
-718.188395,1049,955.359069
-383.00312,448,963.579709
-262.700039,187,967.026781
-246.841921,158,969.760109
-260.502798,182,973.361883
-261.25068,195,976.838199
-245.394406,173,980.395123
-251.809486,179,983.916782
-253.504676,184,987.053377
-238.334198,164,990.135935
-252.221046,189,993.807619
-261.775061,196,997.182256
-271.922303,201,1000.836097
-245.071008,173,1004.050703
-260.006862,195,1007.833367
-255.196111,177,1010.778003
-247.481202,170,1014.028986
-272.566929,186,1017.703677
-238.418695,170,1020.800111
-242.054563,168,1023.573372
-247.904365,185,1026.945223
-260.387142,179,1029.957007
-240.886261,175,1033.252398
-242.664368,166,1035.953745
-246.68792,190,1039.682744
-267.277674,211,1043.580835
-778.869093,1317,1068.477764
-247.55486,183,1071.392406
-265.510779,212,1075.354399
-927.110053,1555,1104.389049
-229.942763,202,1108.165667
-267.418592,333,1113.839342
-265.935703,181,1117.602476
-237.002466,242,1122.119277
-1114.496873,1871,1153.807537
-267.895207,213,1157.613246
-906.790752,1456,1182.00851
-1843.075172,3571,1241.626037
-1843.744241,3571,1301.084671
-1843.704288,3571,1359.49032
-1190.456978,2068,1394.097988
-330.669352,383,1401.107812
-328.542511,372,1407.46018
-323.450555,364,1413.980335
-261.782565,216,1417.75189
-304.339414,244,1422.355286
-298.384401,237,1426.207054
-297.462032,228,1430.050291
-289.97617,257,1434.887759
-291.036588,257,1439.363171
-240.787436,188,1442.758844
-302.001763,241,1447.259088
-267.913327,213,1450.846205
-256.330079,211,1454.346318
-296.488362,242,1458.559744
-339.703103,378,1465.245285
-260.905149,213,1468.819747
-258.878635,217,1472.474038
-361.748218,481,1481.738743
-506.677633,774,1496.909549
-258.77813,221,1500.898438
-258.18035,215,1504.437666
-266.099401,225,1508.925427
-374.838006,495,1518.790692
-255.131555,212,1522.362301
-266.560321,218,1526.062025
-336.944562,377,1532.97279
-366.905802,462,1541.224944
-321.192294,343,1547.596127
-314.17144,320,1552.951569
-318.234138,344,1558.827684
-310.841322,310,1564.2515
-314.055918,337,1570.495112
-289.972068,248,1574.600363
-285.405055,241,1579.343843
-298.646648,245,1583.691525
-222.98961,158,1586.833226
-222.279433,153,1589.422902
-230.248447,150,1592.20822
-225.59825,156,1594.687022
-279.119048,239,1599.008026
-229.883868,174,1601.602397
-302.741904,241,1606.128134
-320.344411,287,1611.283022
-290.024534,229,1615.136159
-278.157732,233,1619.128052
-318.834827,348,1625.4456
-305.944633,251,1629.724167
-311.860199,275,1634.692304
-350.052804,459,1642.807016
-299.856226,247,1646.842236
-317.342657,352,1653.070306
-326.190416,383,1659.645133
-432.542455,598,1670.501216
-319.779685,336,1676.578339
-311.927059,323,1682.316404
-297.026139,259,1687.152658
-300.603436,258,1691.477331
-332.771316,321,1697.02981
-296.223921,242,1701.589415
-304.525931,263,1706.012122
-299.249232,263,1711.07172
-302.677352,237,1715.188025
-299.450935,245,1719.880441
-305.342161,249,1724.187892
-278.642054,241,1728.610877
-446.704031,574,1739.257118
-531.520314,764,1753.336363
-553.104734,802,1768.238355
-519.423444,728,1781.64691
-340.995925,342,1787.959961
-377.729085,524,1797.601053
-329.732736,406,1804.627638
-314.853826,303,1809.835347
-304.207763,304,1815.057564
-396.53704,521,1824.610297
-305.76219,251,1828.838907
-301.391458,273,1833.604383
-306.027694,263,1837.679862
-426.586673,519,1847.334677
-458.376034,601,1858.981646
-365.277825,458,1866.856263
-337.260775,339,1873.407891
-457.49447,670,1885.502231
-490.234142,859,1901.480524
-302.82164,251,1905.70905
-310.712887,272,1910.567236
-368.611883,396,1917.545598
-560.761533,803,1932.953195
-960.320168,1762,1967.080623
-756.333145,1267,1990.405847
-1727.485004,3571,2057.784213
-1787.908327,3571,2123.87256
-1792.565037,3571,2189.06727
-239.518124,170,2192.288408
-286.256916,205,2195.878581
-241.487664,173,2198.888139
-242.483451,170,2201.909113
-241.91297,172,2204.569231
-238.594957,168,2207.754534
-242.884478,167,2210.653166
-239.016457,168,2213.300933
-242.550554,171,2216.397335
-245.403021,173,2219.442454
-239.911577,170,2222.434681
-239.019693,176,2225.008703
-1839.364315,3571,2284.330096
-1842.989769,3571,2343.316832
-1843.644624,3571,2401.899615
-1843.883052,3571,2459.947069
-233.029645,181,2463.3574
-1843.782314,3571,2521.114975
-232.751843,178,2523.88504
-233.198166,178,2526.897388
-226.869635,170,2529.853638
-1843.407497,3571,2588.683436
-1843.705998,3571,2646.706954
-1447.393064,2490,2687.223342
-318.340176,272,2692.46781
-325.885484,283,2697.235917
-304.433519,245,2700.971684
-298.408128,244,2705.181602
-301.911451,241,2708.909174
-488.71635,657,2720.563765
-293.07985,249,2724.675095
-296.961157,259,2728.993125
-289.457543,253,2733.353998
-1839.564311,3571,2794.312163
-1842.490508,3571,2850.527268
-1841.855592,3571,2906.704794
-1508.193826,2641,2948.185306
-276.349187,223,2952.240773
-278.923689,225,2955.662857
-275.951695,225,2959.280946
-335.221572,338,2964.488343
-272.456953,224,2967.828131
-280.433591,234,2971.835893
-281.392373,227,2975.305589
-278.216618,231,2978.845187
-280.963165,226,2982.40313
-285.199899,235,2986.607329
-268.794517,203,2989.987963
-274.232895,213,2993.65997
-284.847165,232,2997.39405
-293.425843,249,3001.95269
-278.607766,218,3005.48295
-273.41318,216,3008.96003
-278.670289,220,3012.659237
-277.800747,218,3016.541996
-277.525404,222,3020.528807
-284.957066,228,3024.020308
-402.95582,448,3031.533208
-2358.036557,3571,3099.83016
-1541.920291,1924,3136.354517
-301.115762,252,3141.114429
-277.084499,224,3144.880809
-277.370442,225,3148.513845
-275.396272,221,3152.729293
-280.457694,229,3156.499504
-288.524327,238,3160.031483
-284.30089,241,3164.228835
-276.813785,221,3167.807856
-274.381986,215,3171.405545
-281.602063,225,3175.307601
-276.131873,219,3178.835674
-278.525885,221,3182.863458
-278.105465,222,3186.149565
-273.466174,214,3189.388777
-278.633493,220,3192.859834
-273.113543,215,3196.232238
-280.121091,224,3200.070895
-278.044649,213,3203.310866
-270.68784,208,3206.4677
-271.822719,209,3209.881531
-267.298944,203,3213.481852
-255.133511,183,3216.883293
-252.535971,178,3219.817491
-252.910061,184,3222.399326
-281.028567,223,3226.553212
-261.550006,196,3230.084376
-254.317024,181,3232.987399
-276.67083,221,3236.860409
-274.891754,214,3240.623019
-246.076408,174,3243.116055
-259.893758,189,3246.309203
-252.173257,173,3249.147413
-236.672597,165,3251.848102
-238.550374,169,3254.252706
-241.37928,168,3256.999422
-243.595277,172,3259.84119
-237.124451,169,3262.041872
-236.494734,175,3264.893981
-235.855417,163,3267.462621
-234.074866,161,3269.700585
-233.428318,165,3272.398476
-236.576255,170,3275.292862
-234.468971,162,3277.729284
-234.974245,167,3280.764271
-237.466609,165,3283.606747
-231.28661,167,3286.168637
-240.785647,163,3288.96325
-232.968125,174,3291.962054
-241.242903,166,3294.831567
-230.107806,165,3297.368795
-228.060309,170,3300.128443
-230.906776,166,3302.452767
-231.033354,170,3305.323959
-225.458152,161,3307.960428
-226.024469,160,3310.238053
-235.060429,168,3313.128695
-229.457259,165,3315.888999
-235.257192,165,3318.33991
-224.779415,162,3321.105839
-228.889999,159,3324.019649
-229.856059,164,3326.371076
-226.978467,164,3329.244441
-224.66087,165,3332.220026
-231.403269,170,3335.007667
-228.461384,166,3337.815176
-231.654299,167,3340.812015
-224.594544,164,3343.368111
-231.131074,165,3346.121028
-232.838254,165,3348.676286
-231.462004,165,3351.481742
-234.728244,180,3354.443144
-229.526839,165,3357.217572
-228.401791,160,3359.800423
-233.201196,164,3362.626869
-232.988763,170,3365.522786
-228.795135,163,3367.881217
-227.651341,161,3370.590872
-225.50296,160,3372.926205
-230.854132,163,3375.432525
-228.614498,163,3378.162315
-224.131205,157,3380.468368
-226.679355,164,3383.134078
-224.075762,159,3385.540377
-228.643724,163,3388.680051
-227.996955,162,3391.452157
-228.025655,159,3393.871516
-228.260987,162,3396.586472
-230.65226,164,3399.391943
-231.813744,165,3401.780107
-230.350347,171,3404.636631
-240.313836,160,3406.834543
-232.819274,168,3409.857491
-230.700816,165,3412.746646
-223.185937,158,3415.069842
-230.92294,162,3417.750807
-225.075387,159,3420.407599
-235.965946,170,3422.916787
-224.084506,158,3425.778155
-231.744299,167,3428.661512
-226.102343,160,3431.079325
-224.486558,159,3433.628615
-229.304065,164,3435.979348
-228.843187,159,3438.489232
-227.114535,163,3441.103328
-222.644025,155,3443.384153
-228.39938,164,3446.078755
-226.287021,161,3448.326489
-228.84777,163,3451.356732
-221.074545,151,3454.274119
-228.555006,158,3457.159539
-228.688612,166,3460.124655
-224.669588,159,3462.540028
-231.044452,164,3465.408131
-223.411678,158,3468.107397
-227.625973,163,3470.625678
-228.268841,164,3473.592967
-226.421896,162,3476.200433
-230.412314,165,3478.971912
-225.096536,159,3481.582757
-232.963609,165,3484.054046
-228.981928,164,3486.717566
-227.400879,163,3489.575841
-224.7579,160,3492.258979
-228.347813,165,3495.043016
-229.848294,167,3497.985975
-222.610821,162,3500.263705
-228.034229,166,3503.046654
-237.683789,176,3505.758345
-227.598682,164,3508.06122
-226.341509,161,3510.673144
-228.645261,165,3513.501096
-224.191575,159,3515.835756
-226.585725,163,3518.540872
-229.17144,165,3520.841977
-233.376818,169,3523.789117
-223.637385,162,3526.976973
-225.285199,160,3529.524988
-219.93798,158,3532.783029
-217.192513,152,3534.979239
-223.988486,158,3538.033814
-215.190858,150,3540.266401
-225.323091,161,3542.890217
-222.607689,157,3545.396595
-224.242522,162,3547.706485
-220.069479,157,3550.184456
-219.906886,156,3552.587948
-226.701471,163,3555.437687
-214.842045,151,3558.361079
-227.003234,162,3560.754587
-221.145133,157,3563.480881
-223.344476,164,3565.880439
-222.579267,159,3568.8483
-219.140889,156,3571.639413
-219.040926,156,3574.0752
-227.862061,169,3577.140621
-227.081446,166,3579.654454
-226.538345,154,3582.22433
-220.790582,160,3584.849723
-218.691195,159,3587.174801
-217.858652,157,3589.689608
-224.202525,165,3592.074637
-235.290963,164,3594.986621
-224.631341,164,3597.698778
-218.015056,158,3599.992359
-217.717599,156,3602.671282
-222.658571,163,3605.029157
-219.377449,160,3607.582773
-221.32936,161,3610.159848
-219.387201,158,3612.523694
-220.145596,158,3615.179759
-225.056631,162,3617.464029
-216.148199,154,3620.785473
-230.584257,168,3623.547927
-229.787464,167,3625.985357
-224.266463,165,3629.018479
-235.95571,171,3632.081963
-337.161538,159,3634.459623
-229.796239,163,3637.246158
-229.277274,166,3640.208791
-224.716296,161,3642.67122
-228.017245,166,3645.450898
-229.708968,163,3648.069808
-229.249007,164,3651.113008
-223.990882,158,3653.894204
-228.4057,162,3656.503574
-231.848772,166,3659.462807
-229.61553,162,3662.496055
-234.518732,169,3665.344533
-226.071607,165,3668.22132
-234.05973,172,3671.063422
-229.047259,161,3673.775263
-233.852849,168,3676.680487
-233.880985,168,3679.549618
-224.62346,159,3681.964106
-232.330963,166,3684.919002
-232.215098,163,3687.513699
-226.186372,159,3690.362222
-224.322527,159,3693.170925
-229.523393,163,3695.916733
-228.77165,164,3698.620205
-228.560451,165,3701.696171
-223.368438,156,3704.182506
-225.354201,160,3707.032895
-236.323696,169,3709.641934
-222.834098,156,3712.485508
-227.530456,160,3715.059387
-223.81207,158,3717.669942
-235.30745,169,3720.698376
-232.790288,170,3723.539747
-227.284734,161,3726.004734
-226.066182,161,3729.082433
-224.496576,159,3731.543158
-227.26026,163,3734.294565
-232.625168,169,3737.341452
-227.057281,164,3739.652243
-228.46756,165,3742.564433
-230.909945,167,3745.853349
-226.418712,162,3748.272926
-227.397858,163,3751.038821
-225.444742,162,3754.027804
-229.852312,165,3756.341152
-231.400285,169,3759.222142
-230.324374,166,3762.278903
-223.342359,159,3764.82876
-236.411063,176,3767.919759
-229.61464,166,3770.771623
-226.950606,164,3773.467959
-225.694932,162,3776.481126
-227.135972,164,3779.019728
-225.042752,161,3782.001473
-230.705749,166,3784.991069
-223.708406,162,3787.542889
-225.389096,165,3791.129968
-1840.006983,3571,3850.93176
-1835.8807,3571,3909.933555
-1810.383072,3571,3969.273806
-1871.537375,3571,4028.651975
-1859.884691,3571,4086.527397
-223.469971,162,4089.031212
-225.794321,166,4091.98275
-1841.352736,3571,4151.838753
-228.651659,169,4154.676269
-233.095649,170,4157.92933
-229.328995,168,4160.985901
-230.396673,168,4163.528602
-227.519903,169,4166.667919
-234.341138,171,4169.722421
-234.795853,169,4172.321877
-231.945643,170,4175.444752
-229.079163,166,4178.370199
-227.670421,169,4181.028957
-1837.242353,3571,4240.45361
-225.114151,164,4243.205236
-222.744125,163,4245.871724
-229.596766,170,4249.079694
-231.989337,175,4252.328129
-229.727465,168,4255.210104
-226.121915,165,4257.849222
-228.626654,168,4260.701177
-232.411881,173,4263.856961
-228.854451,169,4266.603422
-1834.891181,3571,4326.381661
-230.792786,170,4329.35917
-226.690973,164,4331.805758
-225.020415,159,4334.847242
-223.769545,159,4337.274506
-230.184803,170,4340.290819
-231.436028,169,4343.312444
-220.615102,158,4345.982222
-229.866163,162,4348.886081
-226.85596,163,4351.735496
-237.545322,176,4354.386207
-222.324072,159,4357.281618
-227.392063,164,4360.190921
-224.640386,160,4362.687955
-227.162412,166,4365.880999
-228.817233,165,4369.055055
-230.661469,166,4371.871987
-226.130621,158,4374.689805
-231.86604,161,4377.14864
-234.089853,164,4380.027091
-232.043285,163,4383.012176
-239.102495,168,4385.67315
-234.55628,166,4388.534579
-223.472012,159,4391.369138
-225.310389,159,4393.705255
-231.957345,167,4396.628797
-233.581999,166,4399.685767
-226.718318,163,4402.096759
-228.094947,161,4404.985065
-236.987827,176,4407.98122
-230.311835,165,4410.64856
-226.256117,158,4413.599682
-235.2211,174,4416.62618
-230.205207,164,4419.158832
-233.526734,169,4422.220392
-225.137838,161,4424.720895
-233.353681,164,4427.830606
-229.790184,161,4431.006658
-224.496423,157,4433.451499
-226.446611,163,4436.32509
-230.89777,169,4439.268176
-231.275828,163,4441.844384
-229.640062,166,4444.852564
-232.221173,166,4447.830718
-229.630927,167,4450.472433
-223.611966,158,4453.267686
-229.303192,162,4455.794163
-236.412993,172,4458.6503
-233.119572,168,4462.483911
-229.13815,165,4464.915012
-230.122149,165,4467.987405
-234.033185,165,4470.738101
-221.762056,146,4472.951875
-216.450851,147,4475.802939
-213.912919,143,4478.190418
-219.318039,148,4481.169915
-1837.681039,3571,4540.963047
-1837.878298,3571,4599.995865
-1837.597019,3571,4660.479352
-1836.917905,3571,4719.210791
-268.327838,183,4722.877275
-236.041766,157,4726.006632
-238.560762,163,4729.175221
-237.370119,157,4731.73355
-247.843687,167,4734.733403
-237.422797,157,4737.424644
-244.460146,167,4740.588378
-257.203977,192,4744.309913
-231.163575,162,4747.525533
-231.019051,155,4750.157279
-249.988947,172,4753.597074
-1834.611126,3571,4813.486458
-1809.977939,3571,4872.570779
-1818.527636,3571,4932.118309
-1837.63393,3571,4992.284022
-1822.975941,3571,5051.143452
-1825.446009,3571,5110.565078
-1844.321667,3571,5170.651951
-222.251733,158,5173.129711
-1853.707408,3571,5231.836342
-228.754682,173,5234.931062
-221.447772,156,5237.613236
-234.155111,166,5240.819072
-227.692202,151,5243.861733
-226.642271,162,5246.429482
-221.24462,154,5249.354611
-223.98346,159,5251.859802
-226.282556,162,5255.09809
-219.924217,154,5257.645283
-224.993029,161,5260.422864
-220.39954,155,5263.420774
-223.326665,158,5265.987425
-220.663185,153,5268.944053
