#{"t_start": 1595519875.5068371, "env_id": null}
r,l,t
-5528.203447,3571,46.914448
-6247.075731,3571,89.317526
-5859.502289,3571,132.517869
-5830.054252,3571,176.516071
-3586.032693,3571,236.68253
-5662.43155,3571,281.472449
-2755.139875,3571,330.057669
-4954.487315,3571,373.554414
-5191.05449,3571,425.015631
-2920.858919,3571,472.955029
-4074.311596,3571,519.015203
-3547.570343,3571,564.856052
-2204.501515,3571,613.314936
-2533.072837,3571,675.706227
-1148.839383,3571,725.11428
-1204.872998,3571,775.206693
-1129.079911,3571,827.251053
-1004.868512,3571,879.854393
-295.200979,3571,933.4304
-400.437122,3571,985.102763
-466.143231,3571,1037.881655
-338.958736,3571,1089.899892
-348.072771,3571,1155.702477
-280.89247,3571,1210.06028
-264.849964,3571,1261.041378
-208.174361,3571,1314.717936
-269.678546,3571,1371.292566
-164.202195,3571,1422.047948
-114.501246,3571,1476.244272
-303.732177,3571,1529.235368
-191.076036,3571,1581.616441
-77.688435,3571,1644.124813
-15.851769,3571,1695.484245
47.614111,3571,1750.444087
172.305659,3571,1804.598744
-141.458212,3571,1865.855306
379.413981,3571,1920.196547
122.516917,3571,1974.013764
381.067678,3571,2027.399798
590.31459,3571,2079.152228
430.176454,3571,2157.176147
507.093872,3571,2210.332227
261.872257,3571,2262.788774
598.134549,3571,2314.983048
548.144819,3571,2369.412616
934.164137,3571,2420.995399
863.153115,3571,2472.694346
615.538642,3571,2525.153806
812.341706,3571,2578.813765
723.307948,3571,2640.291872
576.188948,3571,2693.844264
815.80047,3571,2744.914053
1079.446222,3571,2799.158044
1063.033161,3571,2861.54234
942.284129,3571,2914.21231
1347.853912,3571,2968.280273
1344.393447,3571,3020.732133
1371.335129,3571,3072.648229
1184.757819,3571,3134.858306
1234.363445,3571,3185.200215
1507.872213,3571,3237.658041
1456.691527,3571,3291.862859
1748.855355,3571,3349.73477
1809.920864,3571,3402.54717
1727.92228,3571,3457.190121
1691.096246,3571,3511.022403
2339.522483,3571,3564.339916
2243.930391,3571,3622.176152
2304.852884,3571,3673.767221
2051.919864,3571,3728.085447
2123.935581,3571,3780.848864
2344.861463,3571,3838.478149
2468.753593,3571,3891.154776
2184.044828,3571,3944.480472
2630.895702,3571,3997.077587
2087.817832,3571,4049.901594
2719.794541,3571,4113.256581
2773.213722,3571,4165.166008
2875.316848,3571,4218.112527
2689.402358,3571,4269.820116
2613.018565,3571,4356.373511
2768.359879,3571,4409.85533
3076.7855,3571,4464.225055
2722.836004,3571,4515.800251
2511.078502,3571,4567.026411
3354.217448,3571,4630.64703
3201.317792,3571,4682.869785
3103.208287,3571,4736.651435
3170.337386,3571,4790.549744
3252.464044,3571,4847.975389
2835.841747,3571,4900.252698
3241.729946,3571,4953.141521
3377.008771,3571,5006.785209
3253.926314,3571,5059.579154
3552.151078,3571,5118.489667
3321.556928,3571,5171.203605
3287.573818,3571,5224.733013
3352.8974,3571,5280.734367
3384.884371,3571,5350.391762
3455.281117,3571,5404.689019
3588.283418,3571,5458.804709
3626.498588,3571,5513.540634
3536.569452,3571,5565.988406
3387.758576,3571,5629.765872
3661.409089,3571,5684.427006
3643.438922,3571,5737.46237
3584.44068,3571,5791.761179
3344.364164,3571,5848.740837
3754.334106,3571,5902.92465
3568.128039,3571,5957.255215
3697.1485,3571,6011.340658
3534.710643,3571,6063.218053
3763.492458,3571,6137.160038
3979.027095,3571,6188.316515
3585.313586,3571,6242.428226
3466.629144,3571,6295.601885
3576.744984,3571,6354.169373
3860.637599,3571,6407.138491
3542.014017,3571,6458.612925
3821.502267,3571,6514.55667
3772.329702,3571,6577.411054
3903.538267,3571,6630.832564
3668.705771,3571,6684.665829
3769.187948,3571,6736.629912
3739.439161,3571,6788.329291
3631.933445,3571,6849.475556
3875.782982,3571,6905.12691
3589.989282,3571,6958.280091
3571.617297,3571,7010.351947
3953.823898,3571,7068.35132
3886.085824,3571,7120.130141
3905.945685,3571,7173.754396
3995.532769,3571,7228.034908
3759.756644,3571,7279.105806
3901.842402,3571,7340.427392
3658.2998,3571,7393.657309
3854.758042,3571,7445.132216
3937.78019,3571,7497.546503
3567.549293,3571,7558.483839
3813.639216,3571,7610.023722
3618.172823,3571,7661.652256
3922.579972,3571,7708.307804
3932.258234,3571,7755.594236
