#{"t_start": 1595479395.536227, "env_id": null}
r,l,t
-5112.527065,3571,31.463072
-5344.828428,3571,59.467903
-5665.394881,3571,87.690941
-5080.712499,3571,115.904454
-5601.923449,3571,144.022157
-5415.258442,3571,172.045313
-6520.826427,3571,199.194191
-5548.498017,3571,227.458707
-4843.881738,3571,255.422774
-5093.215341,3571,282.682857
-5435.880141,3571,310.913651
-5553.128554,3571,339.038687
-5973.277441,3571,366.942928
-4993.907185,3571,394.77762
-4783.25374,3571,423.619761
-5644.565197,3571,451.54535
-5472.03392,3571,479.428129
-5526.013276,3571,522.617227
-3836.876086,3571,551.678494
-3850.37998,3571,581.053451
-4305.212405,3571,609.735796
-4036.731551,3571,638.859861
-4661.988227,3571,667.335311
-4388.164687,3571,696.60448
-3988.41894,3571,725.704334
-4196.331261,3571,754.747133
-4209.83539,3571,783.614529
-4079.37126,3571,812.858277
-4247.10372,3571,841.701358
-4203.144421,3571,870.269548
-3717.44481,3571,898.966858
-4304.672562,3571,928.034814
-3725.060539,3571,957.583573
-4024.540793,3571,986.966188
-3903.174732,3571,1016.558472
-3990.220789,3571,1065.305574
-3178.318742,3571,1094.902196
-3142.800348,3571,1125.111645
-3063.975196,3571,1155.299813
-3177.349631,3571,1185.572003
-3202.710676,3571,1215.795739
-3270.731328,3571,1245.934441
-3209.073381,3571,1275.935504
-3219.795129,3571,1305.802153
-3375.175681,3571,1335.973998
-3219.086064,3571,1366.11402
-3251.571183,3571,1395.931026
-3272.704148,3571,1425.373861
-3101.023838,3571,1455.662012
-3045.747354,3571,1486.419137
-3154.009588,3571,1517.040638
-3337.577716,3571,1547.543896
-3237.328761,3571,1579.009355
-2998.260978,3571,1624.852152
-2856.610106,3571,1655.540228
-2137.750863,3571,1685.785136
-2916.997122,3571,1716.525264
-2898.390243,3571,1747.737343
-2893.883503,3571,1778.112279
-2698.623846,3571,1808.525248
-2757.044951,3571,1838.273067
-2880.213047,3571,1869.028307
-2900.118982,3571,1899.802834
-2930.557911,3571,1930.597688
-2759.889435,3571,1961.298411
-2874.667625,3571,1992.21011
-2823.693157,3571,2023.205913
-2837.392937,3571,2054.230119
-2865.06624,3571,2084.81329
-2906.550392,3571,2115.797544
-2827.606624,3571,2146.761075
-2731.910846,3571,2193.100044
-1989.553074,3571,2222.851397
-2350.469696,3571,2253.362809
-2390.111763,3571,2283.633298
-2424.478613,3571,2313.636508
-1871.153551,3571,2344.279742
-2654.635969,3571,2374.703438
-2128.413702,3571,2405.50445
-1356.940287,3571,2435.830625
-669.823992,3571,2466.584129
-2338.178492,3571,2497.073509
-2442.658319,3571,2527.416295
-2454.817842,3571,2557.545049
-2277.604773,3571,2587.812154
-2600.003585,3571,2618.336021
-2278.826104,3571,2648.886407
-2399.512069,3571,2678.630373
-2545.042787,3571,2708.927121
-2183.559788,3571,2754.621602
-2002.690035,3571,2784.577821
-1537.772804,3571,2814.977297
-1073.704056,3571,2845.626215
-1022.831585,3571,2876.58427
-894.728438,3571,2907.422004
-945.138891,3571,2937.982577
-939.235813,3571,2968.103517
-793.084973,3571,2998.688284
-1823.894036,3571,3029.044081
-856.504425,3571,3059.399919
-1204.337949,3571,3089.515802
-1186.684898,3571,3119.915403
-1555.976504,3571,3150.237807
-807.955794,3571,3180.624686
-847.635086,3571,3211.309302
-770.138822,3571,3241.932779
-936.79292,3571,3272.390067
-757.147425,3571,3318.224352
-1204.791803,3571,3348.703073
-878.013754,3571,3379.236899
-870.300372,3571,3409.726464
-1319.059155,3571,3439.969425
-813.313712,3571,3470.316983
-830.178233,3571,3500.917966
-809.273682,3571,3532.462968
-786.762416,3571,3562.866403
-993.005118,3571,3593.31201
-1696.821542,3571,3623.273258
-1275.351178,3571,3653.334539
-1260.140694,3571,3684.231809
-762.633082,3571,3714.984295
-1047.14672,3571,3745.190016
-959.868346,3571,3775.488283
-805.458718,3571,3806.431379
-778.383617,3571,3836.887056
-835.632206,3571,3883.433968
-749.053689,3571,3914.617316
-762.825163,3571,3945.293065
-606.757524,3571,3975.668105
-774.551245,3571,4006.091748
-828.231462,3571,4036.828734
-757.580331,3571,4067.79761
-763.228261,3571,4098.499235
-670.262448,3571,4129.21459
-764.286252,3571,4159.935269
-784.965071,3571,4191.17002
-812.6604,3571,4221.561618
-938.90004,3571,4252.065603
-793.788814,3571,4282.842172
-806.884392,3571,4313.432264
-854.072452,3571,4344.115079
-870.357939,3571,4374.12514
-1001.744446,3571,4404.400854
-749.568441,3571,4450.870193
-793.23648,3571,4481.078688
-756.231151,3571,4511.410673
-753.262676,3571,4541.903528
-747.887357,3571,4572.554883
-773.796536,3571,4603.188094
-737.494473,3571,4634.290781
-800.726797,3571,4664.745251
-764.521839,3571,4695.511223
-794.780767,3571,4725.977546
-753.724017,3571,4756.687637
-822.119249,3571,4787.919049
-727.830233,3571,4818.854243
-807.601912,3571,4849.233844
-795.933631,3571,4879.704967
-751.6778,3571,4909.380385
-1057.175731,3571,4939.43117
-774.745224,3571,4968.800827
-762.359115,3571,5012.972764
-790.830919,3571,5042.417536
-755.448325,3571,5071.348186
-740.968554,3571,5100.244328
-757.541839,3571,5129.621346
-769.697685,3571,5159.138978
-791.32775,3571,5187.55705
-771.225989,3571,5216.582119
-778.531666,3571,5245.739496
-739.480785,3571,5274.722144
-887.4954,3571,5303.061468
-804.269953,3571,5331.916959
-759.575143,3571,5360.441206
-762.995478,3571,5389.498628
-742.872821,3571,5418.682836
-788.10374,3571,5448.160685
-680.21581,3571,5477.331261
-868.233933,3571,5506.65375
-743.725407,3571,5550.685353
-744.970125,3571,5580.421855
-741.171026,3571,5609.721721
-693.298042,3571,5638.561892
-762.602897,3571,5667.941369
-768.917699,3571,5697.209619
-754.575435,3571,5726.333415
-798.439831,3571,5755.645795
-723.994585,3571,5785.112756
-753.844792,3571,5814.380363
-749.564756,3571,5843.065093
-674.279932,3571,5872.267994
-780.620974,3571,5901.212543
-771.906672,3571,5930.807292
-756.410661,3571,5959.642825
-768.661619,3571,5988.506771
-764.675547,3571,6017.926823
-749.407436,3571,6046.978597
-671.601495,3571,6090.924705
-740.441023,3571,6120.514187
-670.339002,3571,6149.714607
-758.006981,3571,6179.008849
-775.388686,3571,6208.195762
-747.877078,3571,6238.019959
-762.563864,3571,6267.119829
-757.130267,3571,6295.628476
-761.118693,3571,6324.442866
-751.977081,3571,6353.599619
-741.396659,3571,6383.067125
-829.023849,3571,6412.82685
-771.789145,3571,6441.449908
-763.026753,3571,6470.465244
-746.160168,3571,6500.193826
-761.272492,3571,6529.630646
-762.356995,3571,6558.785696
-709.20907,3571,6587.956217
-769.523435,3571,6631.951605
-749.070105,3571,6661.055375
-460.522912,3571,6690.753173
-578.474815,3571,6719.099212
-775.064072,3571,6747.938783
-745.315916,3571,6777.399382
-660.252983,3571,6806.023587
-765.240553,3571,6835.472881
-517.192917,3571,6864.773144
-512.13148,3571,6893.429328
-410.427635,3571,6923.012744
-740.967021,3571,6952.344639
-747.008301,3571,6980.980234
-458.594955,3571,7010.829091
-757.143587,3571,7040.139981
-637.015403,3571,7069.389313
-648.743285,3571,7098.3972
-757.956369,3571,7142.231253
-802.543828,3571,7171.184059
-575.704585,3571,7200.556282
-744.967757,3571,7230.027779
-697.101469,3571,7259.457873
-740.752468,3571,7288.613378
-617.585685,3571,7317.903612
-734.899827,3571,7347.13783
-742.071261,3571,7375.820749
-752.089078,3571,7404.48782
-745.504873,3571,7433.229777
-525.869443,3571,7462.035731
-755.760801,3571,7490.861713
-590.136435,3571,7519.739169
-410.548337,3571,7548.71635
-657.605495,3571,7577.291718
-419.353741,3571,7606.598083
-745.080805,3571,7635.703099
-743.523701,3571,7679.931077
-744.577356,3571,7708.762073
-753.574117,3571,7737.896934
-599.187372,3571,7766.932423
-518.376155,3571,7796.043794
-592.137535,3571,7825.049776
-446.926071,3571,7853.61846
-590.524625,3571,7882.483086
-766.095865,3571,7912.095293
-409.602458,3571,7940.973009
-586.970942,3571,7970.012532
-741.154029,3571,7999.110888
-549.280184,3571,8028.618705
-492.30884,3571,8057.24925
-568.941141,3571,8085.814829
-742.966838,3571,8115.281756
-749.408567,3571,8144.151029
-753.58725,3571,8172.66714
-747.642823,3571,8217.177102
-571.60076,3571,8245.750705
-745.247424,3571,8274.464082
-657.385393,3571,8302.920935
-653.849014,3571,8331.451231
-743.949827,3571,8360.149851
-743.800547,3571,8389.589141
-525.092857,3571,8418.848128
-755.691671,3571,8448.201749
-744.018666,3571,8477.561755
-677.577498,3571,8506.020091
-736.62674,3571,8535.871716
-462.527728,3571,8564.945412
-767.82344,3571,8593.754902
-626.013857,3571,8622.988159
-485.698776,3571,8651.823405
-703.190509,3571,8680.812158
-751.400935,3571,8710.389104
