#{"t_start": 1595707233.4031956, "env_id": null}
r,l,t
-4241.117279,3571,220.043459
-1073.102219,3571,452.507861
-598.718155,3571,693.99775
-872.805721,3571,920.989744
-701.933169,3571,1148.565694
-225.972985,313,1167.461752
-213.497143,223,1180.494554
-211.053816,228,1193.946542
-246.097967,401,1218.483642
-271.537515,657,1258.533525
-514.103071,2250,1399.208338
-248.072224,310,1417.179596
-307.029022,629,1455.106148
-329.274818,846,1506.68296
-257.753735,391,1529.714734
60.737105,2753,1708.241782
-260.018598,363,1729.293833
-247.632747,455,1756.273284
-243.214058,351,1777.736717
275.191715,3571,2014.56472
-232.861932,428,2040.701475
-192.258626,193,2051.839996
-191.722963,162,2061.035961
338.109894,3571,2299.705315
-190.893599,151,2307.866058
1526.7098,3571,2538.871307
509.691747,3571,2770.179861
692.134548,3571,3005.566586
-356.354702,3571,3245.565555
-657.076421,3571,3485.566867
-1830.038599,3571,3724.385672
1616.469854,3571,3938.896838
3879.435591,3571,4149.259552
777.975642,3571,4383.745899
2876.531504,3571,4602.608195
2946.015837,3571,4824.310359
3758.673727,3571,5044.122235
4666.300354,3571,5262.05426
4857.793078,3571,5475.341841
5430.232723,3571,5688.233138
5529.142386,3571,5897.579315
5211.144597,3571,6109.621121
5761.171745,3571,6321.060329
6044.637879,3571,6530.730449
6204.289293,3571,6736.63736
6109.126523,3571,6940.071171
5531.447738,3571,7170.649243
5120.936086,3571,7411.588973
4695.165089,3571,7654.570028
5096.724014,3571,7898.143394
4915.803671,3571,8141.875003
4993.258995,3571,8386.178879
5514.498577,3571,8630.684029
5553.099019,3571,8875.460586
5246.20158,3571,9119.218751
5019.257859,3571,9362.967614
4989.324154,3571,9608.982671
3460.664534,3571,9856.553627
3739.732161,3571,10103.196554
1448.23415,3571,10359.623846
-161.862999,3571,10616.96416
2500.79793,3571,10870.085683
2784.122827,3571,11123.989758
2657.27942,3571,11375.133655
3139.159698,3571,11624.715786
4027.534907,3571,11873.562546
3741.481918,3571,12125.966444
5142.806319,3571,12374.642524
