#{"t_start": 1595699659.6464634, "env_id": null}
r,l,t
-4599.165174,3571,55.100612
-3050.023727,3571,108.104386
-2359.350913,3571,160.984523
-1099.906704,3571,213.948843
-1140.79755,3571,266.282273
-1132.542609,3571,318.235624
-1076.267986,3571,370.861015
-984.921051,3571,423.545741
-966.899933,3571,476.817804
-1063.378771,3571,529.512877
-1020.309169,3571,583.109621
-1003.783044,3571,636.71219
-943.90517,3571,689.752882
-1023.979002,3571,743.228978
-971.968441,3571,796.776061
-1004.00388,3571,849.718299
-916.444184,3571,903.199533
-895.919087,3571,956.179405
-848.427779,3571,1009.907174
-930.73786,3571,1063.297598
-759.768784,3571,1117.116554
-657.233736,3571,1170.981776
-713.093434,3571,1224.976043
-543.7021,3571,1279.616177
-460.568549,3571,1333.944774
-387.123256,3571,1388.569607
-378.996284,3571,1443.044745
-375.72699,3571,1497.690662
-1179.400227,3571,1551.549133
-299.914843,3571,1607.008121
-304.405277,3571,1661.642954
-215.087738,3571,1716.041248
-417.670991,3571,1770.830495
-162.356614,3571,1826.00933
-449.686843,3571,1880.95029
-113.905326,3571,1935.493946
-199.390423,3571,1989.962922
-221.116262,3571,2044.607465
-362.694659,3571,2099.031663
-279.86889,3571,2154.048997
-255.544846,3571,2208.42688
-411.62245,3571,2263.022978
-286.612979,3571,2317.469819
-308.948935,2131,2349.843446
-2198.12029,3571,2402.560261
-593.69312,3571,2456.878559
-501.774315,3571,2511.165794
-435.172077,3571,2565.377344
-435.128394,3571,2620.123316
-283.68053,1817,2647.870929
-213.89948,676,2658.152973
-279.012573,1358,2678.640673
-185.435688,485,2686.139383
-186.715689,247,2689.876292
-190.477244,537,2698.037099
-244.335061,785,2710.105124
-243.947381,1176,2728.026444
-167.23448,158,2730.475773
-182.575891,552,2738.823959
-162.685981,150,2741.063155
-181.369186,209,2744.173762
-356.661508,3571,2799.16076
-403.149597,3571,2853.051955
-406.532178,3571,2907.029691
-417.122084,3571,2961.240382
-533.392359,3571,3015.349581
-373.759656,3571,3069.741745
-195.759159,3571,3124.462731
-379.689219,3571,3178.830371
-211.242858,583,3187.815414
-111.458417,3571,3241.953184
-382.535458,3571,3296.199163
-377.88484,3571,3350.681811
-379.056064,3571,3404.951929
-378.203058,3571,3459.246133
-376.97378,3571,3513.132349
-377.749298,3571,3567.175205
-683.165072,3571,3621.523033
-164.023906,164,3624.027925
-162.919233,153,3626.267994
-161.191017,154,3628.521326
-170.744782,161,3630.968152
-164.818531,175,3633.635085
-159.511745,143,3635.805572
-163.294131,156,3638.095608
-221.175084,1003,3653.141037
-185.797667,500,3660.77861
-175.933289,157,3663.118654
379.593134,3571,3717.548459
-382.758966,1359,3738.350464
-208.747304,445,3745.144871
-219.852129,757,3756.701391
-487.488485,3074,3803.421484
-217.970202,730,3814.463436
-21.859355,3571,3869.054185
-221.740198,2827,3912.386467
-217.658432,727,3923.423969
641.03164,3571,3977.613589
-172.232458,315,3982.229515
-233.014273,859,3995.162791
-174.117734,166,3997.803651
-183.301777,352,4003.133672
-158.509449,146,4005.307845
-161.007272,161,4007.674173
-163.054961,158,4010.123104
-236.372725,2017,4040.839124
-179.145368,178,4043.572825
-160.377575,160,4045.939355
-164.65581,157,4048.257884
-158.432122,147,4050.386564
-166.312495,158,4052.77104
-164.605792,153,4055.047526
-186.73898,165,4057.443078
-171.663592,158,4059.780986
-248.768806,160,4062.155075
-185.854571,364,4067.544878
-161.878754,161,4069.897828
-170.345716,160,4072.247588
-162.141162,155,4074.561885
-166.910894,166,4077.041314
-165.077853,156,4079.284335
-227.366941,631,4088.933044
-162.283715,157,4091.262483
-162.062744,155,4093.57269
-197.571062,3571,4148.404909
-378.455355,3571,4202.504213
-376.306073,3571,4256.71603
-379.658031,3571,4311.008705
-350.680157,3571,4365.238581
-350.001484,3571,4419.628113
-566.426606,3571,4473.912601
-668.104246,3571,4528.572248
-538.981895,3571,4583.273316
-718.025111,3571,4637.313822
-708.285059,3571,4691.761595
-563.872749,3571,4746.070849
-548.96196,3571,4801.050402
-612.884332,3571,4855.646613
-718.349645,3571,4910.561174
-383.252154,3571,4965.103536
-381.731586,3571,5019.354636
-380.753355,3571,5073.317722
-547.783027,3571,5127.312561
-383.676037,3571,5181.69591
-381.045968,3571,5235.845144
-465.908728,3571,5290.196101
-378.803871,3571,5344.590035
-370.390257,1955,5374.443641
-375.045135,3571,5428.331141
-360.849048,3571,5482.70304
-352.062336,3571,5536.902947
-432.673549,3571,5591.057947
-378.927694,3571,5644.856708
-383.498641,3571,5698.504533
-378.338954,3571,5752.777084
-2151.456101,3571,5801.544974
-1078.424411,3571,5855.796613
-626.202254,3571,5910.071031
-342.571388,416,5916.21703
-546.29884,3571,5970.009046
-369.788289,1966,5999.937014
-207.420393,227,6003.38921
-214.18576,239,6006.934716
-305.510786,344,6012.021711
-737.749489,3571,6066.258985
-741.573262,3571,6120.26337
-729.919364,3571,6174.567025
-1883.286272,3571,6226.882233
-684.340072,3571,6280.410073
-679.247792,3571,6334.508973
-758.709664,3571,6388.489921
-745.401356,3571,6442.815454
-847.365128,3571,6497.029155
-757.689785,3571,6551.462639
-810.555883,3571,6605.974511
-678.666196,3571,6660.149295
-815.986705,3571,6714.618179
-1883.90582,3571,6768.86403
988.383245,3571,6818.775685
-1882.575394,3571,6872.626963
-730.333457,3571,6926.650602
-751.092101,3571,6980.939647
-764.378832,3571,7035.87154
-763.934339,3571,7090.112307
-727.944891,3571,7144.216154
-762.350976,3571,7198.149477
-747.031762,3571,7252.691427
-800.562927,3571,7306.8953
-726.179633,3571,7361.333398
-730.358957,3571,7415.770536
-742.305327,3571,7469.950247
-728.71396,3571,7524.232471
