#{"t_start": 1595699659.5250523, "env_id": null}
r,l,t
-3201.713792,3571,136.566065
-730.917535,3571,283.725941
-500.364659,867,315.934645
-994.302215,3571,451.241748
-375.751116,563,471.964917
-332.871607,483,490.001031
-409.691607,1294,539.63062
-359.826377,264,548.155507
-789.527065,2567,646.727992
-296.534004,214,653.617337
-439.870333,819,683.810663
-382.324013,261,692.075687
-322.165869,227,699.09545
-475.473138,1278,746.99486
-475.377025,1047,786.383494
-500.173494,949,821.361273
-861.149825,3571,958.896931
-349.727995,386,972.688115
-346.827366,453,989.404255
-268.599007,254,998.356627
-306.186485,206,1005.342157
-884.133948,2852,1114.662957
-336.791399,369,1127.83756
-453.486644,1122,1169.21732
-358.790622,426,1184.361362
-597.883229,1487,1239.645248
-347.999663,642,1263.569651
-393.262295,658,1287.615165
-569.276487,1026,1325.130546
-393.797956,235,1332.861612
-549.006707,1198,1377.629494
-330.192172,196,1383.237886
-414.470726,260,1391.234668
-617.298898,1641,1452.702038
-484.659858,930,1486.056045
-350.718463,860,1518.699908
-235.535032,165,1524.221068
-219.269515,200,1531.669189
-329.276057,490,1548.938145
-1200.640677,3571,1681.148223
-442.957792,781,1709.176338
-1256.255992,3571,1840.487801
-666.299386,1854,1909.874165
-323.524711,3571,2053.602958
-336.085402,3571,2194.342546
-2790.717838,3571,2323.419826
-1450.542911,2855,2429.44872
-694.60443,3571,2567.090198
-794.855262,3571,2705.407876
-445.647646,3571,2845.969228
-532.075442,3571,2986.536721
-426.616649,3571,3128.457078
-390.07839,3571,3271.161325
-445.413624,442,3286.623539
-367.233263,3571,3429.72098
-379.679704,3571,3572.838764
-351.333043,223,3579.827498
-790.874356,2288,3664.703544
-374.45498,3571,3806.880745
-391.864471,3571,3948.228354
-324.869807,455,3964.816979
-383.400852,3571,4106.871963
-261.707664,238,4115.123674
-515.18898,2318,4203.957313
-386.040136,3571,4345.199231
-573.148991,1825,4414.579
-1045.064433,1969,4487.646315
-339.945353,3571,4628.810824
-318.023957,3571,4770.552254
-152.903748,3571,4914.869481
-197.266135,3571,5058.439705
-278.805779,3571,5202.308474
-320.882213,3571,5345.539119
-1563.140606,3571,5482.12329
-393.445401,3571,5623.826013
-391.91216,3571,5763.914553
-377.308836,3571,5906.343433
-242.595591,3571,6048.764912
-336.884156,3571,6190.243702
-327.12301,3571,6330.393195
-303.682894,430,6345.868504
-342.915594,3571,6487.266821
-306.361536,3571,6630.367771
-263.80762,3571,6773.546473
-242.456989,3571,6916.045734
3011.189083,3571,7041.507704
3961.658116,3571,7161.046282
2352.059331,3571,7290.294915
1928.516399,3571,7419.502655
3129.745491,3571,7545.358343
1912.66348,3571,7675.28952
2074.713741,3571,7807.394369
-579.261356,900,7838.252147
-718.336947,834,7866.927984
3808.853383,3571,7997.304676
4610.106781,3571,8126.499109
4834.517254,3571,8258.352625
4760.997835,3571,8390.358633
4267.6017,3571,8522.769379
4440.796663,3571,8656.473273
-500.510034,3571,8794.673654
-1628.966418,3571,8922.953095
2066.145271,3571,9053.726644
4374.947641,3571,9186.441421
4144.608951,3571,9320.22293
-530.073546,669,9342.416201
2358.113932,3571,9477.974816
1965.588765,3571,9614.489869
3498.600268,3571,9749.4697
-235.583113,222,9756.880281
-532.430481,747,9782.248047
2942.676784,3571,9919.670584
2618.384745,3571,10056.808921
3011.704077,3571,10191.726329
4095.743909,3571,10326.642656
3933.025808,3571,10462.764467
3152.773452,3571,10602.692267
3536.915868,3571,10741.508332
3211.011904,3571,10880.554989
3502.191846,3571,11019.469381
2889.837496,3571,11159.114478
2975.561549,3571,11300.589017
3019.141967,3571,11441.176219
2984.505153,3571,11580.170698
3467.789934,3571,11718.979928
2317.942551,3571,11856.230727
2345.579966,3571,11992.145041
2448.722269,3571,12129.822362
2443.920492,3571,12268.631895
2125.286423,3571,12407.502011
2157.126547,3571,12548.110829
1977.286218,3571,12686.816829
2075.235835,3571,12826.110527
1825.917296,3571,12964.764634
1904.192079,3571,13103.754266
2413.593728,3571,13241.149997
2088.390607,3571,13381.858379
1618.994455,3571,13522.430714
2503.323493,3571,13661.16236
3008.950213,3571,13799.010377
3468.000047,3571,13936.444139
3371.681223,3571,14071.901295
3550.750458,3571,14206.795558
3773.293225,3571,14338.934489
3434.878809,3571,14470.297377
3598.24953,3571,14609.828192
3773.763035,3571,14759.24155
3951.619408,3571,14906.561526
3819.594544,3571,15054.824817
3783.318095,3571,15202.543633
4228.922564,3571,15350.862251
4443.344142,3571,15501.311274
4632.078283,3571,15654.042832
4601.952117,3571,15805.755917
4584.783982,3571,15957.176634
4118.284461,3571,16108.872754
3016.850534,3571,16262.755608
3492.768555,3571,16414.959762
3857.585076,3571,16567.928782
4189.573203,3571,16720.892435
4219.651914,3571,16875.516961
3229.076871,3571,17028.962682
3846.132538,3571,17179.676086
3368.287896,3571,17330.449755
792.374387,3571,17478.906639
2450.763058,3571,17631.23484
3126.732316,3571,17783.613534
2852.330799,3571,17937.266235
1284.979362,3571,18091.769371
122.698818,3571,18247.142148
26.623794,3571,18401.933338
68.729351,3571,18553.792443
-277.221114,3571,18708.788592
-307.418274,3571,18864.088399
-248.97559,206,18871.027214
-279.714256,203,18878.030795
-308.56057,3571,19034.176275
-1606.90863,1603,19091.261894
-2672.169232,3571,19230.476626
-249.397673,3571,19384.151551
-219.060173,183,19390.589118
-255.898376,232,19398.69636
-270.171872,236,19406.573187
-255.89791,293,19417.397017
-251.296168,247,19426.284264
-270.787085,262,19435.570352
-262.962145,211,19442.894033
-262.85112,220,19450.497848
-407.010259,700,19476.933145
-377.172562,501,19496.537012
-418.079821,608,19520.259756
-919.203263,889,19551.796083
