#{"t_start": 1595742493.9485662, "env_id": null}
r,l,t
-5658.159358,3571,61.01224
-5709.668443,3571,117.751886
-5410.365098,3571,174.076348
-5530.226826,3571,230.89683
-5997.852903,3571,287.513532
-6291.609114,3571,342.501402
-5712.557224,3571,397.190633
-5913.741973,3571,452.917217
-5446.640625,3571,508.658407
-6492.809592,3571,563.85573
-6352.74867,3571,619.367279
-5753.552654,3571,674.262096
-6345.064521,3571,728.052585
-6143.301154,3571,781.756277
-272.330467,188,785.984906
-252.687169,178,789.432915
-287.207765,196,793.166382
-282.593833,199,797.436998
-260.001192,176,801.100468
-267.28781,185,804.801322
-270.530701,190,808.856102
-265.281529,179,811.884913
-418.258523,248,816.962933
-984.436619,3571,888.074332
-215.473166,203,892.162997
-222.998616,326,899.234629
-227.921008,134,901.604112
-218.850348,255,907.363089
-222.172713,244,912.278369
-247.560045,397,921.24537
-214.106387,241,927.018387
-240.978263,304,933.249242
-229.202842,295,939.714375
-220.123582,285,945.38938
-223.628901,274,951.27452
-226.071478,231,955.998524
-214.994163,259,961.643116
-219.455115,278,967.803591
-230.292343,325,974.868521
-210.558471,224,979.503724
-222.014735,303,986.194077
-216.767165,239,991.620669
-213.82188,263,996.923909
-216.257261,268,1002.81789
-251.676473,353,1010.600513
-223.282698,268,1015.870584
-219.067853,302,1022.719282
-223.360393,308,1029.198946
-219.516725,257,1034.9971
-213.45502,267,1040.752853
-229.481523,303,1047.554507
-226.007048,407,1056.858
-232.426526,284,1062.642121
-191.734245,114,1065.419031
-195.11327,124,1067.728236
-193.773359,118,1069.803025
-197.70927,134,1072.371562
-196.901107,142,1075.405004
-235.872531,405,1084.400485
-194.448035,126,1086.759656
-200.138154,174,1090.391644
-194.349247,126,1092.615323
-191.424226,133,1094.986259
-194.510144,147,1098.093189
-192.996574,137,1100.829921
-193.28498,123,1103.691798
-198.003101,134,1105.973499
-188.872083,130,1108.408666
-194.166999,133,1110.760885
-191.807865,130,1113.605554
-194.874699,143,1116.230757
-195.973516,140,1119.343869
-191.873967,132,1121.754749
-195.088538,156,1125.041568
-193.595618,138,1127.517
-219.00464,313,1134.388512
-186.637961,122,1136.616074
-186.017484,126,1139.085398
-187.439592,142,1142.283945
-187.426404,130,1144.642872
-186.099982,124,1146.895174
-194.806712,134,1149.688635
-181.181806,170,1152.995684
-220.898249,242,1158.426943
-192.864743,132,1160.798441
-194.949767,113,1162.701373
-229.477889,312,1169.260893
-219.6096,249,1174.934729
-199.659273,164,1178.040166
-192.660595,120,1180.242101
-198.124573,136,1182.708311
-204.569076,140,1185.901644
-197.491525,130,1188.208869
-200.726298,157,1190.923218
