#{"t_start": 1595519875.5291364, "env_id": null}
r,l,t
-6259.080262,3571,46.920573
-5446.521754,3571,90.795216
-5164.286089,3571,136.485778
-6078.836503,3571,184.189808
-4735.697407,3571,231.295053
-3231.187113,3571,279.318596
-2261.930931,3571,330.119939
-2352.765563,3571,377.641954
-3379.03899,3571,425.489285
-1410.536716,3571,476.519265
-1376.816108,3571,527.81148
-363.77688,3571,584.573522
-2160.886358,3571,634.491258
-2800.826523,3571,682.774341
-1422.317421,3571,737.718038
-841.652786,3571,793.930146
-2697.450523,3571,843.008293
-1079.658487,3571,896.483605
-469.802074,3571,952.202087
-1193.092923,3571,1002.887372
-496.763182,3571,1054.860568
-429.430026,3571,1108.36653
-622.29484,3571,1161.804468
-784.70547,3571,1214.192356
-715.494863,3571,1266.750739
-1038.069675,3571,1319.136938
-889.934411,3571,1370.855959
-151.990944,3571,1425.914288
-1366.716034,2547,1460.960913
-467.802664,3571,1515.174932
-684.865749,957,1527.874573
-206.083396,3571,1582.233871
-464.347606,3571,1636.658502
-196.41787,3571,1692.11535
-294.664105,3571,1746.973832
-71.051472,3571,1802.222768
-233.697285,3571,1855.276963
2.489078,3571,1907.897923
-265.637089,3571,1963.726792
-682.945288,3571,2015.959685
-332.943013,3571,2069.043187
-161.78151,3571,2122.709978
2.302071,3571,2175.048234
-114.612043,3571,2226.590682
-157.68217,3571,2278.560992
324.328187,3571,2333.21088
352.292527,3571,2387.113074
294.639106,3571,2439.122316
299.790448,3571,2492.880821
122.792289,3571,2546.117835
354.676407,3571,2600.093492
382.942052,3571,2652.697794
780.796581,3571,2706.761484
496.749579,3571,2757.931554
550.563637,3571,2811.065417
1542.673749,3571,2862.872755
880.54809,3571,2915.589201
1224.427077,3571,2971.42648
1351.800037,3571,3023.319728
1646.830814,3571,3077.758208
2053.390048,3571,3132.921261
2086.17135,3571,3183.990495
2427.628897,3571,3235.674664
2532.992462,3571,3291.216551
2332.474894,3571,3346.425486
2260.473479,3571,3399.570609
2435.478589,3571,3451.374516
3054.652166,3571,3505.759369
3472.970272,3571,3560.113552
3298.584184,3571,3613.96257
3461.356323,3571,3667.083089
3393.86889,3571,3720.811799
3349.0649,3571,3775.309824
3526.806035,3571,3830.58539
3618.899082,3571,3884.472173
3630.09901,3571,3937.795684
3219.489117,3571,3991.471878
3756.546844,3571,4046.01641
3880.053754,3571,4097.269481
3548.775285,3571,4149.560029
3706.118203,3571,4202.070765
3542.764994,3571,4254.195847
3915.668339,3571,4306.470913
3578.95962,3571,4358.505162
3805.646026,3571,4412.930459
3927.490323,3571,4466.596319
4079.156187,3571,4520.242749
4000.661481,3571,4573.705127
3938.580685,3571,4626.67184
4094.994544,3571,4680.354872
4153.741108,3571,4734.505229
4082.569963,3571,4787.382345
4250.703818,3571,4841.659019
4171.42154,3571,4894.960945
4401.061112,3571,4947.960693
3948.643822,3571,5004.880788
4198.654853,3571,5059.261066
4282.412932,3571,5112.805346
4263.79847,3571,5165.87008
4445.225306,3571,5221.197705
4396.905848,3571,5275.981812
4713.925939,3571,5327.448416
4525.367777,3571,5383.703071
4350.725714,3571,5436.967929
4353.833573,3571,5492.875892
4322.965005,3571,5543.952914
4531.916171,3571,5597.522344
4507.4797,3571,5654.056002
4448.317453,3571,5708.657212
4462.890134,3571,5764.399685
4474.101578,3571,5818.981781
4487.127562,3571,5873.369814
4625.607291,3571,5927.005388
4679.041847,3571,5982.97962
4566.83407,3571,6036.400633
4430.951151,3571,6090.048111
4732.110278,3571,6144.257195
4736.674671,3571,6197.862401
4752.435272,3571,6253.378655
4545.968736,3571,6306.124499
4564.302613,3571,6360.547597
4602.955001,3571,6415.547908
4808.808143,3571,6468.600536
4833.696184,3571,6522.833957
4760.004548,3571,6575.534935
4748.390043,3571,6628.573714
4831.57558,3571,6684.305136
5108.242063,3571,6735.261663
4801.313567,3571,6789.375587
4677.20291,3571,6842.88633
4630.039055,3571,6899.787146
4800.433623,3571,6953.17783
4923.102832,3571,7005.552712
4874.473479,3571,7059.589756
4796.503245,3571,7111.391513
4762.234035,3571,7165.457042
4545.179948,3571,7220.756402
4722.225613,3571,7272.332258
4703.120585,3571,7325.786311
4478.437284,3571,7379.664713
4627.877639,3571,7432.721082
4744.856561,3571,7487.039788
4716.96355,3571,7539.039069
4658.477686,3571,7591.13024
