#{"t_start": 1595488230.4639893, "env_id": null}
r,l,t
-4603.364808,3571,30.365498
-5716.948554,3571,57.246732
-5231.751473,3571,84.079968
-5395.047987,3571,110.58402
-3876.403038,3571,140.542585
-3247.44766,3571,169.278558
-3389.838386,3571,197.956148
-3436.609263,3571,226.983948
-3544.022741,3571,257.467136
-3020.616812,3571,287.280265
-3260.355331,3571,316.174445
-3407.291542,3571,344.693266
-3011.681607,3571,373.89735
-3314.285184,3571,404.417279
-3437.816293,3571,434.099801
-6056.977613,3571,461.457272
-2889.346048,3571,491.545978
-3050.080818,3571,522.984947
-2930.131738,3571,553.326628
-2948.061378,3571,583.651081
-3892.006483,3571,611.908725
-4438.547401,3571,638.867445
-3072.656055,3571,671.251421
-3031.574136,3571,701.79426
-2976.979432,3571,732.033472
-3054.43962,3571,762.315083
-2971.33682,3571,793.87875
-2906.117897,3571,824.250685
-2979.105046,3571,854.475949
-2922.907474,3571,885.36376
-2890.359479,3571,915.802724
-2753.334907,3571,947.173113
-2747.426799,3571,976.560841
-2343.889304,3571,1006.182629
-2515.770951,3571,1036.987068
-2398.563254,3571,1068.068087
-2431.408932,3571,1098.106145
-2299.409049,3571,1127.113799
-1581.517895,3571,1157.086318
-1078.840078,3571,1187.334774
-3422.765966,3571,1216.774366
-3753.881898,3571,1244.002018
-3577.495035,3571,1271.165957
-3778.348647,3571,1298.672656
-3687.053907,3571,1327.340251
-3347.552499,3571,1354.369226
-3157.269094,3571,1381.731419
-3300.413778,3571,1409.065093
-3235.587823,3571,1436.672073
-3278.70987,3571,1465.040118
-3151.246296,3571,1492.13981
-1099.359599,3571,1522.403699
-3078.209699,3571,1549.517745
-2955.21448,3571,1578.735584
-2741.28484,3571,1606.042706
-2774.558467,3571,1633.204631
-2664.120302,3571,1660.55035
-2660.432747,3571,1688.166759
-2629.585161,3571,1716.385693
-2548.100785,3571,1744.11635
-1243.43819,3571,1773.610121
-2214.827676,3571,1801.374219
-2261.989634,3571,1830.660832
-1939.259177,3571,1859.939512
-773.254961,3571,1889.580214
-2333.682834,3571,1916.910402
-1358.523055,3571,1946.651928
-1997.55609,3571,1975.95255
-2913.844552,3571,2005.917674
-2874.52769,3571,2035.914846
-2025.252283,3571,2064.116676
-2884.823717,3571,2096.167189
-3000.956496,3571,2126.815702
-2863.895033,3571,2157.01141
-2955.929339,3571,2187.858734
-1625.503456,3571,2217.742339
-2888.448289,3571,2250.180757
-2852.403375,3571,2280.584027
-3016.261246,3571,2311.518199
-2883.155284,3571,2341.553332
-2881.9728,3571,2373.091674
-2435.497677,3571,2403.533784
-1128.458421,3571,2433.52353
-2877.396334,3571,2464.348721
-2672.889441,3571,2493.90802
-2391.470089,3571,2525.61228
-829.863141,3571,2555.462971
-1090.874286,3571,2584.957881
-649.911151,3571,2615.660558
-1920.267644,3571,2646.691228
-2898.758187,3571,2677.599554
-1440.935502,3571,2707.751774
-809.25278,3571,2737.584171
-2132.216848,3571,2767.870155
-452.457317,3571,2798.937549
-1430.054307,3571,2829.112377
-1319.477513,3571,2859.016676
-2663.494014,3571,2889.180521
