#{"t_start": 1595997864.3209848, "env_id": null}
r,l,t
-5125.24788,3571,66.660577
-5613.787148,3571,130.14356
-5397.303014,3571,194.870062
-5672.088484,3571,259.235252
-6271.824197,3571,329.81631
-5272.721004,3571,395.536742
-5190.112401,3571,461.906858
-5993.728661,3571,528.104277
-5219.006821,3571,599.317959
-4319.125239,3571,665.034279
-3178.27553,3571,734.566131
-3257.324267,3571,802.822087
-5189.047623,3571,868.991983
-1403.692553,3571,950.59144
-1647.713821,3571,1027.334121
-2039.596324,3571,1100.314149
-2360.211124,3571,1170.316908
-1216.82055,3571,1252.020977
-1745.36383,3571,1323.705928
-1354.910329,3571,1398.059693
-338.684083,3571,1477.095001
-2656.283414,3571,1546.286803
-1089.100991,3571,1626.027038
-928.948965,3571,1700.99198
-758.653214,3571,1777.713199
-317.370838,3571,1855.348545
-869.014078,3571,1933.47392
-320.597941,3571,2011.013023
-417.460382,3571,2087.710463
-332.926849,3571,2165.27238
-347.958148,3571,2242.614115
-279.44412,3571,2325.088121
-120.856843,3571,2404.557976
-90.746731,3571,2482.584742
-121.1203,3571,2561.40875
23.776218,3571,2644.838622
217.754068,3571,2724.192695
89.416812,3571,2803.575006
176.76747,3571,2882.359285
208.524657,3571,2961.340934
427.449338,3571,3044.596848
346.502457,3571,3121.535957
403.561593,3571,3200.495898
590.336999,3571,3278.711671
686.733892,3571,3362.553446
530.337958,3571,3441.711627
539.323164,3571,3518.561206
479.090622,3571,3595.093868
634.071689,3571,3674.051058
800.098848,3571,3757.148936
1162.300247,3571,3835.691434
1290.675209,3571,3913.335569
1227.874471,3571,3991.43248
1053.264418,3571,4073.81400.470124,3571,2282.260809
1772.878355,3571,2326.42775
2313.299577,3571,2367.171579
2111.025373,3571,2408.00644
2292.20719,3571,2449.222378
2340.989192,3571,2493.161435
2507.134505,3571,2533.36825
2522.710014,3571,2574.040058
2408.931549,3571,2614.47299
2279.927726,3571,2655.232685
2613.201856,3571,2698.845896
2715.142413,3571,2739.330546
3067.757542,3571,2780.040723
2516.425192,3571,2820.424567
2921.515118,3571,2864.635891
2532.071152,3571,2905.771077
2758.549584,3571,2946.706352
2603.556539,3571,2987.531191
2885.937396,3571,3028.022308
2783.658432,3571,3071.943133
3068.902096,3571,3113.528154
3309.282181,3571,3154.152409
3243.254569,3571,3195.064265
2858.113944,3571,3238.529029
3050.920359,3571,3279.413984
2748.034869,3571,3320.504066
3235.556256,3571,3361.291108
2944.490164,3571,3402.171458
2883.79278,3571,3446.913864
3143.668983,3571,3487.423553
2775.992154,3571,3528.79233
3036.378687,3571,3569.608378
2944.129093,3571,3613.330729
3219.487969,3571,3654.512599
2992.374157,3571,3695.52067
2980.770453,3571,3736.489388
3149.333272,3571,3777.582729
3473.615405,3571,3821.608904
3575.402353,3571,3862.224556
3281.872991,3571,3902.660265
3347.789781,3571,3942.950059
3462.692482,3571,3987.20301
3943.896266,3571,4028.236374
3952.68245,3571,4068.792093
3393.518267,3571,4109.422931
3725.709881,3571,4153.166525
3947.404536,3571,4194.377496
3750.639368,3571,4235.016773
4001.410232,3571,4275.69274
3831.752054,3571,4316.974616
3988.051505,3571,4361.200309
3805.930145,3571,4402.357572
3953.101853,3571,4442.990564
3997.483763,3571,4483.630222
4256.900719,3571,4527.929633
4407.181066,3571,4568.800293
4331.966326,3571,4609.915709
3971.494128,3571,4651.326959
4152.513211,3571,4691.915606
4061.456039,3571,4736.22168
4194.246018,3571,4777.290415
4414.741056,3571,4817.868598
3970.238491,3571,4858.014034
4064.344125,3571,4901.820476
4337.323333,3571,4943.060793
4355.61337,3571,4984.370131
4180.668078,3571,5025.570767
4376.055174,3571,5066.697371
4113.043531,3571,5110.749363
4748.138252,3571,5151.729462
4329.383156,3571,5192.584098
4462.14165,3571,5233.198198
4258.396076,3571,5276.995849
4529.448242,3571,5318.080683
4053.142576,3571,5358.642344
4001.888757,3571,5399.456781
4608.416521,3571,5440.006919
4205.800566,3571,5483.910158
4277.861842,3571,5524.606324
4521.325439,3571,5565.497588
3969.633197,3571,5606.390289
4431.788688,3571,5650.431956
4684.453656,3571,5691.537365
4335.014486,3571,5732.681383
4261.815825,3571,5772.878478
4908.683025,3571,5814.31099
4416.892018,3571,5858.356714
4300.307637,3571,5899.3382
4405.057456,3571,5939.786447
4586.505891,3571,5980.249629
