#{"t_start": 1596029923.2963285, "env_id": null}
r,l,t
-4454.730804,3571,41.141925
-4113.564721,3571,82.218975
-4298.246731,3571,123.989144
-4349.120093,3571,165.987815
-2612.660474,3571,209.977137
-1287.519759,3571,252.979597
-1194.112022,3571,296.259292
-1703.222131,3571,339.84654
-2652.693298,3571,384.202862
-948.908636,3571,427.387531
-635.674477,3571,470.585951
-703.208321,3571,512.002503
-1185.579788,3571,552.810845
-1066.024553,3571,595.100048
-951.103229,3571,636.172177
-841.008892,3571,677.345502
-844.250891,3571,718.588027
-415.961424,3571,761.116742
-660.916486,3571,802.476891
-704.830022,3571,843.524523
-737.733689,3571,884.215825
-633.863278,3571,963.302305
-558.436738,3571,1002.497543
-541.980747,3571,1042.640599
-663.10801,3571,1083.290954
-521.664065,3571,1124.070748
-778.944645,3571,1166.220366
-350.659389,3571,1206.795087
-470.937411,3571,1246.648386
-332.988737,3571,1287.52029
-1312.147069,3571,1327.539745
-65.833074,3571,1369.541999
124.966005,3571,1410.416171
-50.965313,3571,1451.211621
-147.460535,3571,1492.306969
-3.70944,3571,1534.042935
156.647378,3571,1574.900512
100.507471,3571,1616.127275
156.411678,3571,1657.009131
314.535652,3571,1697.850787
551.167482,3571,1739.920024
511.338029,3571,1780.869541
639.652253,3571,1821.828063
949.323207,3571,1862.537442
758.228981,3571,1904.921405
782.644804,3571,1945.976323
917.20118,3571,1987.06853
271.171608,3571,2027.879857
974.155591,3571,2068.628179
1048.775043,3571,2111.377995
811.963821,3571,2152.541573
1375.938871,3571,2193.859197
876.878137,3571,2234.718186
1123.416686,3571,2277.54987
1560.339888,3571,2318.225109
1579.771435,3571,2358.96746
1749.073177,3571,2400.082458
1490.940283,3571,2441.320525
1779.582125,3571,2483.268536
2026.476121,3571,2523.935883
2031.381005,3571,2564.314352
1610.98751,3571,2605.586727
2336.318137,3571,2648.373683
2636.049973,3571,2689.054303
2448.238368,3571,2729.350327
2423.342733,3571,2770.126727
2726.008733,3571,2811.069508
3043.06407,3571,2853.176581
2958.086521,3571,2894.194633
3258.13809,3571,2935.637991
3051.28966,3571,2976.608121
2999.140243,3571,3019.115503
3270.159939,3571,3060.1836
3493.346182,3571,3102.08796
3703.220086,3571,3143.04962
3719.412039,3571,3184.02244
3709.039786,3571,3226.216078
3845.700003,3571,3267.945077
3633.647519,3571,3309.109414
3726.565719,3571,3349.939649
3573.19029,3571,3392.068835
3993.080255,3571,3433.335069
3947.98619,3571,3474.315107
4266.112362,3571,3515.699762
4058.459096,3571,3556.667163
4414.855385,3571,3599.49418
4427.075883,3571,3640.506413
4724.781757,3571,3681.026386
4182.258531,3571,3722.065523
4394.491997,3571,3765.03493
4701.239191,3571,3806.72372
4923.893508,3571,3847.597383
4574.687655,3571,3888.803544
5032.613385,3571,3929.988424
5382.420839,3571,3972.25442
4991.320181,3571,4013.915338
4690.360496,3571,4055.040228
5284.087507,3571,4096.065041
5256.116688,3571,4138.700967
5374.014814,3571,4180.088181
5115.416083,3571,4221.255104
5208.119061,3571,4262.300521
5078.955246,3571,4303.687998
5459.016772,3571,4345.713424
5472.848112,3571,4386.61641
5408.758276,3571,4428.045037
5316.731081,3571,4469.502881
5861.868661,3571,4511.992622
5912.883674,3571,4553.142004
5768.973297,3571,4594.651482
5665.541804,3571,4636.182372
5824.282355,3571,4677.637955
5855.402352,3571,4719.947807
5865.420963,3571,4761.201913
5872.521353,3571,4802.188338
5893.996264,3571,4842.959281
5728.858069,3571,4885.312721
5859.595566,3571,4925.733533
5862.74927,3571,4967.311719
5914.214203,3571,5008.74969
5793.135715,3571,5050.860121
6206.720843,3571,5092.021569
5978.371924,3571,5132.866609
5844.518753,3571,5174.340934
6144.561479,3571,5215.109991
6069.832578,3571,5257.621615
5894.870602,3571,5298.414309
6012.032304,3571,5339.475655
6238.6992,3571,5380.330617
6185.685926,3571,5422.608676
6170.049344,3571,5463.906765
6205.065661,3571,5505.123495
6180.907067,3571,5546.368115
6214.587134,3571,5586.936531
6410.989777,3571,5629.652623
6325.149792,3571,5670.771305
6322.797927,3571,5711.464529
6274.98349,3571,5752.036404
6313.274944,3571,5794.520732
6324.409078,3571,5835.576957
6285.798208,3571,5876.607614
6456.507097,3571,5917.291871
6416.123258,3571,5957.556104
