#{"t_start": 1596029923.6141691, "env_id": null}
r,l,t
-3496.409477,3571,65.274966
-2792.818549,3571,128.386141
-1799.729731,1991,163.763781
-512.86782,620,174.721774
-393.260444,262,179.327702
-317.288877,277,184.156136
-278.718839,263,188.975419
-2189.294695,3571,252.693173
-1090.824776,1707,282.953677
-1044.905532,1511,309.636523
-528.138518,709,322.407756
-535.245457,833,337.53117
-487.046933,545,347.268996
-916.167521,1307,370.361816
-611.24522,1053,389.607266
-458.336726,561,399.4865
-525.721659,963,416.601137
-321.993697,518,425.903247
-363.427882,510,435.302749
-437.02257,496,444.494999
-450.153244,820,459.294467
-320.794225,363,465.644804
-293.060261,850,480.320997
-357.209029,451,487.847787
-496.646014,827,502.153009
-372.148694,478,510.366752
-772.896077,1601,538.317809
-345.024206,526,547.439542
-821.047688,1975,582.025005
-1247.024396,2563,625.916538
-1004.817841,2403,667.469768
-1199.935898,2087,703.847227
-1313.079945,3098,756.82901
-280.204317,378,763.246109
-1091.946562,3571,826.101784
-1051.49045,1155,845.715316
-438.768956,3571,962.984296
-222.756399,456,970.281063
-567.022955,3571,1031.905491
-487.815563,813,1045.692206
-630.45305,3571,1107.509544
-564.393247,3571,1170.044926
451.774682,3571,1232.239134
-323.924043,307,1237.401842
1713.443583,3571,1299.649868
2795.760309,3571,1361.787705
2188.044384,3571,1424.310658
2806.403151,3571,1486.705752
3089.425555,3571,1549.256748
1435.061718,3571,1611.926139
2743.274393,3571,1674.130629
2321.829186,3571,1737.58614
2981.252423,3571,1800.004145
3063.895637,3571,1862.105785
2566.951206,3571,1923.672155
3270.98335,3571,1986.389432
2218.637298,3571,2049.450665
3586.556564,3571,2112.921917
3271.121117,3571,2175.047889
3909.793475,3571,2237.440746
3408.280475,3571,2300.105643
3362.009413,3571,2361.972677
3111.921306,3571,2424.254502
3289.734912,3571,2487.130523
3628.651697,3571,2549.665518
3394.683775,3571,2611.710028
3596.571861,3571,2673.84542
2996.690423,3571,2736.257095
3953.064311,3571,2798.391408
3741.347599,3571,2860.734522
3657.377117,3571,2923.065995
3907.149552,3571,2986.075697
3908.222018,3571,3048.736699
3886.210482,3571,3111.477205
3784.623271,3571,3173.532582
3924.034387,3571,3236.150419
3959.445077,3571,3298.70904
-1542.082723,3571,3360.817906
4116.677902,3571,3423.228537
4264.169152,3571,3485.966944
4728.800184,3571,3549.245131
4370.078019,3571,3612.82129
4463.760844,3571,3675.326876
4547.867627,3571,3737.763018
4290.947726,3571,3800.952826
3952.118781,3571,3863.625624
3851.655082,3571,3926.355319
3623.028692,3571,3989.279331
3515.407968,3571,4052.516
3806.969786,3571,4115.285319
3717.936847,3571,4178.250359
3955.428338,3571,4241.526179
4105.794771,3571,4304.701751
3264.478878,3571,4367.212862
3474.994387,3571,4429.478595
2589.844984,3571,4492.391897
3127.709539,3571,4555.123229
3284.507931,3571,4617.872697
2578.460129,3571,4682.007361
2812.401948,3571,4744.826633
2576.852173,3571,4807.634554
2792.743129,3571,4870.61771
2017.415223,3571,4933.118425
2089.692404,3571,4996.655418
2469.968339,3571,5059.694413
2639.803168,3571,5122.308623
2771.809323,3571,5185.926173
2073.942021,3571,5248.465334
2354.928872,3571,5311.721405
2903.393813,3571,5374.736881
3173.412272,3571,5436.92161
3006.573317,3571,5500.184868
3313.87914,3571,5562.99917
2990.421686,3571,5625.334521
3106.14871,3571,5687.825032
3277.729752,3571,5749.604551
3597.771537,3571,5812.224938
3281.255822,3571,5875.855551
2975.950623,3571,5938.735641
2978.759234,3571,5998.979116
3116.243242,3571,6055.854052
2949.053673,3571,6109.570055
2833.356766,3571,6162.907508
2699.024711,3571,6216.402107
3083.037631,3571,6269.746172
2979.869464,3571,6323.096123
3109.779635,3571,6376.716103
2869.103725,3571,6429.897196
3031.626064,3571,6483.38523
2633.404098,3571,6536.466795
3382.421234,3571,6589.920736
3056.638937,3571,6643.142245
3181.358978,3571,6696.200704
3053.859648,3571,6749.440461
2705.571675,3571,6802.429438
3225.344296,3571,6855.217895
3195.581904,3571,6908.255495
2805.286609,3571,6961.075954
2868.073418,3571,7014.393114
-1157.810445,2108,7045.537099
2933.621561,3571,7098.869812
2158.959832,3571,7152.066132
-279.059796,377,7157.646126
2313.636993,3571,7210.924333
2581.641492,3571,7263.927049
2421.141602,3571,7316.811574
2561.640482,3571,7370.073411
2996.62597,3571,7423.217129
2888.312397,3571,7476.168371
2292.233217,3571,7529.226343
2409.570847,3571,7582.056947
2308.34174,3571,7635.170763
2750.785658,3571,7688.513478
2559.631299,3571,7741.537638
2776.910054,3571,7794.5162
2459.713416,3571,7847.887954
2439.896077,3571,7901.226082
-394.495432,425,7907.3818
2766.627081,3571,7960.487457
2681.823498,3571,8013.755438
2807.238342,3571,8066.844405
2753.078422,3571,8119.718098
2669.583,3571,8172.711662
2990.48636,3571,8225.738761
2535.313635,3571,8278.850117
2832.693917,3571,8331.896427
2723.512763,3571,8384.700794
