#{"t_start": 1596040462.9271, "env_id": null}
r,l,t
-5256.060231,3571,36.521199
-5970.575178,3571,73.551327
-5542.253861,3571,112.527992
-5594.948168,3571,151.131059
-4616.217662,3571,192.398776
-4046.045285,3571,232.72828
-5130.549861,3571,272.257827
-3923.312574,3571,312.512899
-4451.142502,3571,354.222311
-3451.846642,3571,394.880369
-3594.187029,3571,435.292092
-3987.131142,3571,476.175777
-3728.712916,3571,517.046132
-3335.838147,3571,559.343939
-3452.328212,3571,600.266839
-2821.57514,3571,640.865823
-3234.86428,3571,681.348719
-3226.028154,3571,723.901255
-2776.992941,3571,765.163159
-2900.707528,3571,805.615589
-3044.803055,3571,845.964922
-3010.193801,3571,886.769868
-2722.362328,3571,929.084834
-1946.460934,2687,959.956043
-2089.689567,2546,988.866959
-773.805021,871,998.614199
-978.122527,1050,1010.777965
-4287.58908,2216,1035.639602
-2848.932082,3571,1076.4333
-1646.490497,2095,1101.520848
-2673.737838,3571,1142.309091
-1382.044312,1811,1162.770671
-2629.761072,3571,1203.075313
-2618.282497,3480,1242.459929
-2508.166635,3571,1283.92939
-2411.378745,3571,1324.247592
-2668.653097,3571,1364.60458
-2245.607609,3571,1405.329319
-2393.532241,3571,1445.698067
-2600.994594,3571,1487.741788
-2681.951323,3571,1528.635241
-2957.010184,3571,1569.772513
-2699.183101,3571,1610.435954
-2442.96522,3571,1652.066584
-2479.541846,3571,1693.327245
-2548.482188,3571,1733.804437
-2477.9125,3571,1773.709757
-2393.331964,3571,1814.293143
-2271.061793,3571,1856.611566
-2370.733406,3571,1897.066771
-2415.830222,3571,1937.304717
-2244.36414,3571,1977.831363
-2389.870556,3571,2019.962177
-2189.387476,3571,2060.44496
-2103.923173,3571,2100.552846
-2153.237582,3571,2141.858896
-2179.825795,3571,2182.478661
-2149.506698,3571,2224.204052
-2267.309385,3571,2264.695752
-2431.466827,3571,2304.916638
-2117.883093,3571,2345.439876
-2243.802202,3571,2387.557534
-1929.535578,3571,2428.826035
-1966.923087,3571,2469.429804
-2027.380056,3571,2510.38579
-1973.606912,3571,2551.576164
-1850.050427,3571,2594.181542
-1783.08308,3571,2634.707793
-2026.847099,3571,2674.576921
-2052.77545,3571,2715.5786
-1912.584989,3571,2758.444094
-1893.994707,3571,2799.290589
-1763.137442,3571,2839.742685
-1848.048281,3571,2880.348918
-1790.199399,3571,2922.613345
-1724.902227,3571,2964.038121
-1883.494131,3571,3004.56552
-1789.773027,3571,3044.923813
-1774.379881,3571,3085.12697
-1888.137666,3571,3126.951205
-1840.434103,3571,3167.700199
-1885.439178,3571,3208.177516
-1860.799357,3571,3248.392612
-2058.96134,3571,3290.227226
-1753.691902,3571,3331.284088
-1788.919641,3571,3371.743927
-1925.704706,2802,3403.899041
-1742.005748,3571,3444.761322
-1922.090346,3571,3486.971889
-2002.503141,3571,3528.081038
-2286.246323,3571,3569.012217
-2097.025408,3571,3609.931141
-2100.181361,3571,3651.192239
-1724.455831,3571,3693.522173
-1835.754007,3571,3734.658845
-1736.269675,3571,3775.958391
-2104.577387,3571,3817.126918
-1709.511103,3571,3859.581306
-1676.290147,3571,3899.958596
-1731.254654,3571,3940.478007
-1662.555133,3571,3980.704273
-1630.201385,3571,4020.555302
-1621.002403,3571,4062.377131
-1606.884359,3571,4102.730455
-1613.352208,3571,4143.006042
-1616.269735,3571,4183.569369
-1641.026894,3571,4224.87057
-1617.410069,3571,4265.238904
-1548.264412,3571,4305.703334
-1577.978142,3571,4347.090996
-1577.663122,3571,4387.341903
-1537.508715,3571,4428.992683
-1541.084603,3571,4470.260925
-1527.641975,3571,4510.845256
-1538.568649,3571,4551.061865
-1534.468189,3571,4593.453093
-1478.27208,3571,4633.908865
-1489.83535,3571,4674.827015
-1471.401475,3571,4714.81584
-1488.617953,3571,4754.933975
-1447.529085,3571,4797.016007
-1505.342528,3571,4837.845323
-1458.685576,3571,4878.923648
-1448.642274,3571,4919.612942
-1486.341633,3571,4961.685573
-1427.805958,3571,5002.182215
-1493.444907,3571,5042.304095
-1426.962606,3571,5082.311764
-1466.991412,3571,5123.431782
-1387.563465,3571,5164.629398
-1391.690808,3571,5205.060076
-1424.680936,3571,5246.026078
-1416.837332,3571,5286.740256
-1417.297282,3571,5328.452331
-1397.658639,3571,5368.839766
-1373.983441,3571,5410.168458
-1385.49611,3571,5450.988105
-1370.910444,3571,5493.379432
-1359.365463,3571,5533.578909
-1321.619458,3571,5574.06108
-1350.779661,3571,5614.539418
-1364.435251,3571,5655.472504
-1335.888434,3571,5697.624303
-1326.38322,3571,5739.053646
-1334.868636,3571,5780.381346
-1301.627789,3571,5820.879566
