#{"t_start": 1596040485.4118721, "env_id": null}
r,l,t
-18026.211926,3571,40.132443
-17527.062916,3571,77.672384
-21539.828663,3571,115.614126
-16899.26469,3571,155.184791
-16773.069776,3571,198.610715
-22169.644764,3571,237.671297
-19984.916913,3571,277.71911
-20044.557345,3571,317.838023
-13703.257104,3571,360.908266
-13409.202029,3571,400.386719
-21823.844684,3571,439.806654
-21477.248277,3571,479.973655
-16161.29507,3571,520.167949
-8682.423638,3571,563.724125
-8221.026197,3571,603.272556
-7306.6186,3571,643.392949
-8697.972077,3571,683.385461
-6864.818285,3571,727.560047
-11178.455046,3571,767.895142
-6817.133151,3571,808.388963
-6630.353525,3571,848.448877
-12897.228691,3571,889.099912
-13767.406137,3571,932.607023
-5784.718823,3571,972.140129
-5952.142663,3571,1012.135051
-6302.598695,3571,1052.872468
-24461.285784,3571,1096.547211
-13872.744222,3571,1136.209512
-7769.094367,3571,1176.099909
-7430.708121,3571,1215.803184
-9650.716542,3571,1256.959761
-15352.758451,3571,1302.430077
-6881.23601,3571,1342.21391
-8457.124936,3571,1383.545937
-12035.229136,3571,1423.927738
-5683.416804,3571,1468.2011
-5945.81759,3571,1508.978346
-5981.942621,3571,1549.364746
-6911.173909,3571,1589.697174
-7241.885105,3571,1630.165358
-4541.032827,3571,1674.611598
-5371.061193,3571,1715.45636
-5063.404713,3571,1755.470429
-5564.645715,3571,1795.504492
-5574.879125,3571,1839.691112
-4573.610551,3571,1879.478524
-4758.741272,3571,1919.992358
-4847.772236,3571,1960.508443
-5350.184527,3571,2001.17132
-5391.04959,3571,2044.966752
-4928.544224,3571,2085.370521
-4230.296925,3571,2126.100986
-4419.045538,3571,2165.544913
-4616.633018,3571,2207.604277
-19279.359329,3571,2247.370775
-5097.927333,3571,2286.80113
-4437.922274,3571,2325.903562
-4934.179861,3571,2365.202926
-4494.990034,3571,2408.076065
-4427.383852,3571,2448.277581
-4003.838679,3571,2488.797111
-4410.909176,3571,2530.328322
-10005.650471,3571,2574.730941
-3763.435386,3571,2614.519769
-4066.664396,3571,2653.937716
-4446.593162,3571,2694.250064
-4052.754693,3571,2734.852764
-3869.775599,3571,2779.155362
-4533.85202,3571,2819.490467
-23731.397507,3571,2859.843166
-3935.101164,3571,2899.939134
-3997.562052,3571,2944.353993
-4136.151594,3571,2985.135338
-4384.419097,3571,3025.687196
-3801.802763,3571,3066.136141
-3589.084997,3571,3106.728817
-3850.482459,3571,3150.685436
-3579.067537,3571,3190.504434
-3270.479533,3571,3231.321471
-27484.224874,3571,3271.305086
-3827.89804,3571,3315.341472
-3440.731154,3571,3355.432543
-3661.050114,3571,3395.973654
-3427.740417,3571,3436.898728
-3885.854603,3571,3478.720529
-3078.245209,3571,3522.632476
-3377.402669,3571,3562.563056
-4607.913451,3571,3603.894661
-3287.892404,3571,3644.671906
-3127.724862,3571,3688.729437
-2964.899564,3571,3729.35271
-2918.745532,3571,3770.368019
-2940.530178,3571,3811.611491
-3059.541371,3571,3852.587018
-3045.434498,3571,3896.03686
-3169.916758,3571,3936.430043
-3269.420889,3571,3976.699009
-3057.443374,3571,4017.602203
-3026.412902,3571,4061.427794
-2782.938867,3571,4101.945729
-3102.493092,3571,4142.041124
-2892.617255,3571,4182.761452
-3188.901991,3571,4223.392302
-2889.133925,3571,4266.335738
-2797.603517,3571,4306.829534
-2893.591893,3571,4347.115395
-3010.415935,3571,4387.679945
-2752.687353,3571,4432.617526
-2883.678361,3571,4473.073534
-2800.5303,3571,4514.256081
-2972.362005,3571,4554.421166
-2858.549642,3571,4595.226435
-2741.092131,3571,4639.368106
-4037.116062,3571,4679.968435
-2870.892475,3571,4720.919545
-2725.717239,3571,4761.63183
-2815.202648,3571,4805.255796
-2702.214377,3571,4846.260548
-2913.805525,3571,4886.362522
-2894.927556,3571,4926.983807
-2845.789169,3571,4970.652689
-2725.927286,3571,5010.506641
-2695.090343,3571,5050.760596
-2788.370794,3571,5091.453969
-2687.934242,3571,5132.404978
-3022.777235,3571,5176.093637
-2912.519568,3571,5216.902526
-2706.567502,3571,5257.411448
-2581.712979,3571,5298.544335
-3593.118284,3571,5342.115318
-2685.343315,3571,5383.340088
-2716.389724,3571,5423.859431
-2589.788814,3571,5464.000613
-2613.868576,3571,5504.294592
-2711.782158,3571,5547.758869
-2672.198077,3571,5587.981055
-2644.440236,3571,5628.08788
-2762.175743,3571,5668.781844
-2562.151717,3571,5712.382537
-2629.384728,3571,5752.412491
-2647.736925,3571,5792.893542
-2516.272386,3571,5831.341074
-2582.124477,3571,5868.506187
