#{"t_start": 1595800471.2031782, "env_id": null}
r,l,t
-892.352266,640,14.494108
-296.061754,161,17.758274
-307.695613,165,20.696418
-552.102541,311,26.240053
-556.233072,396,33.270796
-415.735087,220,37.242911
-1101.467416,832,52.826642
-179.043574,79,54.452421
-177.237782,77,55.651464
-177.996912,78,57.144456
-361.350408,281,62.964707
-1692.634375,1349,88.046176
-583.979349,300,93.355083
-583.984352,300,98.712465
-583.816263,300,104.005079
-584.100409,300,109.132966
-584.049734,300,114.458175
-584.964767,300,119.860444
-382.085619,176,123.294912
-373.93821,176,126.761178
-470.238245,303,132.880434
-117.549244,25,133.333502
-117.549244,25,133.867485
-117.553977,25,134.677461
-117.553977,25,135.173112
-117.553977,25,135.623711
-117.553977,25,136.105079
-117.589959,25,136.901942
-117.589959,25,137.370242
-117.589959,25,137.828679
-117.589959,25,138.255821
-117.576906,25,139.014669
-117.576906,25,139.461889
-117.576906,25,139.92658
-117.576906,25,140.412246
-117.581759,25,141.2171
-117.581759,25,141.627056
-117.581759,25,142.089045
-117.581759,25,142.568476
-117.604738,25,143.333067
-117.604738,25,143.890679
-117.604738,25,144.341841
-117.604738,25,144.826219
-357.557693,180,148.395383
-360.030442,177,151.899344
-366.38775,180,155.501413
-366.435106,180,159.150007
-366.116063,181,162.329095
-262.079176,183,166.121167
-410.318201,301,172.348212
-181.51436,84,174.120158
-734.871133,511,184.34301
-212.115997,74,186.091918
-210.737214,71,187.638918
-212.31534,74,188.989416
-212.34725,74,190.445099
-211.095514,72,191.873981
-210.717895,71,193.357074
-441.590001,280,198.962761
-214.436755,73,200.514456
-211.598364,81,202.313528
-213.95285,87,204.281974
-215.883421,78,206.123041
-211.689937,87,207.755944
-211.861925,88,209.683607
-210.343449,88,211.802712
-211.309983,82,213.745228
-211.128899,74,215.343645
-211.721163,86,217.166176
-210.934001,72,218.31452
-210.944044,72,220.096193
-211.240735,84,221.815516
-412.684536,314,228.492921
-236.509418,116,230.746243
-346.272636,207,235.143197
-1223.453086,1043,256.864509
-363.085904,274,262.374223
-941.326873,720,277.568753
-308.297422,169,280.836297
-176.256008,80,282.702456
-1072.217058,1153,308.556443
-1172.784432,947,327.884995
-937.352207,851,346.227338
-372.456855,184,349.64563
-797.418807,733,365.869743
-533.91046,397,373.912533
-2519.897904,2230,420.50493
-419.366023,326,427.31874
-135.734465,40,428.400314
-135.727289,40,429.117841
-135.69896,40,430.176092
-134.503793,38,430.865
-134.503793,38,431.57777
-134.501829,38,432.812115
-134.48635,38,433.527752
-134.48635,38,434.36837
-481.061537,336,441.142698
-648.553346,518,451.738499
-356.017301,184,455.697335
-878.649728,815,473.642014
-666.178697,637,487.171525
-1435.671425,1318,515.693869
-1730.118755,1696,552.19893
-264.614266,162,555.492573
-689.205411,542,567.60179
-734.569965,674,582.531173
-283.205294,203,587.136706
-261.939819,210,592.181363
-340.644009,182,597.053434
