#{"t_start": 1595794549.7183478, "env_id": null}
r,l,t
-4626.390817,3571,70.125111
-4254.594154,3571,137.85933
-5023.014053,3571,206.301383
-5100.045065,3571,276.26919
-4716.85828,3571,374.66807
-4071.340735,3571,451.845275
-4645.801933,3571,521.496949
-4093.095617,3571,592.44803
-3772.034325,3571,666.782419
-2558.135138,3571,740.165027
-3365.130801,3571,810.209188
-3682.340054,3571,880.166412
-3314.826308,3571,950.077442
-2732.710862,3571,1026.863755
-2487.63474,3571,1099.128576
-2615.912888,3571,1172.731142
-2634.668363,3571,1245.456649
-2637.677414,3571,1321.145661
-2875.059559,3571,1391.503695
-2344.1832,3571,1465.77918
-2755.484564,3571,1536.191633
-2060.981926,3571,1610.720327
-2155.362672,3571,1689.926455
-1540.398128,3571,1767.198015
-2284.264041,3571,1840.640519
-1589.499293,3571,1919.376853
-1960.435339,3571,1998.626252
-2178.374351,3571,2074.283917
-2110.071104,3571,2149.985726
-2160.40846,3571,2224.551444
-2553.008627,3571,2298.239217
-2289.769956,3571,2375.74078
-1905.896938,3571,2451.895159
-2002.881916,3571,2528.856225
-2020.630206,3571,2605.128139
-1825.534938,3571,2696.184419
-450.518562,325,2705.174383
-1929.159731,3571,2812.729252
-2542.934768,3571,2915.965364
-1791.281998,3571,3027.54395
-1770.977508,3571,3136.696124
-1804.263698,3571,3249.892887
-1108.874923,3571,3366.780036
-1196.482399,3571,3483.869568
-676.452642,3571,3605.191633
-1584.53965,3571,3722.688249
-954.363396,3571,3840.773462
-991.566031,3571,3958.866277
-1431.95551,3571,4072.531261
-1200.819072,3571,4181.562522
-1123.846896,3571,4299.552008
-1049.602706,3571,4409.389466
-1247.82439,3571,4515.425287
-714.702773,3571,4623.454353
-945.71852,3571,4734.79588
-582.991543,3571,4842.978878
-863.01899,3571,4944.860356
-620.396324,3571,5047.91042
-1042.659503,3571,5144.537156
-430.816716,3571,5246.375042
-988.842701,3571,5337.402985
-814.768154,3571,5426.810263
-683.66649,3571,5517.242063
-873.19266,3571,5609.963508
-550.369304,3571,5696.430816
-493.894344,3571,5783.215362
-498.028483,3571,5870.222507
-810.930922,3571,5961.451502
-327.912896,3571,6067.030293
-573.282773,3571,6166.717232
-383.677521,3571,6268.323045
-250.21692,3571,6365.702163
-117.06862,28,6366.37508
-551.369153,3571,6471.534631
-178.06538,3571,6573.572424
-448.3224,3571,6668.998867
-219.276777,3571,6771.166968
-447.680703,3571,6871.932526
-595.885364,3571,6977.000826
-118.186819,29,6977.721796
-167.919916,3571,7081.177207
-121.02064,34,7082.065976
-456.225669,3571,7185.103749
-235.201016,3571,7291.303281
26.166936,3571,7397.810993
-330.096065,3571,7504.310741
-360.350361,3571,7611.274657
-183.915543,3571,7719.415768
-668.880218,3571,7823.048357
-494.503683,3571,7932.948773
-345.051412,3571,8039.706467
-24.395992,3571,8146.734675
-365.929049,3571,8250.889941
-48.857419,3571,8363.775366
-151.883616,3571,8469.367618
-121.693406,3571,8575.338165
596.977531,3571,8683.720098
-148.267018,3571,8794.008297
-297.02482,3571,8895.608713
-255.161846,3571,9003.441911
-716.920842,3571,9107.406169
-516.48969,3571,9212.223728
-766.875457,3571,9320.672215
-584.609181,3571,9428.359703
-855.878297,3571,9533.207558
-5.522954,3571,9641.467879
-270.76656,3571,9753.387837
-722.978735,2926,9840.655031
1148.7502,3571,9944.188941
127.408689,3571,10049.170742
-394.308253,3571,10157.667845
-686.165517,3571,10266.38258
1145.726521,3571,10370.917305
-345.958362,3571,10478.206896
-287.335207,3571,10586.828299
144.902454,3571,10693.677134
-418.163377,3571,10804.176239
-197.496919,3571,10911.157547
-331.734691,3571,11017.897282
-577.709409,3571,11121.289259
1157.267004,3571,11232.692072
294.823452,3571,11339.254975
-198.427216,3571,11446.770964
-357.209339,3571,11553.102588
-573.287585,3571,11663.330357
9.682245,3571,11775.218087
-177.099347,3571,11882.165771
-231.936836,3571,11991.430454
-438.703561,3571,12098.662701
-205.799917,3571,12208.811853
266.49053,3571,12318.342128
952.235407,3571,12424.417092
1666.465639,3571,12532.058084
-358.876642,3571,12645.003571
-71.367709,3571,12752.404968
1573.447077,3571,12861.410815
-287.512099,3571,12969.048911
-118.474427,29,12969.855408
-97.868578,3571,13076.584677
-138.32332,3571,13187.580752
1.976783,3571,13294.357687
-33.032538,3571,13402.439183
1798.853584,3571,13509.680444
-1.683356,3571,13619.645373
-17.362765,3571,13726.786503
-243.239843,3571,13832.673372
104.104526,3571,13938.507071
-424.564966,3571,14047.645235
280.44615,3571,14158.219185
260.161216,3571,14264.616163
104.90736,3571,14374.105543
-466.805388,3571,14476.503926
-504.189115,3571,14589.537828
-216.737112,3571,14696.610404
-286.542863,3571,14801.335531
-660.34606,3571,14909.345489
