#{"t_start": 1595767074.8985546, "env_id": null}
r,l,t
-5147.724272,3571,96.388482
-2507.231956,3571,205.658316
-3097.804405,3156,297.343962
-2347.649879,1938,353.279642
-327.796237,198,358.780086
-1252.706497,1168,393.010639
-1872.462549,1647,440.903504
-688.639644,396,451.430297
-227.53312,153,455.797781
-129.73689,44,457.160871
-233.493465,105,460.181896
-316.097321,257,467.544058
-302.116768,178,472.728742
-300.795384,162,477.066334
-685.893481,455,489.62851
-457.025587,423,502.243292
-289.549151,206,508.007162
-418.945396,253,514.88276
-174.73948,83,517.264449
-1276.119642,1289,554.85908
-1294.82902,1084,585.847716
-3501.183832,3501,688.110539
-1173.885109,3571,809.175963
-1281.403832,1126,841.795989
-928.149106,723,862.37884
-1953.405495,1840,915.987011
-429.810572,352,926.291574
-278.398971,172,931.215486
-3821.259867,3571,1032.468893
-209.70882,104,1035.373147
-2544.90636,2367,1103.254627
-1785.440332,1930,1161.353029
-463.570462,295,1169.78972
-398.95316,417,1182.42764
-2912.843332,3571,1289.300154
-356.15694,237,1295.834056
-117.452435,28,1296.700139
-1632.637496,1655,1345.451335
-737.224035,3571,1468.42628
-733.466224,735,1490.499012
-915.661462,1129,1524.762637
-2035.696171,2247,1589.962657
-117.122842,29,1590.866155
-578.943865,431,1603.07632
-467.0297,458,1616.373388
-441.497801,428,1629.219429
-205.621399,205,1635.49366
-1010.728974,1593,1686.737882
-137.412089,60,1688.465826
-667.039603,501,1703.111384
-188.547926,186,1709.211361
-1913.875612,3188,1811.619224
-449.13247,398,1822.76474
-2795.955684,3571,1931.367252
-662.416231,1089,1967.175259
-742.582039,702,1987.812917
-3416.118157,3426,2085.397466
-572.461967,585,2103.688859
-2018.410265,2692,2185.350659
-237.079778,195,2191.089276
-1451.518248,1871,2247.596805
-247.631794,145,2251.462672
-1401.378328,1267,2287.782589
-2011.7444,2712,2370.584204
-2065.788142,2059,2429.444155
-533.397698,764,2453.624291
-116.422224,26,2454.371991
-1884.903411,2053,2516.403177
-116.828515,28,2517.233826
-118.146667,28,2518.031912
-118.756057,29,2518.925894
-118.33869,27,2519.716327
-802.177352,568,2535.972682
-459.266667,486,2550.410601
-536.206927,609,2568.574051
-264.469412,253,2576.551496
-1207.900265,1190,2611.225086
-264.536613,332,2621.80295
-117.076559,27,2622.653991
-117.188124,29,2623.562567
-117.013089,28,2624.490589
-887.107825,3571,2746.671624
-116.381239,26,2747.473976
-116.176228,25,2748.203552
-116.844592,26,2748.99338
-117.173385,27,2749.86534
-116.868419,26,2750.623286
-735.488563,835,2775.266385
-936.871288,1125,2810.74146
-116.484285,27,2811.563882
-116.705668,27,2812.424211
-418.462611,430,2825.007631
-285.71281,192,2830.504163
-116.248782,26,2831.316399
-1549.975724,2211,2899.191518
-116.975138,27,2900.01656
-1130.14876,1541,2947.984715
-117.499005,29,2948.905779
-683.423185,711,2969.504367
-1337.051784,3571,3088.565017
-116.958414,27,3089.31796
-116.637802,26,3090.082146
-116.731931,26,3090.853486
