#{"t_start": 1595830257.600668, "env_id": null}
r,l,t
-4247.913437,3571,88.510196
-3716.205204,3571,162.205519
-4360.660372,3571,236.753871
-4616.296717,3571,312.043267
-2503.781652,3571,392.488344
-4764.098906,3571,466.168826
-5379.683022,3571,537.870517
-4063.233129,3571,616.119646
-5154.37784,3571,687.990373
-3763.134661,3571,765.582237
-3453.283561,3571,843.770351
-4387.091847,3571,917.970764
-3345.972296,3571,1001.740069
-5224.022708,3571,1075.156168
-516.021072,318,1083.509953
-265.855621,125,1086.054227
-633.291779,530,1099.210301
-197.692902,76,1101.423173
-626.177254,403,1112.374333
-481.232563,311,1120.498355
-117.998882,27,1121.114787
-117.908239,27,1122.344652
-350.564024,215,1128.222865
-138.98873,59,1129.564426
-138.525365,76,1132.170815
-151.467657,82,1134.614513
-600.697179,318,1141.722027
-1062.184234,640,1155.454046
-254.302181,184,1160.441561
-1523.831395,940,1184.257123
-362.81117,260,1191.512713
-222.298549,88,1193.961844
-577.532038,405,1205.518769
-1082.531954,784,1225.843114
-1115.029955,816,1247.313462
-1241.951883,966,1273.770574
-1079.520551,772,1295.129769
-1275.120531,909,1320.169785
-370.96619,263,1327.311168
-343.35375,253,1335.472286
-593.108944,424,1347.189625
-773.41811,560,1362.438488
-526.626936,358,1372.36725
-1371.206417,1137,1405.243602
-985.988053,782,1427.912084
-714.462818,583,1443.567143
-548.342804,396,1454.958925
-335.107906,237,1462.436076
-935.413842,741,1482.699128
-191.014353,74,1485.054291
-452.95527,463,1498.385735
-291.918948,167,1503.462428
-206.585806,79,1505.620679
-1253.672869,944,1530.635294
-294.383567,174,1535.494722
-876.809737,701,1554.338088
-363.711503,203,1560.003902
-363.25186,246,1567.217175
-364.739323,205,1572.725429
-556.69107,344,1581.661988
-202.205191,121,1584.825866
-315.147733,208,1590.50244
-358.448197,247,1597.246091
-670.257131,623,1614.940092
-648.503889,403,1625.116593
-368.461212,189,1630.139543
-495.182592,536,1645.370695
-572.096776,440,1658.017022
-280.742997,178,1663.34818
-316.875734,196,1668.295761
-418.326158,291,1675.641227
-270.698066,182,1680.977313
-503.466358,339,1690.25792
-564.841262,396,1700.501296
-334.175669,246,1707.586943
