#{"t_start": 1595794602.9092364, "env_id": null}
r,l,t
-4580.302103,3571,70.274837
-4648.709315,3571,137.957157
-4039.76683,3571,208.002185
-5086.883592,3571,293.072925
-3634.488642,3571,384.904666
-3248.890038,3571,458.515247
-3524.557833,3571,531.917598
-3437.675342,3571,602.48635
-3192.780112,3571,673.629843
-3070.260996,3571,745.266148
-3294.526939,3571,814.639214
-2311.71394,3571,886.307068
-3170.79496,3571,958.69505
-2220.970463,3571,1035.923141
-2410.080607,3571,1110.597962
-2669.320231,3571,1181.662302
-2710.167637,3571,1254.735995
-2580.482908,3571,1329.462675
-1062.803553,3571,1412.872064
-1927.682284,3571,1489.511267
-2018.903466,3571,1564.007393
-1403.735258,3571,1642.91881
-1915.226532,3571,1720.621081
-1301.580127,3571,1800.164462
-1387.930427,3571,1878.563623
-1940.079458,3571,1955.706057
-1908.451747,3571,2034.487273
-1274.885211,3571,2112.703928
-1919.198439,3571,2189.197841
-1119.376128,3571,2268.555943
-1703.232327,3571,2347.671126
-1133.555913,3571,2431.116643
-1608.11102,3571,2509.027919
-1731.71273,3571,2585.773121
-1155.267424,3571,2697.348801
-1517.785948,3571,2818.011368
-1173.013696,3571,2937.671326
-1132.516461,3571,3052.841321
-1376.327637,3571,3170.682821
-1607.19369,3571,3283.77872
-1108.149209,3571,3402.451946
-852.847435,3571,3522.562679
-1076.262626,3571,3645.856587
-1015.313334,3571,3763.257455
-1206.895638,3571,3883.385483
-1344.343056,3571,3999.262035
-1102.618929,3571,4111.591295
-672.545314,3571,4222.636748
-1402.904019,3571,4331.255982
-1050.173847,3571,4440.266306
-1143.493812,3571,4548.650066
-707.789785,3571,4655.251139
-1441.401681,3571,4758.58263
-828.251693,3571,4863.769916
-520.377174,3571,4968.983568
-266.765442,3571,5069.835417
-1055.986733,3571,5164.566729
-849.256227,3571,5257.890643
-1010.342987,3571,5345.633282
-1314.677837,3571,5432.649703
-909.933908,3571,5520.798458
-843.080007,3571,5608.461771
-570.278931,3571,5693.705754
-152.795854,3571,5780.064635
-613.262275,3571,5865.058676
-495.363332,3571,5965.204749
-740.599621,3571,6065.726478
-760.128135,3571,6170.895594
-221.479104,3571,6273.419912
-982.689949,3571,6376.375273
-26.218949,3571,6475.092399
-613.571424,3571,6580.013992
232.497941,3571,6683.765309
-618.887453,3571,6786.68983
-207.896597,3571,6885.720253
-806.178419,3571,6988.318502
67.377629,3571,7100.511169
478.742581,3571,7210.819123
-515.952827,3571,7315.854517
-646.279278,3571,7422.428528
-472.524071,3571,7531.857154
633.471605,3571,7642.823268
-129.113342,3571,7753.521538
-303.251422,3571,7862.017174
1100.425293,3571,7969.092646
-170.697893,3571,8081.440245
392.15452,3571,8188.193257
666.481697,3571,8298.159077
-331.797359,3571,8406.676264
-676.506192,3571,8515.453041
824.021714,3571,8627.338894
1867.930333,3571,8737.760652
1519.838495,3571,8846.823811
-485.256725,3571,8951.571202
2397.762434,3571,9064.049793
1778.122485,3571,9174.866073
-184.686928,3571,9283.930594
598.046169,3571,9395.870535
-285.188137,3571,9507.46369
889.53019,3571,9616.865167
311.015208,3571,9729.316714
451.669295,3571,9841.305346
289.157097,3571,9954.874086
-450.105053,3571,10058.955757
-467.601992,3571,10166.413831
-534.22965,3571,10278.510664
1028.962292,3571,10385.10152
-516.940782,3571,10495.659136
1895.570651,3571,10604.740887
-438.667727,3571,10708.639069
-626.763866,3571,10822.48712
341.51232,3571,10935.73943
-389.167871,3571,11037.69308
-618.055089,3571,11149.991805
1988.465537,3571,11258.698005
-120.036365,32,11259.518135
-418.194409,3571,11367.333758
1565.571725,3571,11478.849934
539.315067,3571,11591.879483
-8.583607,3571,11699.670396
253.562935,3571,11811.195694
943.187692,3571,11924.987211
-5.12393,3571,12030.784462
-354.792785,3571,12138.736772
2297.401967,3571,12247.739885
2639.819647,3571,12356.153989
2485.4462,3571,12467.072662
1893.769719,3571,12576.55892
1396.664526,3571,12686.114451
-531.509014,3571,12788.332613
-596.435322,3571,12897.173131
-1139.182288,1891,12947.222273
-627.948296,3571,13047.085899
-498.748759,3571,13156.483908
-412.155505,3571,13257.454105
924.114918,3571,13370.085277
3062.403591,3571,13480.641771
1207.95256,3571,13589.687957
2638.203992,3571,13699.59209
1771.997807,3571,13809.160863
620.706148,3571,13923.535947
-584.434977,3571,14022.35364
2983.491862,3571,14132.188092
1277.723963,3571,14241.231012
753.010059,3571,14354.485076
-328.157746,3571,14454.962822
1436.240314,3571,14563.995154
3182.244785,3571,14672.089678
3081.183692,3571,14782.39608
-495.478529,3571,14891.727769
1920.123206,3571,15003.034273
1244.481636,3571,15113.880371
2780.231983,3571,15223.767686
-737.689028,3571,15330.053695
3616.298515,3571,15436.999731
-411.314995,3571,15548.012714
-634.755414,3571,15650.869758
3482.331902,3571,15759.089066
82.272383,3571,15866.71961
-613.280074,3571,15978.364357
-174.25224,3571,16083.862559
-456.348738,3571,16194.011025
-604.662527,3571,16310.962993
749.424021,3571,16421.925169
1225.326249,3571,16532.24895
-331.42368,3571,16643.879443
903.749251,3571,16755.330309
-438.861181,3571,16867.677984
3054.038075,3571,16975.225627
1888.657676,3571,17084.461459
3240.729104,3571,17192.50682
1258.852845,3571,17305.210377
-16.587886,3571,17410.643853
2032.510293,3571,17521.574906
3435.930639,3571,17628.65275
2025.899379,3571,17738.813481
978.143221,3571,17851.548223
186.447407,3571,17965.010393
-157.045941,3571,18069.911356
907.997539,3571,18178.916648
124.088602,3571,18288.11175
2468.226634,3571,18397.303856
4336.451264,3571,18505.618364
1599.601574,3571,18616.678031
1006.325585,3571,18726.746326
-57.244225,3571,18829.699627
1778.673248,3571,18940.453477
2384.653381,3571,19048.891673
-251.573969,3571,19160.472133
4288.345277,3571,19272.674034
4117.27356,3571,19381.930181
-299.260998,3571,19494.006278
-523.130276,3571,19598.611992
-315.525819,3571,19699.85783
-593.395678,3571,19815.488635
3287.672801,3571,19925.998459
1806.569056,3571,20037.079758
4023.417995,3571,20148.311048
2529.925616,3571,20260.559388
4782.70497,3571,20369.734162
4616.701065,3571,20477.992517
4262.544499,3571,20587.347833
4491.897536,3571,20697.565033
1480.090031,3571,20810.927973
1330.883209,3571,20922.186282
3091.598781,3571,21033.024824
3515.321011,3571,21144.465624
-471.389688,3571,21257.775494
-1362.112173,3571,21352.910681
-299.313558,3571,21461.300716
3254.036246,3571,21570.602249
-1122.415355,3571,21668.058773
382.893271,3571,21780.896907
2451.741551,3571,21890.431785
4126.91331,3571,22001.748283
2010.672383,3571,22113.055815
1132.512104,3571,22225.77256
2374.642822,3571,22335.637564
5537.700464,3571,22446.186066
3659.035252,3571,22554.715251
4150.514153,3571,22664.496146
3196.139837,3571,22777.773908
-377.342552,3571,22885.755572
-442.842536,3571,22998.657059
3134.568354,3571,23109.800282
3369.896797,3571,23223.952971
5694.262943,3571,23334.245426
-1254.228469,3571,23433.189868
-423.394466,3571,23544.38507
-310.850125,3571,23657.680522
-1042.85542,3571,23760.511457
2980.282538,3571,23867.794002
2391.63169,3571,23978.16409
2959.125691,3571,24090.146066
4940.436163,3571,24199.398643
-262.157356,3571,24310.003308
-1606.630738,3079,24391.104243
3280.531555,3571,24501.149376
5382.314706,3571,24609.81257
5167.154008,3571,24718.830923
4780.316628,3571,24827.501333
-281.46878,3571,24936.065979
197.685121,3571,25046.040252
1432.258081,3571,25158.120082
962.375736,3571,25268.219312
328.788551,3571,25378.35691
-254.977556,3571,25488.804143
1780.954259,3571,25598.841711
-573.142961,3571,25712.698881
3501.160158,3571,25823.665503
4976.132799,3571,25930.738586
-602.519105,3571,26033.053375
-551.228493,3571,26145.865963
5469.103624,3571,26252.50746
-308.815627,3571,26363.502078
4430.382951,3571,26473.213622
5203.549644,3571,26581.416109
-657.200186,3571,26685.611679
5525.984149,3571,26796.026912
-544.12369,3571,26899.287019
2485.777134,3571,27004.562159
5132.820182,3571,27115.551815
-535.793667,3571,27228.181608
4179.034872,3571,27338.19507
2273.088974,3571,27442.703992
2859.283695,3571,27554.228163
446.845121,3571,27666.53352
6068.217764,3571,27776.391452
5799.284182,3571,27884.679739
5547.221753,3571,27993.700316
-517.135675,3571,28109.294209
-473.384482,3571,28211.630037
-514.890961,3571,28325.167717
3352.923458,3571,28429.160805
-532.376326,3571,28543.980623
3765.058586,3571,28653.551626
6067.113049,3571,28760.355049
6101.801125,3571,28870.096902
-72.832666,3571,28971.704769
-167.354382,3571,29075.689473
