#{"t_start": 1595569722.9426482, "env_id": null}
r,l,t
-1182.091702,1037,12.329562
-458.422044,250,14.503703
-854.544889,579,20.225847
-719.155626,462,24.542879
-235.597891,179,26.575232
-215.366826,226,28.966791
-357.767838,554,34.359597
221.923485,3571,78.456174
-591.68492,992,92.471009
-1219.984787,1569,111.998995
-1278.464767,1614,131.544031
-870.756991,805,140.955344
-510.750235,475,146.837752
-427.166987,268,149.619699
-385.794929,259,152.562322
-898.978909,1151,166.896121
-853.874025,797,176.308357
-699.205112,625,184.506233
-440.9283,285,187.493794
-442.244065,274,190.885238
-442.953726,263,194.278317
-446.170812,266,197.487983
-447.834126,268,200.327452
-453.079177,267,203.607656
-448.623171,270,206.818709
-448.778199,269,209.708428
-438.796891,266,212.786257
-452.183555,265,215.955629
-453.386564,268,218.74006
-1081.233954,955,229.757834
-453.249969,267,232.490957
-449.586284,268,235.449336
-751.410774,493,240.831255
-450.426533,266,243.760187
-451.994677,263,246.495872
-453.395578,266,249.727329
-451.175427,265,252.910286
-467.468957,292,256.349731
-771.882853,513,262.72417
-1057.247554,733,271.164238
-450.439838,264,274.090681
-449.45023,271,276.898032
-443.720527,267,279.999608
-444.994763,265,282.947875
-1431.933573,1230,297.068735
-449.476252,268,300.117463
-791.895373,607,306.977544
-448.430498,267,309.709071
-440.797852,266,312.640772
-450.17901,267,315.607539
-449.549146,272,318.350443
-447.28542,265,321.253661
-447.207483,267,324.39356
-446.302108,268,327.348679
-449.582292,268,330.499689
-450.079709,267,333.723003
-779.380813,527,339.818406
-451.09835,268,342.891147
-451.841417,268,345.63865
-504.197827,396,350.597214
-446.338812,270,353.95945
-442.440932,270,357.145333
-436.764503,263,359.999527
-440.804666,263,363.020478
-785.652918,570,369.726802
-436.280784,262,372.440736
-411.630379,255,375.318344
-435.839327,268,378.238248
-753.523693,547,384.50862
-439.579538,258,387.75471
-439.395313,264,390.33897
-436.468516,265,393.195545
-440.936759,269,396.355263
-437.989755,255,399.01106
-427.276479,267,401.977177
