#{"t_start": 1595569623.0539112, "env_id": null}
r,l,t
-893.218989,641,15.491191
-295.810214,160,18.27936
-329.736841,265,22.803886
-369.590772,168,25.358939
-1440.155218,1271,46.231806
-804.679278,579,54.627719
-443.625773,231,58.403996
-597.147566,444,65.494143
-520.342339,378,71.612428
-256.250294,173,74.677321
-584.108914,300,79.018853
-584.264894,300,83.417288
-583.691723,300,87.969899
-582.91783,300,92.598497
-584.11134,300,97.045007
-584.760578,300,101.829645
-750.367692,544,111.063986
-383.087165,187,114.520307
-329.06382,249,119.687666
-406.221589,354,127.385819
-367.913588,250,132.424343
-233.846709,150,136.137335
-293.228288,209,140.360866
-866.392795,617,152.728226
-120.222123,33,153.896407
-120.694868,34,154.575283
-120.694868,34,155.245827
-120.660639,34,156.345039
-302.86208,243,161.078088
-248.712625,137,163.531546
-494.410486,331,170.686381
-460.852743,348,177.342921
-348.593787,234,182.242121
-583.516961,380,191.262284
-380.243403,232,197.096352
-418.285012,305,203.936787
-337.744192,228,208.949798
-753.628883,782,226.635169
-471.933864,405,235.386582
-748.233002,439,244.254225
-416.274859,357,251.956309
-508.630748,367,259.333027
-373.449895,237,265.1407
-248.485243,130,267.692875
-195.425804,72,269.394405
-205.297269,71,270.950524
-204.951051,70,272.120049
-204.942477,71,273.820294
-204.939084,71,275.475445
-204.7799,71,276.598731
-203.639198,70,278.095695
-203.638256,70,279.572524
-204.993456,71,280.712258
-204.030043,70,282.26842
-204.029899,70,283.917889
-205.018693,71,285.54713
-204.729729,70,286.607178
-204.307714,70,288.241891
-204.521382,71,289.726605
-203.74913,70,290.734607
-203.686094,70,292.306666
-203.688471,70,293.786267
-202.957313,70,294.907314
-201.162934,70,296.558659
-201.238258,72,298.253637
-726.623197,542,309.732378
-380.937779,230,314.738066
-798.505141,477,324.057536
-1895.432337,1758,362.707368
-1304.359643,1050,384.60845
-1504.206432,1149,411.265383
-261.63395,194,416.113973
-745.933634,690,433.539175
-122.854574,35,434.270474
-122.854574,35,435.403287
-648.66621,586,448.77233
-384.536732,326,457.160898
-270.590902,188,461.874855
-388.35601,303,468.936706
-1623.026151,1191,495.608165
-435.416805,395,505.401207
-160.705302,75,507.186212
-160.755995,75,509.073446
-159.800181,74,510.846127
-724.579667,715,527.802293
-604.942347,647,542.957979
-171.829096,77,544.813093
-493.060842,360,553.453722
-151.708355,63,554.558934
-309.224473,200,559.282645
-154.973026,64,560.943805
-157.745232,65,562.615288
-713.024191,474,573.508793
-1426.076102,1187,601.827695
-2567.441364,2136,652.567712
-561.863914,529,665.481168
-196.83176,109,668.168305
-168.860836,75,670.364108
-293.363092,222,675.966848
-2180.391886,2237,731.320404
-559.436249,418,741.184231
-719.426423,661,758.313532
-179.67938,92,760.8606
-494.096109,468,773.680143
-1508.208568,1375,809.015198
-609.598726,544,823.315013
-1766.321847,1631,863.235422
-305.499323,190,868.299006
-674.022083,522,881.15497
-208.762634,125,884.070283
-515.025329,352,892.992218
-610.07928,496,905.462115
-326.22679,219,910.71417
-252.369545,162,915.182852
-192.161233,147,918.771693
-410.993361,308,926.362574
-498.715478,374,935.672827
-488.624242,389,945.841688
-614.922902,571,961.534356
-3749.499333,3571,1052.480416
-630.465205,591,1067.524684
-401.513814,297,1075.318886
-386.944472,309,1083.150442
-733.953978,678,1100.964374
-746.220822,524,1113.730288
-258.93488,179,1118.732448
-941.832228,1121,1151.376134
-775.578027,695,1169.394661
-131.596638,39,1170.733795
-795.881016,766,1189.947461
-129.154012,39,1191.156394
-128.577429,38,1191.866235
-128.580386,38,1193.148433
-130.922096,39,1193.916878
-130.922096,39,1194.692858
-130.534539,38,1195.963197
-131.684162,39,1196.637973
-131.684162,39,1197.363902
-1099.623575,1003,1223.367775
-868.490751,810,1245.664574
-1117.173103,930,1270.185862
-586.35807,516,1284.387564
-362.786807,265,1292.015436
-1134.555267,971,1316.282395
-639.448917,521,1330.366772
-345.860829,245,1336.086931
-567.608723,436,1347.401975
-417.043004,328,1356.575709
-911.5638,819,1378.59103
-617.42969,497,1392.280859
-321.82823,195,1397.843168
-313.356001,192,1402.443484
-761.719667,599,1417.864404
-708.257075,512,1430.629496
-228.446538,134,1434.079594
-405.604981,388,1447.254722
-694.389152,461,1462.524042
-1417.850009,3571,1586.476276
-524.406356,404,1596.636977
-419.594397,334,1606.101078
-816.4821,654,1626.864038
-576.341097,450,1644.607229
-474.893435,268,1651.396466
-566.253508,357,1660.411919
-324.154626,161,1664.683934
-317.419355,157,1668.222576
-1117.999945,928,1698.390936
-789.543406,586,1712.951921
-295.160656,227,1719.575212
-445.16286,491,1733.349298
-686.183842,523,1746.652906
-557.875072,544,1763.387937
