#{"t_start": 1595569801.5964391, "env_id": null}
r,l,t
-887.325939,670,23.196041
-293.265333,156,28.084435
-377.591174,262,35.753732
-115.783772,23,36.762913
-116.344296,24,37.490535
-116.344296,24,38.163603
-116.344296,24,38.842041
-115.751237,23,39.786206
-117.077011,25,40.610085
-117.077011,25,41.368913
-117.077011,25,42.126993
-116.343668,24,43.264771
-116.380176,24,44.224221
-116.380176,24,45.032434
-116.380176,24,45.712723
-116.380176,24,46.643711
-330.9541,167,51.150476
-377.933876,210,57.355323
-296.379481,131,61.58794
-297.256269,131,65.191199
-914.389933,512,79.75766
-208.612934,70,81.899014
-208.543311,69,83.80223
-208.591779,70,85.89112
-208.582969,70,87.94726
-208.585531,70,90.070257
-208.531706,69,91.664962
-208.310118,68,93.687317
-208.814772,77,95.914435
-202.930336,66,97.519088
-202.904845,66,99.617464
-202.914486,66,101.475594
-202.926045,66,103.172823
-202.922827,66,105.161718
-202.927771,66,107.143411
-203.036634,66,108.772386
-203.555233,66,110.751289
-203.822598,66,112.60065
-209.14315,71,114.265479
-208.833184,71,116.350142
-209.123578,78,118.795844
-208.756926,72,120.817108
-795.965155,617,138.205881
-387.617815,289,147.095818
-379.414578,219,153.941671
-267.926565,147,158.48497
-289.225708,226,166.141859
-322.424515,257,175.061535
-543.998982,400,187.501699
-1043.575363,767,210.859856
-846.594216,492,224.898981
-875.178048,561,240.156479
-363.92279,192,245.449059
-242.687141,123,248.938026
-362.236172,189,254.101964
-609.152582,532,271.449735
-243.039577,126,275.034223
-587.555941,471,290.583776
-506.527479,423,304.354877
-135.928286,49,305.89442
-135.941718,49,307.76895
-169.931382,125,312.765124
-238.585227,122,316.261903
-136.968035,50,318.118903
-479.550893,324,328.505176
-163.748532,119,333.17932
-120.104297,29,334.164617
-333.510821,184,340.083407
-247.300729,133,344.66496
-243.859735,124,348.409668
-252.419538,133,352.204771
-373.930793,263,360.778221
-267.161518,178,367.049856
-254.531685,134,371.25685
-254.930519,134,375.14042
-254.461822,134,379.608677
-421.158324,292,389.345592
-251.356612,136,393.448179
-247.524679,127,397.539762
-279.642331,181,403.850372
-848.361594,608,423.46849
-552.184154,3571,562.017448
-274.577333,179,568.571862
-269.601712,177,574.322965
-525.156806,388,588.245608
-846.034691,710,614.336473
-237.970318,145,620.05138
-642.144328,434,634.012277
-462.130128,400,648.660593
-494.082547,360,660.692947
-656.43528,619,680.366686
-1011.655731,764,706.430602
-249.748471,194,713.441317
-235.587009,208,721.795603
-352.509374,215,729.150932
-896.814268,656,752.913287
-687.805807,512,771.363475
-673.254593,436,785.674509
-1342.570702,916,814.519332
-120.064966,29,815.487123
-120.064863,29,816.65071
-175.055517,155,823.24281
-519.639451,454,839.976434
-1410.497174,1489,893.946289
-308.706433,185,900.581831
-1206.607649,775,925.758407
-1930.56355,1803,987.34419
-961.270984,857,1018.152601
-386.018059,293,1029.041128
-567.454978,537,1047.841501
-453.742609,429,1064.143633
-201.257983,88,1067.372986
-661.154538,563,1089.138104
-997.298976,876,1120.611602
-344.011085,207,1128.027255
-1595.37184,1391,1176.552073
-708.669014,734,1205.351537
-337.218457,243,1213.56605
-417.020431,320,1225.109421
-1573.33212,1379,1275.081399
-783.458729,577,1295.546592
-886.764945,798,1323.243731
-758.087256,773,1353.620726
-1230.686616,1082,1393.674716
-1660.140206,1204,1436.482262
-834.464936,632,1456.893739
-466.14526,423,1471.871413
-2059.953388,1805,1536.39917
-3155.57273,2291,1614.218262
-517.191057,403,1629.370209
-708.05735,486,1647.128136
-4830.917809,3571,1764.37741
-550.693486,408,1778.487141
-832.695106,666,1802.728462
-1621.089467,2357,1903.505276
-205.773548,152,1910.455094
-1224.316803,1099,1954.345339
-741.323982,733,1983.220196
-404.585172,437,2000.398904
-307.283569,243,2010.00777
-3511.554433,3571,2147.834645
-606.487345,420,2163.522561
-636.112438,664,2190.928447
-810.896099,815,2223.337182
-2039.757692,2201,2308.471961
-887.318133,771,2335.42198
-675.795002,590,2358.458956
-931.101077,896,2395.323226
-526.547007,512,2417.654408
-257.842703,180,2425.264989
-452.029574,423,2441.574202
-1900.747413,1659,2501.528978
-912.632901,678,2525.561848
-181.490858,130,2531.823725
-161.156016,71,2534.580554
-175.192242,110,2539.367496
-1213.830624,988,2576.019679
-3242.113279,2906,2686.760425
-152.067895,70,2689.467703
-150.3439,69,2692.364753
-1206.371732,1166,2736.895898
-2266.347488,2105,2814.355766
-1070.654536,1254,2868.690661
-1208.672015,1429,2928.478113
-683.570713,799,2962.61095
-423.261902,405,2979.098007
-121.177982,35,2980.385606
-121.177982,35,2981.620448
-120.955167,34,2983.199542
-123.494714,32,2984.444299
-123.494714,32,2985.558705
-123.4947,32,2987.120262
-322.42749,273,2997.592561
-591.682291,689,3025.912706
-564.945923,499,3045.038273
-129.983667,57,3047.43771
-131.374331,57,3049.627113
-389.462507,348,3062.928371
-973.155382,845,3094.282882
-337.121247,245,3104.476287
-120.416612,31,3105.434082
-120.416612,31,3106.472778
-120.416171,31,3107.989636
-120.768573,33,3109.377668
-120.768573,33,3110.712186
-121.123894,35,3112.548893
-766.338323,776,3146.168161
-122.399641,33,3147.801781
-122.055862,32,3149.002764
-122.055862,32,3150.191972
-122.027123,32,3151.753804
-120.657795,32,3152.960171
-120.657795,32,3154.037893
-120.772396,33,3155.729175
-120.458361,31,3156.721131
-120.458361,31,3157.886615
-120.889618,34,3159.673835
-204.967819,160,3166.197881
-211.724007,160,3172.641657
-119.59741,36,3174.072835
-119.59741,36,3175.442343
-121.461284,32,3176.847626
-121.461284,32,3177.908383
-121.461284,32,3178.934842
-120.304977,32,3180.313352
-1793.106319,2392,3288.45673
-1343.927465,1120,3332.063838
-121.186306,31,3333.10246
-121.186306,31,3334.553352
-2413.630703,3571,3483.975498
-122.157127,33,3485.30361
-122.127369,33,3486.32863
-122.127369,33,3487.889838
-122.137796,33,3489.476826
-2488.921536,3571,3642.581582
-122.849519,33,3644.101151
-125.371179,32,3645.218121
-125.371179,32,3646.335287
-125.368354,32,3647.714916
-122.693584,36,3648.969437
-122.693584,36,3650.305291
-496.263181,832,3692.392508
-122.523443,31,3693.396117
-122.523443,31,3694.364692
-122.523443,31,3695.791815
-125.555805,31,3697.074876
-125.555805,31,3698.232172
-125.555805,31,3699.24115
-163.439245,108,3704.550135
-129.144536,33,3705.752149
-129.144536,33,3706.961682
-129.144536,33,3708.406973
-125.154373,32,3709.562187
-125.154373,32,3710.615816
-125.154373,32,3711.717742
-252.348202,147,3716.975324
-251.110949,153,3722.084495
-414.021734,334,3734.018766
-1482.265416,1784,3805.473167
-2333.390426,3571,3949.770294
-1354.917579,1775,4018.104799
-678.506704,591,4039.671413
-379.186544,267,4048.682214
-610.685739,602,4072.790253
-341.360544,228,4080.947838
-1796.377427,2438,4194.093277
-842.923534,653,4215.944831
-207.703528,122,4220.034592
-1080.133077,1397,4283.981161
-758.744069,771,4314.805151
-1546.386977,3571,4503.842807
-430.065219,251,4513.267631
-1030.559598,808,4544.009406
-2122.596752,2553,4659.540201
-1797.150783,1979,4736.941403
-1544.113476,1549,4799.037808
-2692.25187,2703,4901.011048
-559.759983,498,4920.063595
-2061.225643,2376,5015.552357
-590.028137,448,5032.182277
-1373.332853,1528,5091.402414
-1336.912778,1146,5132.05044
-862.058232,889,5166.352827
-323.20442,250,5175.809979
-921.900653,1124,5221.710791
-686.04196,602,5244.761293
-1523.303387,1764,5315.988894
-335.501131,251,5325.068748
-530.825393,787,5361.283624
-1174.842387,1286,5411.196773
-164.975307,71,5413.872895
-212.346717,165,5420.314665
-1757.09928,1968,5495.758725
-940.214559,862,5528.505905
-628.505798,558,5549.569822
-164.214994,70,5551.91949
-2006.516543,2200,5636.141752
-525.738958,466,5653.369626
-2907.471563,3571,5795.840104
-2137.373251,3184,5942.756513
-115.570032,29,5943.741951
-115.570032,29,5944.823502
-115.570032,29,5945.806534
-115.231543,27,5947.051777
-115.293868,28,5948.003976
-115.293868,28,5948.960271
-115.405347,29,5950.240689
-122.917521,34,5951.625642
-122.917521,34,5952.899988
-123.237328,35,5954.554877
-315.219715,239,5962.811041
-816.373561,804,5992.547273
-1070.459326,1147,6039.184193
-1281.965065,1242,6087.006673
-534.395842,376,6101.366737
-130.150784,34,6102.426037
-130.150784,34,6103.570404
-128.034254,36,6105.047546
-679.031935,586,6125.542165
-461.134737,382,6139.651227
-1841.988224,2301,6238.029915
-1438.693463,1407,6292.840548
-310.395071,268,6303.907275
-532.354783,486,6322.02303
-128.930778,34,6323.225765
-1008.774467,1462,6386.829709
-331.314991,210,6394.482209
-2114.475279,2060,6475.248181
-1374.013051,1485,6531.704785
-1143.724486,1119,6577.255237
-306.380244,189,6584.261951
-503.642096,389,6597.579202
-325.775706,253,6606.804549
-889.692258,890,6644.017294
-499.058601,377,6659.55198
-1860.997971,1774,6726.635262
-488.188476,388,6739.696065
-1571.065469,1677,6804.107463
-1950.676592,1865,6875.361384
-315.941307,276,6886.033925
-263.417531,154,6892.17779
-267.104663,117,6896.650036
