#{"t_start": 1595830257.3274317, "env_id": null}
r,l,t
-782.04723,639,16.020358
-307.10143,153,18.550565
-583.530981,342,25.277115
-678.890198,582,36.635921
-365.508594,277,41.46433
-323.259377,233,46.021614
-300.400954,252,51.010909
-196.627953,76,52.640035
-325.922209,205,56.675802
-213.274783,72,58.209126
-217.400721,74,59.670447
-225.637807,76,60.894833
-217.461095,83,62.826245
-347.874165,175,66.512947
-221.585932,76,68.074793
-218.992252,77,69.31817
-288.816198,138,72.553207
-533.863715,370,80.586292
-426.050769,207,85.180462
-537.808775,303,91.712224
-778.26658,580,103.718949
-317.142758,304,110.891143
-258.904382,160,114.334636
-135.062222,58,115.913996
-132.152048,48,116.804006
-132.151924,48,118.206801
-134.346129,60,119.384339
-134.232198,60,121.045719
-134.527919,48,121.939089
-133.420519,46,123.421634
-129.37392,41,124.214886
-129.368686,41,125.351107
-128.22951,40,126.192578
-128.22951,40,126.952992
-127.275927,39,128.239085
-127.273899,39,128.940964
-127.273899,39,130.034536
-131.7782,44,130.926515
-131.7782,44,131.68667
-129.852413,41,133.052828
-128.634931,40,133.81823
-128.646044,40,134.989734
-128.136845,40,135.871911
-128.136845,40,136.680345
-128.76705,40,138.047558
-127.406228,39,138.803048
-127.40184,39,139.904502
-127.610287,39,140.720459
-127.610287,39,141.4039
-128.805613,40,142.579617
-128.74485,40,143.340659
-128.738267,40,144.316535
-127.5516,39,145.195735
-127.5516,39,145.941713
-128.826026,40,147.010539
-128.830134,40,147.821616
-127.569959,39,148.862632
-128.776245,40,149.673433
-128.776245,40,150.519251
-126.392955,38,151.502734
-127.445793,39,152.303302
-127.445793,39,153.131752
-127.593489,39,154.144729
-127.593489,39,154.910559
-127.504243,39,156.097133
-127.589086,39,156.823772
-127.589086,39,157.688099
-128.793195,40,158.79158
-128.793195,40,159.602117
-127.463155,39,160.812315
-128.712884,40,161.523162
-128.712884,40,162.318453
-127.522978,39,163.438473
-127.522978,39,164.139721
-127.52371,39,165.235301
