#{"t_start": 1595737583.828508, "env_id": null}
r,l,t
-4789.568761,3571,174.574927
-4172.045822,3571,356.469248
-3872.888015,3571,535.528048
-4993.148806,3571,710.780753
-4024.987178,3571,890.954786
-3146.222574,3571,1083.998723
-3975.840039,3571,1263.80172
-3394.228342,3571,1444.290143
-3052.247003,3571,1643.206328
-3246.863828,3571,1833.850752
-2592.166497,3571,2032.628079
-1896.533103,3571,2241.052427
-2943.865785,3571,2436.257792
-2272.602586,3571,2650.953728
-2410.841985,3571,2847.953235
-2882.245887,3571,3041.079107
-3189.61371,3571,3229.911253
-2684.104979,3571,3424.597643
-2153.760248,3571,3627.09348
-1777.427448,3571,3841.862485
-2956.125083,3571,4030.474735
-2101.082907,3571,4238.490522
-2481.089599,3571,4445.624581
-2435.879806,3571,4644.219368
-2490.464616,3571,4840.905009
-1625.707907,3571,5053.679125
-2498.942589,3571,5258.533677
-2161.148955,3571,5455.919526
-2431.617688,3571,5650.982008
-1819.596388,3571,5856.314875
-1360.941933,3571,6078.77864
-1450.957692,3571,6299.219441
-1700.585422,3571,6514.203063
-1802.357935,3571,6712.840559
-1710.571361,3571,6918.525259
-1462.528375,3571,7127.026728
-1361.681359,3571,7341.610196
-947.015691,3571,7557.374882
-869.772664,3571,7768.320868
-1411.655929,3571,7969.755123
-1316.259192,3571,8185.082991
-1193.255741,3571,8412.262685
-1581.837354,3571,8634.319056
-1484.595627,3571,8853.687912
-1031.662054,3571,9080.771543
-1097.28255,3571,9301.039472
-1330.183795,3571,9516.607731
-1543.900963,3571,9730.16435
-1040.737089,3571,9942.566957
-870.416552,3571,10167.498452
-475.190383,3571,10392.26919
-588.080967,3571,10615.312388
-840.503632,3571,10834.03378
-645.387991,3571,11055.037918
-455.504928,3571,11276.495498
-788.688713,3571,11497.609065
-578.361781,3571,11718.03245
-469.685046,3571,11932.98193
-585.68494,3571,12157.555035
-503.423429,3571,12373.495424
-501.820967,3571,12591.241557
-710.698623,3571,12806.82382
-761.119034,3571,13032.085357
-600.573923,3571,13245.423523
-401.559832,3571,13470.734693
-349.33755,3571,13685.70819
-537.924712,3571,13906.769572
-387.251437,3571,14129.237181
-200.815026,3571,14352.316918
-725.11141,3571,14568.53433
458.83298,3571,14778.752897
397.802282,3571,15002.683623
72.670858,3571,15219.954636
371.972647,3571,15443.341242
-440.577882,3571,15664.873703
-585.536705,3571,15885.795607
-16.286515,3571,16114.270532
549.525042,3571,16351.588703
-1073.955656,3571,16560.763206
-388.440272,3571,16789.989415
-487.735237,3571,17022.090287
642.678781,3571,17258.242699
-1211.647784,3571,17460.310246
-27.814933,3571,17691.424545
-107.420821,3571,17913.648304
-289.878588,3571,18130.385403
989.743128,3571,18357.181246
-436.345792,3571,18569.380017
-360.941718,3571,18790.38017
987.541029,3571,19014.967912
1430.377779,3571,19238.393638
834.433643,3571,19477.776507
273.272461,3571,19711.026556
1355.362193,3571,19950.833258
-62.417046,3571,20192.85178
1159.917247,3571,20423.619775
1469.010709,3571,20667.289607
-396.067481,3571,20903.866865
530.97634,3571,21148.798232
-294.135371,3571,21387.292212
-351.149566,3571,21616.756612
-341.64565,2888,21801.490606
-579.422167,3571,22038.696764
760.108787,3571,22282.853876
-233.28817,3571,22504.186367
687.358653,3571,22735.096248
607.49432,3571,22966.867105
1713.63253,3571,23208.072295
-267.827263,3571,23433.087473
1613.64525,3571,23665.824102
1420.244514,3571,23883.490893
-14.775463,3571,24096.555922
-381.591276,3571,24309.76808
-101.04628,3571,24510.351478
558.164992,3571,24703.401511
-465.059751,3571,24889.715698
-151.010609,3571,25074.704296
1746.852147,3571,25254.036841
-439.523265,3571,25431.50069
2212.799364,3571,25615.122153
-138.889247,3571,25782.718802
2313.374948,3571,25944.449552
2187.235091,3571,26100.469134
1738.350694,3571,26248.265035
2669.49241,3571,26393.600998
2.835797,3571,26539.459893
1899.499046,3571,26686.80977
-3.509727,3571,26830.601647
2509.246564,3571,26976.002846
2438.277857,3571,27122.321025
22.399201,3571,27270.369602
2722.13987,3571,27410.108958
2364.611042,3571,27546.950356
2592.84527,3571,27677.600646
592.249895,3571,27802.959754
2666.08523,3571,27924.979055
-3.195873,3571,28031.407201
2562.245073,3571,28139.534055
2983.699932,3571,28247.677725
2663.641839,3571,28358.480053
-132.146424,3571,28460.844932
3154.60237,3571,28568.099402
3087.891037,3571,28673.941152
3271.426928,3571,28784.591917
2717.640264,3571,28892.502146
29.898961,3571,28997.739265
2768.356779,3571,29104.859518
2876.764562,3571,29211.844592
-82.867444,3571,29319.520881
1877.583011,3571,29422.980788
-56.666824,3571,29553.801714
3036.092408,3571,29754.908518
-115.184666,26,29756.217078
3282.988517,3571,29962.183915
3498.600715,3571,30165.037583
1800.011821,3571,30367.08328
21.421264,3571,30573.050768
2991.394224,3571,30775.030834
1080.363303,3571,30983.708787
-211.578883,3571,31185.089948
2472.073307,3571,31389.206354
3445.014479,3571,31591.206475
3533.66357,3571,31796.056029
2013.564653,3571,32000.640454
3274.467504,3571,32205.217001
-91.865871,3571,32409.61415
-115.511635,3571,32613.256883
2763.854516,3571,32816.226082
3427.01282,3571,33017.62717
-325.41073,3571,33218.512533
-296.487115,3571,33420.143319
76.558662,3571,33629.379622
281.653131,3571,33832.990204
139.938315,3571,34028.417669
637.308702,3571,34229.844541
-99.825186,3571,34428.284158
-204.961378,3571,34625.433144
3022.984844,3571,34823.667886
41.95637,3571,35015.662833
443.491945,3571,35213.948571
-345.178458,3571,35421.736926
3475.906911,3571,35620.728694
1964.890083,3571,35826.70133
3012.341885,3571,36028.421793
-322.466815,3571,36231.649453
-311.864119,3571,36417.109984
3712.56723,3571,36618.759326
3617.043147,3571,36817.876856
2879.272547,3571,37018.122801
3588.645991,3571,37220.158287
3286.90834,3571,37419.71716
3969.140854,3571,37618.144397
53.450987,3571,37811.345505
2472.924636,3571,38016.402584
127.576283,3571,38211.463832
188.650947,3571,38405.919921
2863.859722,3571,38606.92247
3486.886676,3571,38807.644902
3238.432974,3571,39009.817156
2972.241355,3571,39212.805756
2272.718009,3571,39413.758576
-33.956669,3571,39609.141277
3945.457165,3571,39811.539395
3576.541115,3571,40010.708911
4407.204827,3571,40209.292952
844.082836,3571,40395.585682
230.63284,3571,40589.328658
