#{"t_start": 1595767125.6214128, "env_id": null}
r,l,t
-4687.159594,3571,79.725518
-4774.395945,3571,157.0112
-4401.730045,3571,234.455263
-4056.747017,3571,313.049337
-3749.416543,3571,399.062337
-3278.457184,3571,482.028519
-4026.084982,3571,561.773117
-4573.03285,3571,641.549079
-3659.864933,3571,730.158547
-3484.064551,3571,812.265311
-3035.254318,3571,895.600699
-3478.706448,3571,978.958414
-2402.001671,3571,1068.246554
-1785.22868,3571,1165.953041
-2429.888549,3571,1251.57073
-2678.689002,3571,1336.996926
-2792.787407,3571,1421.250829
-2311.184685,3571,1513.577146
-2263.090535,3571,1598.552622
-3115.089338,3571,1681.672077
-2336.513116,3571,1768.165916
-2211.747747,3571,1854.844707
-2317.66886,3571,1945.360722
-1504.797012,3571,2036.097809
-1777.996491,3571,2124.353483
-1189.757265,3571,2216.580451
-1111.082871,3571,2312.973566
-950.295577,3571,2406.941566
-1409.911317,3571,2499.143612
-1083.825854,3571,2590.685435
-1243.742605,3571,2684.7562
-1388.843564,3571,2782.120221
-853.108049,3571,2877.035564
-1426.818173,3571,2969.182338
-1117.085779,3571,3065.650806
-1093.061286,3571,3165.735708
-917.231843,3571,3260.387812
-577.227709,3571,3357.062896
-1147.791408,3571,3450.513331
-1395.07021,3571,3543.217191
-1397.607378,3571,3643.29342
-1021.76482,3571,3740.697996
-635.87879,3571,3838.597342
-468.899559,3571,3938.237416
-372.569253,3571,4043.277001
-255.434182,3571,4145.449154
-507.492819,3571,4246.561554
-118.55976,30,4247.277444
-1033.966837,3571,4340.264323
-788.081849,3571,4440.513327
-917.922596,3571,4543.038078
-701.465551,3571,4643.40624
-506.369503,3571,4744.806909
-407.445744,3571,4848.585084
-449.833709,3571,4954.598721
-409.084099,3571,5055.529624
-190.647701,3571,5157.608405
-517.889385,3571,5257.896416
-92.142532,3571,5359.596667
418.822053,3571,5464.680239
-336.94264,3571,5566.652767
14.248336,3571,5667.703898
-90.623698,3571,5770.762335
-537.736356,3571,5875.792479
-457.753457,3571,5976.307258
-506.465233,3571,6075.781792
