#{"t_start": 1595559936.130367, "env_id": null}
r,l,t
-2981.004586,3571,117.192214
-3618.352875,3571,216.262159
-1590.83845,3571,331.344915
-1805.879503,3571,428.86661
-10348.307994,906,452.717943
-10556.393319,614,468.292446
-10207.192957,162,472.061866
-10183.461166,126,474.970785
-11011.16976,1064,501.48866
-10269.643687,219,506.641585
-10739.564946,753,524.479556
-11637.886965,2179,579.9352
-3803.972259,3571,668.816537
-11213.105081,1285,699.806491
-10122.209385,358,709.529699
-10335.281284,294,716.350431
-10380.918115,361,724.268526
-10109.149486,1825,773.83282
-11886.040985,1600,810.140311
-10429.055722,430,820.236896
-10459.422458,455,830.79775
-12228.240217,1715,873.654996
-4072.285189,3571,960.77945
-12025.309466,1805,1008.125241
-4715.385101,3571,1109.738137
-4706.864691,3571,1205.775752
-4508.291878,3571,1301.866282
-4717.677521,3571,1401.724101
-4657.727732,3571,1490.08185
-14066.871637,2929,1565.325502
-4802.595017,3571,1656.210879
-4527.423971,3571,1755.540378
-4773.194933,3571,1845.669847
-4900.065528,3571,1938.133356
-4744.825217,3571,2035.119417
-5026.401437,3571,2136.715407
-13572.231751,3060,2214.311112
-4995.075101,3571,2319.73116
-4778.400588,3571,2412.394514
-11441.589338,1311,2461.578654
-4626.347521,3571,2553.59477
-5042.390569,3571,2643.555673
-4475.677244,3571,2736.207558
-4503.655135,3571,2839.975642
-4352.069925,3571,2938.806431
-4517.939457,3571,3038.598957
-4014.197337,3571,3138.984419
-4804.047924,3571,3229.240712
-4581.72587,3571,3324.846556
-4563.409344,3571,3420.74539
-3798.825198,3571,3511.806541
-11276.799891,918,3534.055658
-4739.588469,3571,3622.466205
-5018.071339,3571,3708.232853
-4637.47599,3571,3795.606279
-4547.426005,3571,3885.964281
-13532.607014,3215,3966.182793
-10549.500208,533,3979.72492
-4613.547048,3571,4064.906172
-13050.49543,2352,4122.45284
-4025.942867,3571,4212.293761
-13669.871958,3354,4288.433817
-11893.861062,1515,4318.138274
-4492.953215,3571,4399.160308
-13463.516183,2834,4468.956658
-4438.75367,3571,4554.200022
-10381.118536,325,4561.659646
-4296.031145,3571,4643.195192
-11685.253159,1528,4677.830639
-4617.027827,3571,4765.034317
-10137.332399,211,4770.480779
-11009.40825,831,4791.586347
-3537.056882,3571,4886.708585
-13448.636424,2713,4954.331347
-10544.998273,556,4967.163621
-3925.156393,3571,5052.550665
-14165.713389,3439,5138.801968
