#{"t_start": 1595559760.077775, "env_id": null}
r,l,t
-764.412192,514,11.279081
-665.341902,441,18.965293
-4032.316598,3571,177.024578
-2452.777934,3571,365.97049
-1214.616909,3571,556.775717
-606.920456,3571,735.155533
-388.246575,1960,834.614151
-188.866163,169,844.728515
-2294.302593,3571,1018.054392
-403.652061,401,1036.877258
-1621.960167,3571,1216.383808
-291.529567,242,1230.414827
-1478.826413,2062,1335.762838
-3414.620123,3571,1515.985822
-2608.57502,3571,1694.184282
-3566.848923,3571,1867.435729
-220.392158,179,1877.614795
-638.030743,1003,1932.143994
-1027.127549,1628,2012.401753
-664.357266,2867,2162.251669
-1579.508999,3571,2361.365549
-1556.444883,3571,2553.412108
-702.362093,3571,2744.367767
-881.828998,3571,2924.180326
-824.047853,3571,3118.293716
-1154.772005,3571,3312.830545
-1037.099608,3571,3498.542648
-1308.016165,1548,3578.008957
-993.902171,3571,3758.889672
-1875.626679,3264,3917.558589
-2418.44491,3571,4090.786232
-1057.573977,3571,4269.407524
-796.281856,711,4302.750075
-3192.978181,3571,4464.110003
-845.967841,1073,4505.892963
-1434.133968,1573,4574.543375
-923.978933,2467,4693.876632
-752.10937,1063,4743.440709
-956.706134,3571,4914.208939
-636.740605,1259,4977.492812
-277.285744,405,4998.494588
-745.386217,1521,5074.572094
-261.930375,710,5111.191864
-210.0026,327,5126.532745
-246.442806,344,5142.052615
-881.490098,3571,5322.480236
-1005.32962,2066,5410.996491
-1355.21539,3571,5563.664437
-504.281946,491,5588.704276
-1173.970231,1266,5644.742223
-1951.83478,3164,5774.093379
-238.625611,545,5797.850054
-1096.352276,3571,5958.203803
-286.48636,495,5978.776661
-1078.76455,3571,6124.030886
-913.770495,3571,6271.779546
-552.197686,3571,6429.641061
-387.802927,3571,6588.76121
-5.686892,3571,6740.158407
-738.22582,3571,6887.699999
