#{"t_start": 1595558925.4003232, "env_id": null}
r,l,t
-2981.004586,3571,59.708377
-3618.352875,3571,119.18082
-1590.83845,3571,187.286591
-1805.879503,3571,253.518069
-448.307994,906,268.999421
-1280.632057,1110,287.714301
-505.41983,298,292.372912
-595.734231,465,299.859297
-1554.713973,3149,354.42886
-1201.82234,1311,376.02879
-347.396983,310,381.101219
-480.887997,307,385.729491
-1892.896453,1912,416.339413
-211.493859,210,420.108697
-170.530273,90,421.515444
-309.398931,550,431.135534
-438.836548,409,438.074876
-428.84712,275,442.27275
-1323.015291,1253,462.606428
-731.680906,677,473.213734
-196.992378,147,475.34681
-1022.828155,1029,493.071835
-383.31745,275,497.125884
-366.751891,391,503.7103
-243.575903,265,508.367338
-2151.052633,2116,543.429021
-919.148635,3571,610.192648
-1948.6165,1564,635.238542
-172.139203,113,637.160348
-3082.262908,3571,699.717635
-163.2761,114,701.829351
-1544.32293,1454,725.820124
-733.269419,902,740.054802
-253.901847,251,744.255992
-1547.460132,1896,776.102424
-992.407102,743,788.428593
-2730.518638,3571,854.03207
-469.205612,449,867.04281
-938.300649,733,885.440543
-234.52611,361,895.472453
-186.385316,190,900.203703
-235.605211,312,908.580695
-207.348426,246,915.18617
-554.896231,574,928.610118
-385.652826,336,936.582336
-594.398148,550,949.477734
-482.4009,927,974.554876
-183.089341,199,980.05369
-322.702407,477,993.074446
-204.631002,209,999.178112
-1051.28894,1003,1033.641169
-280.488152,347,1045.810225
-571.244236,590,1063.892071
-492.987547,472,1078.350345
-699.605984,802,1102.468092
-239.12643,192,1108.750578
-1100.244387,1048,1140.962855
-812.480163,694,1160.377017
-1944.375087,1717,1208.098981
-348.832649,399,1219.683991
-295.136759,431,1235.716954
-525.512684,768,1260.845139
-646.149895,598,1278.647583
-198.947086,191,1284.946757
-243.91929,309,1296.150623
-1861.263551,3571,1398.463433
-617.304655,767,1418.351038
-375.590296,605,1435.941041
-545.780286,436,1446.954527
-189.30543,247,1453.799612
-769.71784,595,1468.43543
-435.620695,722,1488.55403
-766.889847,768,1507.715413
-1137.303742,3571,1610.534224
-504.936845,728,1630.483696
-1014.514485,1145,1663.440159
-211.381462,204,1670.998494
-197.96911,189,1677.716987
-1804.559863,3205,1768.521672
-180.440655,185,1773.467774
-1066.939871,1010,1798.408408
-1109.001808,3571,1904.55015
-523.241428,386,1914.329081
-1152.749935,936,1937.326656
-430.892348,361,1946.944624
-1663.874717,1485,1984.150762
-2799.060493,3571,2095.502389
-932.327259,793,2118.479793
-2537.091086,3571,2227.032543
-562.619107,998,2257.649288
-1235.337895,1494,2303.213638
-911.680624,990,2334.569973
-364.229666,1066,2371.259194
-585.595666,3571,2486.148687
-554.430316,410,2496.152446
-819.249775,3571,2606.70319
-873.203051,1463,2649.657005
-2987.398032,3571,2754.449658
-576.180808,3571,2864.502591
-2675.455147,2201,2922.144806
-1011.075499,949,2949.256899
-362.144247,394,2960.536941
-1052.998626,2639,3045.919244
-1116.464259,1271,3085.018919
-431.356094,409,3097.008864
-473.076862,446,3111.187076
-2498.356959,2538,3183.177242
-714.785527,1309,3223.257902
-1244.454955,3571,3351.717321
-2826.453491,3571,3455.093744
-1096.249285,3571,3573.188871
-2438.472936,3571,3672.654208
-1690.878427,3571,3783.315234
-1188.068209,1758,3840.562407
-163.625812,110,3843.988597
-400.593745,739,3868.942902
-3058.915158,3571,3970.841614
-558.012059,3571,4096.851298
-349.078554,360,4107.378167
-1335.531504,2949,4196.930541
-1596.831716,3571,4299.3075
-1235.44363,1560,4345.218044
-1018.789513,1357,4383.570815
-3209.934964,3571,4483.392447
41.577328,3571,4591.777677
-432.58877,787,4613.985717
-1428.955983,1353,4648.318099
-1229.66068,3467,4748.194673
-2604.327626,3571,4843.602758
-1935.83219,3571,4944.887062
-2060.556236,3571,5041.417856
-307.531269,3571,5145.239368
-603.784016,3571,5244.781377
