#{"t_start": 1595569623.0715075, "env_id": null}
r,l,t
-3347.646617,3571,107.171238
-3547.192785,3571,222.957931
-2513.216894,3571,351.757265
-3381.673021,3571,478.151948
-1323.950668,1346,524.136331
-1264.880834,1163,562.828403
-844.453622,768,589.242444
-335.653389,252,597.811462
-808.945165,536,614.687493
-116.757813,26,615.623744
-451.57951,488,633.965979
-274.874084,190,640.574646
-667.220749,382,652.624393
-571.982502,525,669.824774
-782.257155,680,692.952765
-688.463723,744,719.731064
-839.740839,920,751.7316
-837.563284,706,775.345181
-2974.011604,2528,859.696228
-3482.722611,3504,980.371044
-1388.775767,1366,1027.283874
-819.244956,648,1050.311739
-1491.044529,1727,1113.999642
-1080.495922,1248,1159.783734
-655.756705,556,1179.766944
-116.418601,27,1180.896675
-860.924029,886,1213.736563
-524.360839,437,1229.874357
-803.087176,806,1259.36882
-644.336864,545,1278.117729
-862.770319,917,1311.709677
-2122.755493,2472,1404.273212
-474.940658,412,1420.039808
-378.710538,354,1433.123484
-2564.85398,2559,1526.379623
-414.228607,354,1539.332051
-1071.978924,1716,1604.611298
-1958.948285,2191,1685.748939
-470.442492,490,1703.506766
-831.443707,1042,1740.896217
-396.714804,312,1752.19075
-251.478644,245,1761.906958
-234.550013,198,1769.182383
-250.648626,178,1775.665139
-794.787608,891,1808.758454
-754.616372,652,1831.984911
-682.706309,663,1856.406734
-175.632694,90,1859.492653
-324.631458,274,1869.137821
-1364.643242,1650,1930.601411
-1763.804269,2099,2007.84862
-268.430549,209,2015.509001
-539.367484,563,2035.437651
-361.429137,287,2046.012126
-1019.48186,1214,2091.358088
-1801.362448,1934,2164.170463
-2787.184387,3571,2298.525362
-354.375974,497,2318.206536
-205.399003,284,2330.285696
-116.08812,24,2331.214847
-2421.001923,3571,2464.404198
-1955.721829,2158,2544.800366
-116.503397,26,2545.800653
-1514.346033,3571,2686.113797
-518.580579,3571,2830.092441
-322.876003,240,2838.755611
-1617.548598,1852,2909.455795
-1063.874352,1369,2963.154366
-274.911412,185,2969.787585
-243.43116,137,2974.677171
-1453.296821,1623,3036.228
-117.279999,27,3037.296261
-116.787523,26,3038.261201
-118.08165,29,3039.366008
-376.937493,340,3052.17445
-178.471097,119,3056.440602
-385.457248,3571,3203.54375
-374.93133,3571,3347.29456
-472.474672,477,3364.127024
-870.982559,1252,3414.437794
-845.163048,3571,3564.275786
-826.967574,828,3594.445052
-878.677661,1200,3640.21152
-282.917271,198,3647.654656
-583.591175,1304,3699.918584
-763.581643,3571,3848.027989
-1562.161913,1772,3915.355364
-322.678759,285,3925.681987
-368.103254,330,3938.038337
-833.04837,912,3972.314235
-368.887181,308,3983.608982
-728.374211,833,4014.588379
-152.773283,139,4020.61751
-604.026147,850,4054.512641
-326.542417,282,4065.008206
-538.24113,1162,4115.283095
-564.562895,612,4138.989569
-544.716267,715,4166.572849
-944.35427,1961,4248.600154
-973.515403,1104,4288.406868
-642.871634,1608,4358.177131
-249.990248,277,4369.170846
-948.245454,1226,4417.635745
-562.100571,653,4442.323394
-421.003352,3571,4591.051965
-379.982272,294,4601.512729
-1139.149576,3571,4754.062867
-1160.179745,3571,4906.198283
-964.282113,1820,4978.279727
-564.779739,3571,5133.131941
-443.817839,817,5166.355711
-314.833779,325,5178.696342
-830.649271,900,5212.64678
-788.607044,1515,5274.211651
-510.990468,456,5290.798406
-118.123862,30,5291.899986
-912.995314,2742,5403.247815
-536.274837,3571,5561.539728
-1172.478839,2289,5655.185098
-2289.460345,3232,5777.822296
-175.24484,181,5785.322221
-287.13462,195,5792.218049
-619.605549,734,5819.419262
-475.239491,940,5860.466942
-405.601586,468,5879.402066
-362.497829,365,5892.945127
-284.354227,202,5899.919568
-192.724577,560,5924.553668
-245.518797,934,5966.076536
-676.993477,1224,6013.593923
-187.226866,476,6034.30716
-184.15248,502,6056.260732
-1067.184677,1557,6117.637069
-498.804791,1169,6166.677323
-1655.982027,3571,6317.392624
-669.43574,1171,6363.300243
-117.96594,31,6364.457131
-395.260254,1136,6413.31774
-118.623738,32,6414.50122
-117.087272,28,6415.558126
-116.611304,27,6416.544016
-1465.394374,3571,6567.806908
-559.109702,375,6580.971182
-2056.898013,3077,6698.483522
-167.200861,138,6703.957804
-623.397866,527,6723.089899
-117.268097,30,6724.194479
-2403.083849,3571,6863.294133
-169.633393,100,6866.826696
-858.526934,1132,6909.881001
-2450.68586,3571,7049.586483
-2352.436168,3571,7188.460078
-257.972143,230,7196.891416
-1979.546423,2682,7299.251504
-417.314582,440,7316.359133
-455.409311,385,7330.290538
-1693.325405,3571,7475.731001
-228.755235,340,7489.09058
-1726.13759,2303,7578.666334
-872.827553,956,7613.731368
-702.640314,708,7639.541615
-388.539542,663,7666.057425
-2242.198715,3142,7786.240878
-1098.857331,1222,7830.574117
-1801.964968,2345,7919.083237
-912.413878,1034,7957.436383
-2491.412517,3571,8095.61469
-220.342302,169,8101.950442
-669.793809,583,8122.375534
-116.335447,27,8123.283264
-116.8247,28,8124.319005
