#{"t_start": 1595613525.1208909, "env_id": null}
r,l,t
-3642.900622,3571,157.343304
-3071.15276,3571,313.98694
-2886.569438,3571,472.528632
-2505.215647,3571,634.041203
-916.847001,1168,686.119619
-577.637882,414,702.988562
-420.847066,347,717.014421
-292.301687,164,723.160983
-2543.426272,1805,789.551565
-2679.915543,3571,943.865739
-308.703263,247,953.826281
-1068.218415,1050,996.185794
-681.661831,721,1026.469698
-851.457787,1160,1078.83635
-1383.27292,1431,1138.202511
-3497.140153,3571,1285.906657
-2796.519888,3571,1444.113529
-1460.943003,1439,1502.932648
-3640.006427,3571,1651.245829
-3293.917945,3571,1799.479359
-1354.454312,1449,1860.599752
-1333.463212,1427,1921.981999
-3466.842387,3571,2069.199167
-773.464039,756,2100.195957
-668.158747,572,2122.863106
-662.680861,620,2149.31613
-1306.560706,1358,2206.506453
-3187.357027,3435,2350.214226
-2578.381982,2603,2457.078562
-1010.321361,1076,2502.478405
-116.525975,26,2503.576407
-3234.276474,3409,2643.499629
-181.479937,89,2647.032732
-2082.334298,2698,2765.855768
-115.335034,24,2766.851164
-116.337255,26,2768.013232
-114.819141,23,2769.009143
-114.953495,24,2769.990931
-116.206066,26,2771.047414
-117.156119,27,2772.104187
-114.89609,23,2772.978736
-115.361079,27,2774.230226
-114.428501,23,2775.169788
-114.506721,23,2776.126812
-114.337312,23,2777.119799
-114.339292,22,2778.090361
-114.533759,23,2779.047314
-1592.118251,2069,2872.314843
-280.260711,203,2880.449806
-499.450205,454,2900.095078
-116.256202,26,2901.125013
-2563.732434,3010,3030.175208
-629.906854,739,3063.509602
-1267.13419,1461,3125.295877
-2176.755714,3571,3290.43462
-1870.867169,2794,3414.213224
-552.240874,619,3440.559048
-363.524056,3571,3623.484972
-408.527957,347,3637.427672
-607.991785,480,3656.369485
-847.427679,3571,3829.454799
-1651.871062,3571,3993.343652
-599.13704,680,4022.430342
-1087.137577,1405,4084.642621
-672.534802,3571,4259.813743
-348.688711,3571,4440.046558
-1001.250187,3571,4614.826609
-511.802301,3571,4794.619781
-366.064884,309,4807.234879
-1551.50047,2266,4908.242079
-356.968971,301,4920.861756
-121.762567,29,4922.040449
-118.799038,31,4923.290168
-1880.156407,3571,5087.970162
-317.720282,653,5118.71997
-420.856695,297,5130.813731
-116.978003,27,5132.025291
-116.65371,27,5133.147872
-116.04375,25,5134.164142
-115.993984,25,5135.15678
-396.028237,359,5149.975176
-646.739442,1486,5224.809998
-999.286762,3571,5402.384062
-891.851894,3571,5584.732319
-2629.904778,3571,5736.971105
-1415.423907,2452,5850.238576
-874.909201,1853,5935.823013
-1756.190495,2451,6039.318534
-1333.80287,2099,6130.041979
-1173.679554,3571,6299.215829
-322.968835,270,6310.172863
-1708.930087,2979,6442.97507
-1491.014709,3571,6616.453911
-1632.483976,3571,6785.663915
-1325.215298,1454,6846.83175
-2047.880836,3571,7007.798933
-1809.19828,3571,7175.25908
-197.834569,160,7182.064561
-1368.245459,1817,7263.719754
-1832.020288,2446,7371.918796
-918.044525,1101,7417.43685
-484.433287,386,7434.841562
-1199.709263,2597,7568.464801
-1228.365579,2027,7673.462204
-1656.996798,3571,7856.449168
-2018.764738,3571,8036.734867
-1770.234425,3571,8216.557159
-1730.808305,3571,8404.807041
-1222.913499,3571,8606.385087
-997.466653,1219,8665.256578
-1310.243055,3571,8864.19214
-1571.306483,3571,9059.611313
-1009.20816,3571,9262.222963
-1357.809833,3571,9462.230247
-734.787025,3571,9662.56259
-327.175851,520,9690.643708
-753.399716,3571,9903.815414
-242.742086,452,9930.229016
-279.687756,250,9941.650992
-1251.315446,3571,10136.376676
-1682.405453,3571,10327.134829
-1697.361076,3571,10514.04333
-1349.367605,3571,10704.042789
-992.433716,3571,10906.235754
-837.105689,3571,11111.450293
-1024.756689,3571,11308.783024
-1433.801161,3571,11486.529176
-856.248524,3571,11684.520244
-798.374233,1915,11788.552686
-616.586891,1603,11878.066488
-1550.519996,3571,12068.968066
-901.174865,3571,12274.021038
-1069.345846,2077,12379.985655
-711.204807,1329,12451.135707
-733.602266,3571,12665.055309
-511.111873,3571,12847.812197
-1160.932689,3571,13045.303231
-439.95491,417,13064.434833
-118.309041,32,13065.89144
-1313.818607,3571,13264.873059
-313.071923,519,13293.204533
-1281.372828,3571,13491.867981
-834.4181,3571,13701.3262
-116.230463,31,13702.873902
-585.485873,3571,13921.792179
-421.638353,3571,14135.792273
-117.642639,34,14137.309867
-116.642709,33,14138.721236
412.542674,3571,14353.770999
-358.549274,895,14404.45415
-1477.291107,3571,14599.668845
-466.771416,3571,14798.168858
-319.814132,3571,15016.693426
-859.924209,3571,15204.20511
-311.618197,3571,15411.650861
-744.154671,3571,15592.617347
-906.477548,3571,15775.541973
-290.165956,259,15785.830547
-1165.718174,2992,15931.695181
-1060.221641,3571,16119.223872
-115.490939,28,16120.340888
-115.706775,29,16121.504385
-116.067693,31,16122.779361
-115.841531,30,16124.008526
-349.47299,3571,16316.89838
-115.642182,29,16317.961651
-706.326473,3571,16495.800504
-1305.11975,3571,16667.242324
-1299.916736,3571,16842.362993
-548.379112,3571,17029.033756
-666.390952,857,17067.423666
-842.456998,3571,17242.481676
-565.321347,3571,17427.369783
-499.776114,3571,17612.516098
-531.737102,3571,17794.413957
-1750.028632,2821,17920.735525
-5.528915,3571,18104.121675
-1185.043808,3571,18277.283411
-318.967446,3571,18467.884256
-1284.291096,3571,18638.928924
-1410.052938,3571,18811.389433
-391.557463,3571,18994.666322
-421.836662,3571,19171.665099
-381.457431,3571,19348.045444
-849.189655,3571,19518.674347
-824.404222,996,19558.10071
-494.419105,3571,19734.248328
-464.76893,3571,19911.600562
-558.869759,3571,20083.587945
-1370.466885,3571,20238.684903
-325.922098,242,20247.288689
-1879.517163,3571,20398.132212
-1585.041976,3032,20528.257892
-583.718193,616,20552.047509
-245.563612,192,20559.141324
-591.472356,3571,20726.98848
-2289.544771,3571,20873.139738
-1316.905967,3571,21030.683928
-1173.292832,3571,21182.060852
-776.696842,3571,21336.741283
-35.600348,3571,21506.325393
-1108.491097,3571,21670.158146
-777.295238,1147,21718.618778
-205.628838,3571,21891.724226
-1212.97413,3571,22050.473688
-187.153346,3571,22222.22853
-2005.16097,3571,22374.732082
-915.560141,3571,22539.230778
-101.571455,3571,22713.039308
-205.342217,3571,22889.893602
-417.770557,3571,23057.558167
-184.904604,142,23063.104962
-808.63957,3571,23225.011679
-1328.984892,3393,23373.246794
-138.416602,65,23375.698042
-2266.437409,2718,23485.573281
-699.16524,3571,23648.350016
-670.227122,649,23673.501415
-452.580478,3571,23836.938481
-212.84327,3571,24004.480851
-995.836186,3571,24168.788338
-824.702097,3571,24339.058205
-325.497899,3571,24505.376575
-237.230399,3571,24665.859039
-1294.430093,3571,24826.474141
1842.086419,3571,25004.509612
-209.739672,3571,25170.092062
-410.06397,605,25196.370543
-480.131109,3571,25354.242996
-512.970958,625,25379.688273
-318.989971,3571,25561.006546
-744.25332,2060,25650.975464
-248.222468,3571,25818.736236
-1074.458348,3571,25977.09262
70.591259,3571,26148.67204
-257.498278,3571,26316.574042
-839.533504,2943,26441.965208
-828.966463,3571,26600.298612
-81.489865,3571,26765.592898
-366.347245,3571,26931.979272
-31.26032,3571,27101.510319
-531.030351,3571,27275.890942
-394.965869,3571,27440.91604
-205.816999,3571,27601.563369
-118.33836,35,27602.922884
232.634503,3571,27774.665917
-681.445432,3571,27931.807155
-39.957828,3571,28096.185318
-328.249875,3571,28256.066846
-350.774997,3571,28424.366648
-376.718508,3571,28586.866832
-1026.69719,3571,28743.449594
-1048.349962,1563,28810.037038
-305.507273,3571,28976.025094
-1313.345117,3571,29137.119435
-955.258698,3571,29302.8775
-681.008135,3571,29463.364775
-509.428884,3571,29625.420106
-1150.910487,3410,29774.129958
-112.41113,3571,29938.378598
-262.319959,3571,30101.257194
1511.581496,3571,30274.725669
-216.054309,3571,30440.033503
-436.641035,3571,30615.511219
