#{"t_start": 1595797206.4221687, "env_id": null}
r,l,t
-4131.391384,3571,126.232863
-2732.676978,3571,253.211924
-2649.887564,3571,378.753742
-3489.189925,3523,496.929659
-1788.622221,1680,553.303166
-394.960754,256,561.345246
-1973.135805,1814,623.828454
-592.648722,336,634.703511
-661.442144,496,651.920056
-722.800614,763,678.701923
-302.687323,176,684.343837
-275.180198,207,691.358448
-303.982676,165,696.741083
-266.972272,162,702.215524
-709.693905,489,717.68364
-1693.663881,1489,767.443043
-421.146517,426,782.130875
-1807.221127,1642,837.290866
-2064.425292,1820,897.801028
-1149.817287,959,929.229108
-718.194296,752,955.408161
-701.413952,456,970.485257
-211.44339,117,974.415895
-932.568175,917,1005.67478
-359.450085,207,1012.53052
-748.064084,558,1030.786475
-255.113432,189,1037.24811
-1261.952683,1001,1069.921585
-787.240914,1066,1108.355154
-2736.403246,2565,1196.913998
-258.33612,235,1205.222796
-1199.327746,1289,1250.109002
-440.85657,456,1267.038403
-728.85261,714,1290.971651
-3525.942311,3571,1412.264391
-376.752822,415,1426.283258
-1421.762547,1311,1467.995344
-853.28429,685,1489.374759
-3536.148322,3264,1593.865877
-1738.74382,1666,1648.250704
-318.050918,208,1654.877619
-1251.811929,1131,1692.006747
-117.019852,27,1692.896909
-320.135843,234,1700.657686
-294.978812,190,1706.575791
-1198.787901,1012,1739.20346
-3481.48987,3571,1852.591702
-765.164836,594,1871.092628
-850.356233,748,1894.537711
-499.517535,266,1902.817476
-666.176935,727,1926.217625
-722.257208,583,1944.59056
-683.696018,795,1970.726329
-285.69166,244,1978.580759
-2755.019416,3286,2085.700958
-2147.937642,2356,2159.352908
-277.762173,205,2165.511663
-116.661832,26,2166.419042
-116.462803,26,2167.262841
-116.199889,26,2168.039643
-601.883052,607,2187.628927
-336.639769,229,2194.625447
-117.405336,29,2195.617587
-2549.133259,2682,2278.151744
-292.051339,190,2283.465806
-381.858483,225,2290.069614
-117.320134,27,2290.862928
-1308.015585,991,2319.649795
-1400.039003,1627,2369.158776
-116.105783,26,2370.021202
-116.442278,26,2370.799285
-116.532331,26,2371.565032
-116.391047,26,2372.349696
-116.525188,26,2373.245834
-116.431961,26,2374.096837
-117.375879,27,2374.989008
-379.891391,229,2381.949003
-374.372108,320,2391.50366
-116.634637,26,2392.329787
-117.26138,27,2393.195079
-116.670411,26,2394.034636
-116.978895,27,2394.881372
-117.022446,26,2395.714674
-117.25514,28,2396.607944
-116.447874,26,2397.408579
-116.553432,26,2398.200875
-116.58263,26,2398.98106
-116.709208,27,2399.847872
-117.121492,26,2400.641716
-116.541724,26,2401.495025
-116.716447,27,2402.343193
-117.019264,26,2403.148564
-116.544444,26,2403.938322
-116.477167,26,2404.747378
-694.225262,583,2421.805509
-116.512471,26,2422.618427
-116.700045,27,2423.547626
-116.909454,27,2424.469822
-116.619283,26,2425.231179
-116.896785,27,2426.025876
-116.558918,26,2426.762394
-116.536592,26,2427.489978
-116.456137,26,2428.241392
-116.417929,26,2429.09593
-116.749688,26,2429.962283
-116.532524,26,2430.779888
-116.780354,26,2431.596487
-116.476203,26,2432.386256
-116.293148,25,2433.154057
-116.528651,26,2433.963683
-116.67533,26,2434.724476
-116.515544,26,2435.555849
-116.924228,27,2436.428797
-116.514601,25,2437.152374
-116.24642,25,2437.943335
-116.590783,26,2438.719163
-116.227349,25,2439.478853
-116.464638,26,2440.24595
-116.098404,26,2440.976976
-116.471899,25,2441.674338
-2721.443462,3027,2529.027097
-116.557534,26,2529.753799
-116.503973,26,2530.532304
-116.539186,26,2531.24039
-116.891431,27,2532.002268
-117.401061,27,2532.746475
-116.801664,27,2533.615485
-117.720637,29,2534.463389
-116.498274,26,2535.194545
-116.443221,26,2535.992156
-117.429384,27,2536.734059
-116.539976,26,2537.462404
-116.610526,27,2538.26579
-116.482909,26,2539.028776
-115.986469,25,2539.758418
-116.592349,26,2540.491687
-116.586148,27,2541.288649
-116.453394,26,2542.034192
-117.241881,27,2542.903574
-116.720024,26,2543.631555
-364.292127,342,2553.750173
-117.356571,28,2554.557931
-116.826155,26,2555.269621
-117.504223,28,2556.107084
-116.729146,25,2556.808383
-117.149477,27,2557.571695
-117.423728,28,2558.399247
-116.596083,26,2559.178812
-117.008516,26,2559.914376
-117.802506,26,2560.632545
-117.418673,27,2561.446969
-116.790851,27,2562.189193
-116.545016,26,2562.939654
-116.736523,26,2563.700752
-116.933089,26,2564.414523
