#{"t_start": 1595569722.9309192, "env_id": null}
r,l,t
-3964.607623,3571,34.481293
-3980.785981,3571,64.952133
-4009.142453,3571,98.671726
-4394.93538,3571,132.505713
-4176.50701,3571,166.938338
-4208.440078,3571,199.386372
-4003.334286,3571,232.926839
-4271.786712,3571,265.696782
-5051.636973,3571,297.698777
-3946.16837,3571,330.981197
-3854.159207,3571,364.300913
-4361.800906,3571,397.053494
-3414.417307,3571,432.123237
-4146.345371,3571,465.537231
-870.723371,650,474.622998
-1993.914142,2852,511.452354
-1466.859843,3571,555.976549
-909.46066,1345,573.7872
-1513.251638,3571,615.80554
-989.985021,1545,633.706861
-990.49533,1546,651.653367
-925.151642,1428,669.096687
-925.151642,1428,685.705753
-1143.44142,1854,707.298465
-1190.631624,1969,731.372516
-1190.631624,1969,755.274154
-1190.631624,1969,778.235209
-1190.631624,1969,801.744762
-1190.631624,1969,825.716528
-1190.631624,1969,848.549466
-1190.631624,1969,871.855783
-1190.631624,1969,895.837546
-1190.631624,1969,919.714165
-1190.631624,1969,942.765625
-1190.631624,1969,966.243811
-1190.631624,1969,989.184142
-1190.631624,1969,1012.135022
-1190.631624,1969,1036.587057
-1190.631624,1969,1060.610983
-1190.631624,1969,1084.471894
-1190.631624,1969,1108.161168
-1190.631624,1969,1132.928207
-1190.631624,1969,1156.176809
-1190.631624,1969,1180.801924
-1190.631624,1969,1205.034499
-1190.631624,1969,1229.148796
-1190.631624,1969,1253.088999
-1190.631624,1969,1276.795581
-1190.631624,1969,1300.970639
-1190.631624,1969,1324.094093
-1190.631624,1969,1348.321614
-1190.631624,1969,1371.562429
-1190.631624,1969,1394.963179
-1190.631624,1969,1418.906225
-1190.631624,1969,1443.27363
-1190.631624,1969,1467.096267
-1190.631624,1969,1491.578262
-1190.631624,1969,1516.195175
-1190.631624,1969,1539.985559
-1190.631624,1969,1563.674704
-1190.631624,1969,1588.085915
-1190.631624,1969,1611.782193
-1190.631624,1969,1635.172403
-1190.631624,1969,1658.933415
-1190.631624,1969,1683.234567
-1190.631624,1969,1706.803352
-1190.631624,1969,1730.373687
-1190.631624,1969,1754.136149
-1190.631624,1969,1777.615462
-1190.631624,1969,1800.635554
-1190.631624,1969,1824.420654
-1190.631624,1969,1847.781343
-1190.631624,1969,1871.960073
-1190.631624,1969,1895.826061
-1190.631624,1969,1919.364291
-1190.631624,1969,1942.972645
-1190.631624,1969,1966.594229
-1190.631624,1969,1990.521705
-1190.631624,1969,2013.50139
-1190.631624,1969,2037.441141
-1190.631624,1969,2061.787222
-1190.631624,1969,2085.499569
-1190.631624,1969,2110.531662
-1190.631624,1969,2133.795621
-1190.631624,1969,2157.692267
-1190.631624,1969,2181.445326
-1190.631624,1969,2205.633062
-1190.631624,1969,2229.152192
-1190.631624,1969,2252.957292
-1190.631624,1969,2276.914339
-1190.631624,1969,2301.194631
-1190.631624,1969,2325.485541
-1190.631624,1969,2350.072181
-1190.631624,1969,2373.295687
-1190.631624,1969,2395.517497
-1190.631624,1969,2419.885747
-1190.631624,1969,2445.026371
-1190.631624,1969,2469.445177
-1190.631624,1969,2493.556788
-1190.631624,1969,2517.523638
-1190.631624,1969,2540.401906
-1190.631624,1969,2564.338419
-1190.631624,1969,2588.732582
-1190.631624,1969,2612.639242
-1190.631624,1969,2635.897782
-1190.631624,1969,2659.934036
-1190.631624,1969,2683.678725
-1190.631624,1969,2707.063975
-1190.631624,1969,2730.647619
-1190.631624,1969,2754.764392
-1190.631624,1969,2778.238872
-1190.631624,1969,2801.980792
-1190.631624,1969,2825.520748
-1190.631624,1969,2849.205351
-1190.631624,1969,2872.90824
-1190.631624,1969,2896.834289
-1190.631624,1969,2919.985566
-1190.631624,1969,2943.655758
-1190.631624,1969,2967.734727
-1190.631624,1969,2990.703918
-1190.631624,1969,3014.859258
-1190.631624,1969,3039.523564
-1190.631624,1969,3063.244408
-1190.631624,1969,3086.696039
-1190.631624,1969,3110.073613
-1190.631624,1969,3134.525897
-1190.631624,1969,3158.394363
-1190.631624,1969,3182.324652
-1190.631624,1969,3206.698129
-1190.631624,1969,3229.779666
-1190.631624,1969,3253.773736
-1190.631624,1969,3277.285911
-1190.631624,1969,3301.778813
-1190.631624,1969,3325.702267
-1190.631624,1969,3350.472824
-1190.631624,1969,3374.706253
-1190.631624,1969,3398.035737
-1190.631624,1969,3421.760945
-1190.631624,1969,3444.418344
-1190.631624,1969,3467.745135
-1190.631624,1969,3491.5762
-1190.631624,1969,3515.493888
-1190.631624,1969,3539.309693
-1190.631624,1969,3562.492366
-1190.631624,1969,3587.591303
-1190.631624,1969,3611.40652
-1190.631624,1969,3634.566164
-1190.631624,1969,3657.974893
-1190.631624,1969,3682.317523
-1190.631624,1969,3705.365649
-1190.631624,1969,3728.965499
-1190.631624,1969,3753.056982
-1190.631624,1969,3776.739654
-1190.631624,1969,3800.505604
-1190.631624,1969,3823.452245
-1190.631624,1969,3847.653612
-1190.631624,1969,3871.991045
-1190.631624,1969,3896.001363
-1190.631624,1969,3918.585926
-1190.631624,1969,3942.470315
-1190.631624,1969,3966.055012
-1190.631624,1969,3989.983011
-1190.631624,1969,4013.570051
-1190.631624,1969,4037.742908
-1190.631624,1969,4060.861259
-1190.631624,1969,4082.988014
-1190.631624,1969,4107.39109
-1190.631624,1969,4131.440265
-1190.631624,1969,4154.533531
-1190.631624,1969,4178.931607
-1190.631624,1969,4203.324939
-1190.631624,1969,4226.975932
-1190.631624,1969,4251.618258
-1190.631624,1969,4274.986462
-1190.631624,1969,4298.336913
-1190.631624,1969,4321.676972
-1190.631624,1969,4345.611046
-1190.631624,1969,4368.741611
-1190.631624,1969,4392.006422
-1190.631624,1969,4416.23255
-1190.631624,1969,4440.353677
-1190.631624,1969,4463.450773
-1190.631624,1969,4486.751529
-1190.631624,1969,4511.04556
-1190.631624,1969,4534.34656
-1190.631624,1969,4557.670291
-1190.631624,1969,4580.825778
-1190.631624,1969,4604.498869
-1190.631624,1969,4628.288096
-1190.631624,1969,4651.848033
-1190.631624,1969,4675.744559
-1190.631624,1969,4699.330084
-1190.631624,1969,4723.223182
-1190.631624,1969,4746.792502
-1190.631624,1969,4770.258762
-1190.631624,1969,4794.183076
-1190.631624,1969,4817.788309
-1190.631624,1969,4841.539881
-1190.631624,1969,4865.771353
-1190.631624,1969,4890.233124
-1190.631624,1969,4913.432695
-1190.631624,1969,4937.045216
-1190.631624,1969,4960.214991
-1190.631624,1969,4983.751935
-1190.631624,1969,5007.390383
-1190.631624,1969,5030.77601
-1190.631624,1969,5055.385118
-1190.631624,1969,5079.417428
-1190.631624,1969,5103.210295
-1190.631624,1969,5126.947974
