#{"t_start": 1595618117.4024196, "env_id": null}
r,l,t
-3503.514609,3571,132.573012
-3850.725073,3571,261.648872
-4654.981278,3571,384.591574
-4410.789978,3571,509.931122
-4279.751553,3571,636.028261
-4837.458265,3571,758.417595
-4372.784349,3571,883.322825
-4886.24768,3571,1005.817229
-4371.590113,3571,1130.526334
-4200.089288,3571,1254.361145
-4480.75196,3571,1377.784544
-4396.749365,3571,1500.304765
-4044.794528,3571,1626.192683
-4461.948177,3571,1751.567683
-334.877515,191,1757.37276
-211.740036,77,1759.734667
-227.479768,101,1762.739994
-477.535437,340,1773.350234
-1010.523234,595,1788.801015
-148.509316,57,1790.905361
-144.563175,54,1792.952787
-390.348632,233,1799.77848
-140.759903,50,1801.117601
-140.23786,50,1803.002147
-142.45469,53,1804.446778
-157.702935,76,1806.938124
-490.423472,405,1820.938691
-323.536284,193,1827.547868
-675.85415,618,1847.59716
-131.372367,35,1849.022427
-876.636555,559,1866.444366
-563.031185,339,1877.255692
-334.264055,178,1882.13636
-116.991616,25,1883.217659
-116.991616,25,1883.830893
-116.991616,25,1884.478329
-116.991616,25,1885.121472
-115.739521,23,1886.179639
-115.768509,23,1886.734413
-115.768509,23,1887.341398
-115.768509,23,1887.906251
-362.012829,207,1893.604132
-574.803187,293,1902.202759
-556.912711,362,1914.138958
-415.282069,285,1923.283032
-1251.764263,1106,1958.904978
-392.594287,264,1967.922859
-668.740723,468,1984.462242
-540.059233,303,1992.78047
-375.558258,275,2002.962113
-533.610934,319,2013.126676
-469.819891,312,2023.579845
-784.982558,680,2046.312373
-2701.846947,2790,2143.764219
-1369.534616,1346,2188.884814
-946.961769,780,2214.946189
-381.627262,329,2226.962238
-846.481962,772,2254.127812
-441.137627,405,2269.259577
-3143.380858,3571,2400.035217
-300.226433,265,2409.940557
-3760.179204,3571,2529.748185
-3913.973839,3571,2649.693769
-2009.86249,1800,2712.071118
-2733.156652,2845,2814.320968
-2935.066596,3571,2958.305751
-1425.923605,1216,3005.784097
-699.589701,535,3026.591847
-357.195394,244,3036.064858
-1754.202394,3571,3220.529802
-691.194059,567,3242.481184
-3911.705764,3571,3374.915762
-1027.073733,1013,3414.1262
-2742.336666,2585,3515.848648
-1523.531009,1575,3582.096294
-564.627046,428,3598.25971
-3128.540097,3571,3747.199996
-1224.077991,1111,3789.835675
-806.497756,649,3815.53785
-384.57745,256,3824.708608
-588.116774,548,3846.430015
-945.087276,832,3879.841593
-700.982873,524,3900.525212
-1870.382774,1705,3964.663658
-677.906734,461,3981.598132
-429.223533,283,3992.353711
-791.485931,564,4013.010667
-624.950328,516,4033.776744
-262.615815,169,4039.660722
-882.831827,760,4068.34459
-473.152037,377,4082.578256
-1416.789071,1017,4118.90209
-392.466638,304,4131.537016
-191.637641,91,4135.018204
-871.607918,746,4162.578877
-877.926166,773,4193.171236
-396.937939,234,4201.840398
-852.548513,659,4226.947393
-1496.897974,1284,4275.775745
-1195.782771,1015,4314.032815
-495.977698,409,4330.757359
-731.521562,575,4353.161793
-574.262046,493,4372.777682
-2152.81483,1899,4446.478214
-1415.937104,1357,4499.217586
-190.749371,107,4503.862867
-518.452831,383,4518.391891
-217.227587,112,4522.641798
-1542.074862,1251,4569.812135
-250.588177,171,4576.30291
-928.782287,781,4605.709419
-158.964732,89,4609.40105
-2202.081485,1936,4681.557361
-1151.578158,957,4717.759833
-450.888695,353,4730.706809
-1920.095323,1689,4793.721737
-1331.483617,1133,4835.500472
-1202.233534,1127,4878.634961
-540.377944,463,4895.900862
-384.602292,300,4907.09331
-1460.519233,1411,4961.020056
-599.143773,425,4977.032384
-302.556176,239,4985.760502
-314.446699,207,4992.941513
-791.771095,772,5022.104639
-610.7195,456,5039.08509
-2770.033328,2501,5136.105598
-450.562939,414,5152.047228
-1972.752118,1853,5221.162162
-460.181283,332,5233.529261
-382.287865,353,5247.652695
-2060.672521,1775,5314.213679
-631.356032,570,5336.63987
-885.252338,707,5363.246142
-2674.870491,3291,5505.650091
-461.531265,333,5517.487248
-667.598472,811,5551.72774
-346.126226,314,5564.193548
-2536.250291,2438,5656.219121
-495.679138,301,5667.333488
-2462.202716,2588,5769.476336
-791.986265,795,5801.793068
-489.943783,415,5817.96775
-2748.483079,3571,5969.346569
-266.288172,138,5974.928144
-322.12904,215,5983.071476
-939.49548,879,6018.06642
-388.350985,341,6030.970267
-418.921772,274,6041.672243
-354.772952,271,6052.695896
-168.780681,125,6057.739077
-328.768751,264,6068.872325
-941.995595,1079,6112.877131
-232.03211,158,6119.275586
-2076.224245,1776,6186.69868
-590.29284,855,6226.027404
-2162.763465,2141,6308.649029
-603.078926,488,6326.282609
-404.811012,353,6340.677053
-587.398053,554,6363.911956
-2359.96137,2436,6457.687793
-298.075282,213,6466.347524
-652.353396,577,6489.672292
-717.211148,702,6516.379773
-1040.127664,948,6553.112706
-262.621626,249,6563.556323
-370.721687,271,6574.482466
-398.898443,436,6592.570915
-1345.144012,1261,6640.06669
-727.695817,1061,6686.726778
-1501.657433,3571,6844.545256
-241.019245,121,6848.979922
-1218.154684,1315,6899.676471
-1477.436451,1357,6949.665923
-960.192444,829,6980.756744
-2508.366216,2940,7099.251723
-552.361316,482,7118.72475
-2161.849704,1984,7198.856332
-3736.381147,3571,7337.510061
-479.618633,276,7347.375595
-916.557262,828,7381.27279
-842.650844,1119,7431.090367
-880.443657,796,7464.160155
-329.80152,213,7472.609779
-1104.687266,966,7513.372231
-1217.637723,1157,7560.847596
-2732.633596,2440,7654.732886
-956.572063,741,7683.380949
-536.961171,791,7719.356589
-399.572465,313,7731.539965
-1430.726747,1410,7789.533499
-1468.895539,1766,7864.128803
-345.709458,243,7873.436049
-1284.205662,1753,7954.17473
-409.993658,352,7967.953829
-774.821814,581,7990.543579
-1341.452667,1318,8044.72296
-325.033498,344,8060.472547
-624.890451,375,8074.097062
-2744.174094,2622,8173.509721
-924.277481,844,8207.326032
-904.529642,703,8235.456742
-255.830536,125,8240.730229
-1506.80543,1251,8288.390941
-770.858565,710,8317.075027
-212.082945,174,8324.609386
-448.207729,307,8335.932589
-439.620727,278,8346.399871
-404.178835,237,8355.136455
-586.393216,434,8371.300676
-587.403555,432,8387.81969
-667.937952,503,8406.361731
-1403.823795,1189,8449.323756
-541.037878,355,8461.845109
-737.250496,665,8489.451701
-320.272249,201,8497.11598
-356.910317,303,8509.78485
-523.517843,442,8526.608199
-1223.272417,1071,8568.207217
-322.004046,203,8576.587142
-438.996272,290,8587.830653
-1064.529417,961,8624.641807
-1595.787882,1566,8688.391877
-614.903929,377,8702.808835
-868.801148,680,8729.849463
-313.16902,239,8738.963124
-1812.946817,1593,8800.310625
-250.140287,115,8804.164648
