#{"t_start": 1595830257.7383392, "env_id": null}
r,l,t
-4247.913437,3571,87.293557
-3716.205204,3571,164.740679
-4360.660372,3571,241.668619
-4616.296717,3571,316.754542
-2503.781652,3571,400.662425
-4764.098906,3571,476.711022
-5379.683022,3571,552.373308
-4063.233129,3571,629.455742
-5154.37784,3571,700.778755
-3763.134661,3571,780.956379
-3453.283561,3571,859.561139
-4387.091847,3571,934.222295
-3345.972296,3571,1019.768789
-5224.022708,3571,1098.99525
-513.352942,319,1107.826879
-501.276786,325,1115.776377
-470.688573,320,1123.967807
-474.750212,292,1131.392885
-675.46333,533,1147.400452
-462.369046,248,1154.387446
-951.708001,970,1183.708777
-310.081671,294,1192.752582
-594.312168,402,1204.332181
-376.963574,228,1211.904162
-888.228543,737,1232.311457
-119.229188,39,1233.470155
-221.099615,97,1236.071424
-393.448412,213,1241.842842
-219.484598,98,1244.802525
-242.45709,115,1247.722064
-220.248235,93,1250.543794
-246.387721,250,1258.60997
-937.929562,636,1274.486004
-171.095039,80,1276.204992
-173.392614,79,1278.277689
-274.548801,168,1282.974519
-253.426246,151,1286.469081
-191.475719,76,1288.714575
-510.485667,276,1295.501873
-228.662857,100,1298.128619
-495.219502,268,1304.451797
-1341.733953,955,1330.889696
-162.10941,82,1333.18405
-2346.273806,2011,1387.430375
-406.322313,278,1395.055872
-1009.199359,785,1416.754519
-1290.164959,1073,1446.821049
-373.182619,204,1453.105933
-886.002706,816,1477.53476
-1667.108671,1271,1512.871733
-751.608275,672,1532.318727
-1716.939545,1744,1585.182677
-530.478268,416,1598.048282
-1014.617103,938,1625.690284
-911.078764,702,1645.871289
-404.911819,284,1653.963896
-318.826012,181,1659.028016
-800.959187,802,1683.771699
-1921.178215,1641,1731.632957
-3006.66807,2718,1809.19592
-3083.562257,2812,1890.042569
-1398.930023,1159,1921.717488
-169.801502,91,1924.351296
-1065.748056,866,1948.308726
-497.280161,308,1956.231896
-974.517601,801,1978.415263
-354.931061,270,1985.999437
-2102.135155,1996,2044.600337
-641.657311,502,2059.262155
-750.018354,638,2078.436457
-1128.733937,920,2105.366513
-1029.895396,1014,2134.550795
-1653.308392,1538,2179.376141
-3330.023888,3425,2282.978212
-273.107976,198,2288.980511
-1323.342812,1409,2330.332488
-1056.195588,1397,2373.171753
-1056.355593,1067,2406.634122
-1304.896961,1075,2438.570349
-950.65343,889,2465.540148
-314.665333,251,2472.886058
-469.718949,401,2484.319095
-521.459212,519,2500.495547
-478.754658,667,2522.385013
-963.293582,937,2551.470277
-139.647426,95,2554.876522
-377.092489,378,2566.451091
-177.231828,174,2573.035595
-937.762239,847,2598.028452
-384.74541,409,2611.002637
-1293.251251,1314,2648.8652
-118.584443,34,2649.824624
-118.58629,34,2651.177005
-268.304607,145,2655.247195
-118.723809,33,2656.116696
-118.844093,34,2657.481057
-1325.96507,1455,2701.692666
-297.901177,281,2711.129009
-118.590234,34,2712.135805
-245.720456,140,2716.645803
-603.437827,586,2734.071189
-435.025477,459,2748.698635
-227.728148,151,2753.388299
-1136.0835,985,2783.605969
-1542.01555,1653,2833.930622
-2481.655103,2628,2912.000155
-1793.396751,1661,2960.715578
-118.299286,29,2961.573113
-118.229057,29,2962.826959
-368.441505,229,2969.601235
-659.171229,850,2996.28491
-543.785212,472,3010.165499
-2410.548098,2276,3079.556879
-240.69849,302,3089.277356
-1240.794815,1094,3121.867175
-337.24003,236,3128.509633
-116.566359,26,3129.199346
-747.597764,751,3153.47196
-1490.064972,1488,3199.03938
-125.683748,39,3199.91155
-125.543029,38,3201.324157
-994.466617,887,3225.794895
-1464.215215,1487,3271.537734
-1549.530426,1409,3312.675582
-1377.798601,1303,3350.947108
-1485.675706,1642,3400.14254
-410.646963,321,3409.626004
-333.719656,260,3418.248289
-118.378907,31,3418.983863
-118.378907,31,3419.741982
-118.353142,31,3421.084256
-119.653325,34,3421.877635
-119.653325,34,3422.749352
-119.513178,33,3424.120845
-459.776476,590,3443.966104
-128.991466,46,3445.328829
-128.991466,46,3446.598015
-366.101504,405,3459.841638
-848.805755,1141,3497.15793
-323.944118,257,3504.602311
-1323.480265,1333,3546.378515
-2525.437851,2204,3608.900359
-649.875207,537,3625.281066
-205.822663,303,3635.945597
-117.098361,26,3637.176094
-576.20771,399,3648.475977
-117.958672,28,3649.253002
-117.958672,28,3649.964936
-117.958672,28,3650.730792
-117.526315,27,3651.866877
-116.925054,26,3652.530268
-116.925054,26,3653.195547
-116.925054,26,3653.925734
-542.764672,382,3665.130594
-118.660346,31,3666.493021
-117.461756,27,3667.197648
-117.461756,27,3667.985383
-117.461756,27,3668.736505
-393.012209,382,3681.163628
-406.710319,274,3689.46585
-543.167751,407,3701.439758
-118.409791,29,3702.204158
