#{"t_start": 1595569184.4163148, "env_id": null}
r,l,t
-4687.159594,3571,56.602267
-4774.395945,3571,110.575582
-4401.730045,3571,161.329043
-4056.747017,3571,212.741332
-4124.087354,3571,267.030635
-3022.564727,3571,321.684113
-3504.578685,3571,374.848812
-4173.14227,3571,428.378551
-3423.163802,3571,491.45252
-3204.998155,3571,555.252617
-3734.316697,3571,622.470808
-4168.633438,3571,693.919369
-3701.569697,3571,766.484734
-2807.194683,3571,846.15972
-2696.641702,3571,926.821834
-3192.314621,3571,1004.332493
-3323.591821,3571,1084.629789
-2920.685679,3571,1167.660636
-2739.368754,3571,1249.713331
-2529.438171,3571,1330.448194
-3066.436734,3571,1411.391977
-2283.585038,3571,1498.871004
-2343.116369,3571,1585.139402
-2664.028177,3571,1670.005807
-1791.51567,3571,1760.139236
-2326.063813,3571,1848.355272
-2424.193531,3571,1937.767995
-1659.17857,3571,2030.443849
-1392.682016,3571,2122.491174
-1472.22404,3571,2217.229845
-1765.481084,3571,2304.566522
-1093.140272,3571,2402.569622
-1443.823875,3571,2493.957845
-1640.277272,3571,2585.045945
-1594.487835,3571,2675.492484
-1369.550696,3571,2771.764174
-1536.228977,3571,2866.735803
-1713.138609,3571,2957.435681
-1111.830457,3571,3051.414307
-1653.931503,3571,3138.875016
-1222.809434,3571,3233.747984
-1388.506055,3571,3327.752183
-855.581302,3571,3420.533462
-940.054628,3571,3517.915148
-1260.407038,3571,3612.962205
-1228.535307,3571,3707.630552
-2197.31287,3571,3795.406347
-118.559415,30,3796.106567
-2570.974778,3571,3884.608535
-1619.798625,3571,3976.942652
-1976.896876,3571,4065.921839
-2721.925076,3571,4146.936038
-2928.422033,3571,4229.433671
-3214.616979,3571,4309.172891
-2488.066198,3571,4395.006111
-1688.61815,1722,4435.00256
-1895.243176,3571,4522.122072
-1072.874536,1313,4554.116184
-1815.303962,3571,4642.686779
-2117.674194,3571,4731.656394
-1286.466419,3571,4824.220137
-1384.15843,2850,4897.606717
-1079.36928,3571,4989.735524
-1190.481841,3571,5078.946301
-972.560934,3571,5174.695889
-741.981284,3571,5277.364419
-2285.142463,3571,5363.362929
-467.189836,1421,5403.249779
-568.663551,3571,5499.134527
-1863.678056,3571,5588.814791
-1302.271106,3571,5684.871562
-778.871558,3571,5781.87073
-629.472545,3571,5882.352832
-516.376622,3571,5977.649701
-538.71852,3571,6072.42867
-580.074258,3571,6171.90606
-367.015849,3571,6270.659176
-480.822478,3571,6368.767888
-640.259317,3571,6467.50065
-704.61884,3571,6568.701447
-386.9314,3571,6668.732106
-526.080482,3571,6767.473267
-368.99632,3571,6865.681382
-636.435596,3571,6965.249977
-397.571397,3571,7064.541703
-519.829652,3571,7159.959677
32.84734,3571,7262.709441
-222.003563,3571,7364.605132
717.381214,3571,7466.480799
-201.940483,3571,7564.265874
-169.762656,3571,7660.233529
-270.13833,3571,7755.093849
-62.095907,3571,7858.002183
-724.740616,3571,7954.700869
-261.467425,3571,8054.626395
-437.046722,3571,8152.663347
-21.91562,3571,8254.817507
-772.336134,3571,8356.671279
-326.155116,3571,8457.623598
-639.647855,3571,8554.23421
-407.759007,3571,8654.830983
-374.961014,3571,8753.043158
-383.47025,3571,8848.901747
924.268755,3571,8950.12659
-531.740442,3571,9048.84797
464.911847,3571,9152.549597
1372.772456,3571,9254.763933
-367.970266,3571,9350.076857
-348.624418,3571,9450.243914
-872.370687,3571,9541.012798
-295.52671,3571,9643.548945
-565.122978,3571,9745.286831
2457.997309,3571,9847.593176
-632.296732,3571,9953.469905
-426.673289,3571,10053.687116
-252.529674,3571,10154.241662
-551.876317,3571,10255.801104
-448.699868,3571,10352.121847
-284.138413,3571,10454.863338
-661.896655,3571,10559.340745
-327.279038,3571,10658.230027
-494.349086,3571,10758.118893
68.647944,3571,10862.155974
58.795478,3571,10969.652822
-618.741046,3571,11075.044253
59.968624,3571,11179.932152
-479.842628,3571,11275.481699
2324.63433,3571,11375.246232
2665.380313,3571,11476.059587
461.013828,3571,11571.253405
708.722529,3571,11670.710116
-0.24881,3571,11768.847953
-333.883407,3571,11864.262453
2394.075445,3571,11965.316556
2767.962785,3571,12062.370385
-404.650708,3571,12156.902078
-596.283169,3571,12255.54396
48.232861,3571,12358.688949
-617.782977,3571,12459.097062
-535.130344,3571,12550.940138
1885.341172,3571,12641.816947
11.70334,3571,12740.126197
-418.963959,3571,12831.767522
-494.666725,3571,12924.310443
-169.745953,3571,13019.343992
2427.101344,3571,13112.482651
481.399163,3571,13209.605247
-584.134113,3571,13296.504617
-323.680892,3571,13384.821488
84.275641,3571,13481.705923
-608.335736,3571,13580.062868
-119.651018,31,13580.825802
2525.601029,3571,13676.552738
-148.989533,3571,13772.107303
815.385985,3571,13868.735456
-386.401196,3571,13951.586703
1721.888703,3571,14047.400007
-89.858057,3571,14137.918481
2248.819849,3571,14224.058769
2765.600669,3571,14316.558286
2888.727922,3571,14411.789292
349.761522,3571,14504.737805
-578.936989,3571,14596.320747
3244.704224,3571,14689.464324
57.500879,3571,14778.697635
613.305102,3571,14871.416414
3206.024699,3571,14956.712506
542.384147,3571,15046.648495
-271.21015,3571,15129.618026
489.065593,3571,15222.920161
215.91172,3571,15317.258996
1900.219919,3571,15407.848022
220.64893,3571,15497.322885
482.456608,3571,15585.231355
3701.140772,3571,15677.938559
3537.013919,3571,15768.673402
8.627252,3571,15860.076934
3560.107316,3571,15952.340378
471.430102,3571,16047.349562
3433.715756,3571,16136.014867
3776.781819,3571,16227.577855
744.747339,3571,16318.041924
-200.455772,3571,16406.220782
4203.942058,3571,16500.149664
1092.936333,3571,16592.328521
273.324806,3571,16685.749427
-9.107606,3571,16775.59607
-3.991387,3571,16866.954069
681.66444,3571,16956.68375
3294.328936,3571,17047.473688
3971.233335,3571,17140.177127
-384.824595,3571,17223.015985
272.526098,3571,17311.038673
3143.001887,3571,17403.297687
3835.755072,3571,17493.789198
1176.456315,3571,17585.14946
-526.457813,3571,17678.658809
-274.1912,3571,17766.386567
-94.814429,3571,17860.467798
4372.360654,3571,17950.653471
-543.189241,3571,18040.673322
707.560848,3571,18133.486309
-147.697249,3571,18218.760049
3470.854129,3571,18306.964912
4040.904417,3571,18396.151783
2003.373645,3571,18490.040421
4316.305861,3571,18581.400111
-543.924951,3571,18674.655369
-408.079506,3571,18763.078324
4784.106307,3571,18853.968925
-1.151905,3571,18941.420123
-538.616603,3571,19036.244687
2220.20726,3571,19127.05236
4745.799365,3571,19213.920031
4490.702818,3571,19301.405149
4841.479389,3571,19386.892654
572.99538,3571,19475.759562
4944.736153,3571,19562.441479
3139.427553,3571,19648.350542
5115.891157,3571,19736.099126
-368.811841,3571,19824.50225
4871.298629,3571,19911.393734
-36.707265,3571,19997.617584
-335.616568,3571,20086.49767
4174.884224,3571,20173.071312
4994.292698,3571,20257.762666
516.473882,3571,20339.261521
691.619499,3571,20426.641077
5199.501267,3571,20512.343317
4925.665912,3571,20598.979054
-528.369179,3571,20689.70377
-283.662729,3571,20778.027089
-439.065531,3571,20864.940692
-327.656511,3571,20952.80793
-170.879365,3571,21036.95015
5546.388894,3571,21125.592555
-862.079616,3571,21206.759979
-544.500457,3571,21298.386743
-215.328051,3571,21381.458031
-344.455496,3571,21466.861649
-353.096943,3571,21548.223028
-555.620919,3571,21640.7724
-214.852109,187,21644.730312
-252.653346,3571,21732.981183
5133.379866,3571,21827.847103
4960.617042,3571,21929.206554
4593.958254,3571,22019.375519
4595.713801,3571,22110.856045
5080.256219,3571,22198.715562
4404.944107,3571,22285.153235
4977.352707,3571,22370.645326
-204.217592,3571,22456.336838
5412.198988,3571,22546.761868
494.45488,3571,22637.893979
5825.028468,3571,22725.998172
-536.010707,3571,22818.431355
1244.643138,3571,22909.614468
1692.138836,3571,22998.688597
5429.593871,3571,23087.290091
5222.345503,3571,23174.698581
-524.220603,3571,23266.125719
5828.047209,3571,23354.055354
-517.141134,3571,23445.751739
1432.449451,3571,23535.075943
-517.317842,3571,23625.518365
-531.149786,3571,23718.813558
-529.62043,3571,23809.639227
5127.349348,3571,23896.012215
-516.187065,3571,23984.341122
-513.57865,3571,24078.003461
-306.747544,3571,24166.037802
300.144814,3571,24253.363986
5416.166689,3571,24340.413385
-239.962982,3571,24428.443095
-255.61468,3571,24516.210924
-116.344674,26,24516.717137
3245.680133,3571,24604.477156
2377.249957,3571,24688.078405
1738.780046,3571,24776.259931
-6.958125,3571,24860.691613
-99.047564,3571,24944.727165
5847.849447,3571,25034.05106
5621.540776,3571,25120.904388
8.364344,3571,25203.443494
134.842214,3571,25290.135306
-253.99937,3571,25370.970556
6074.619458,3571,25455.452233
-52.837631,3571,25544.799733
5906.539525,3571,25633.158022
-568.955624,3571,25711.740568
-265.010156,3571,25798.488713
-797.249866,3571,25879.753076
6026.304895,3571,25969.797271
-561.581381,3571,26054.144441
-248.325896,3571,26143.31313
-115.57651,3571,26227.277755
-174.320786,3571,26309.11963
240.505756,3571,26394.281228
6422.300017,3571,26481.27595
4308.08695,3571,26567.71073
-28.372873,3571,26654.506154
6183.151245,3571,26746.051525
5000.424396,3571,26834.629624
6002.996162,3571,26922.027753
6329.718236,3571,27008.50306
-170.373078,3571,27092.828561
-305.640145,3571,27186.335832
6376.270392,3571,27275.940969
1532.75816,3571,27363.65467
4115.454946,3571,27451.263173
-257.024978,3571,27542.755142
-520.071244,3571,27634.303547
-224.866906,3571,27725.045269
6408.7564,3571,27812.436333
6147.80073,3571,27900.235824
6261.098069,3571,27990.614111
6338.672525,3571,28079.162302
6212.36851,3571,28166.670144
6310.308496,3571,28252.914525
6090.261284,3571,28343.022597
6357.384343,3571,28429.718108
5953.367064,3571,28517.189866
6167.892855,3571,28604.748094
6203.274901,3571,28692.979174
6555.12354,3571,28780.987562
6144.681732,3571,28866.353768
-434.421917,3571,28952.828395
-507.967913,3571,29046.092517
3362.477355,3571,29134.380014
