#{"t_start": 1595682785.6637444, "env_id": null}
r,l,t
-4016.590676,3571,102.612868
-4555.622411,3571,200.771062
-4927.000013,3571,294.862799
-4743.289179,3571,387.498264
-3375.016445,3571,491.598244
-2645.776379,3571,598.623792
-3844.653087,3571,700.838771
-3132.554317,3571,805.002189
-3742.445421,3571,906.507657
-4314.944249,3571,1005.335348
-4121.161952,3571,1101.897925
-4239.657718,3571,1197.328223
-3301.882224,3571,1297.746113
-4261.439959,3571,1396.592803
-3047.811944,3571,1500.039227
-3854.033798,3571,1597.833793
-2794.928549,3571,1704.529262
-2940.554508,3571,1809.448719
-3576.875266,3571,1908.324035
-2561.218334,3571,2014.703053
-2698.141871,3571,2118.096748
-3293.970237,3571,2220.763784
-2936.502508,3571,2327.252088
-3254.52471,3571,2426.367813
-3563.283793,3571,2525.995807
-3312.394835,3571,2626.237081
-3439.093639,3571,2726.759917
-2085.164189,3571,2832.823621
-2483.297041,3571,2938.023706
-2735.460338,3571,3041.259541
-2593.488677,3571,3145.664316
-2584.649709,3571,3248.35171
-2007.706615,3571,3359.878834
-2525.840509,3571,3463.43523
-2602.560441,3571,3567.853526
-2084.919375,3571,3679.491542
-2190.000654,3571,3787.495523
-2481.211208,3571,3891.009569
-2242.878154,3571,3997.856802
-2302.692642,3571,4103.428078
-2057.224471,3571,4213.943072
-1443.771754,3571,4326.460607
-2028.601253,3571,4436.309862
-2023.176638,3571,4550.137673
