#{"t_start": 1595767125.6140668, "env_id": null}
r,l,t
-4982.665217,3571,79.553003
-4348.112486,3571,159.051909
-3932.518106,3571,238.826604
-4626.221538,3571,317.349453
-3532.614535,3571,402.062066
-4088.492244,3571,484.081039
-3165.283831,3571,567.888285
-3830.11044,3571,648.832682
-3697.771794,3571,733.736071
-2835.537162,3571,820.496602
-3831.720196,3571,901.422055
-4269.361714,3571,982.742434
-3563.675949,3571,1064.486265
-3452.775943,3571,1149.941799
-3202.97211,3571,1235.288135
-3084.911953,3571,1319.066636
-2854.904164,3571,1404.023799
-1742.464917,3571,1500.6414
-2609.39929,3571,1588.048254
-1677.842296,3571,1683.163877
-2176.644798,3571,1773.850998
-2411.520296,3571,1863.421294
-2023.718538,3571,1959.321542
-1465.501388,3571,2055.4115
-2005.984115,3571,2145.156094
-1625.133048,3571,2241.135539
-1499.262231,3571,2338.762207
-1250.217621,3571,2437.065725
-1789.855275,3571,2532.588544
-1438.602441,3571,2628.225804
-2104.936841,3571,2719.780834
-1611.713925,3571,2816.361861
-1358.594326,3571,2912.709244
-1440.412605,3571,3006.953173
-2013.658285,3571,3099.621417
-1952.823216,3571,3193.562146
-1509.792838,3571,3287.33425
-1086.230495,3571,3384.146887
-1178.786975,3571,3478.273516
-1327.015515,3571,3572.915585
-1821.771336,3571,3667.504908
-1461.227126,3571,3759.390893
-1027.296721,3571,3854.002436
-1479.997869,3571,3946.367055
-2228.84007,3571,4036.895174
-1441.119994,3571,4133.09335
-1357.734788,3571,4226.946941
-1165.976464,3571,4321.547878
-1379.474548,3571,4415.21616
-1552.571427,3571,4511.297169
-1025.232044,3571,4609.1237
-1820.016294,3571,4701.580344
-1984.690344,3571,4792.784291
-1931.926047,3571,4887.200982
-1805.442858,3571,4982.555898
-1515.02302,3571,5075.319125
-2182.348925,3571,5165.001387
-1649.062118,3571,5255.572853
-914.434184,3571,5358.40679
-1252.096885,3571,5451.718446
-1283.786459,3571,5547.27254
-844.371775,3571,5643.755351
-835.034736,3571,5745.895846
-1108.852704,3571,5844.5611
-854.859422,3571,5944.869088
-726.625318,3571,6044.268888
-1015.474962,3571,6142.825102
-819.798612,3571,6242.258125
-873.968386,3571,6343.498752
-664.490677,3571,6444.270733
-918.722909,3571,6544.027659
-501.10254,3571,6645.562316
-801.742567,3571,6742.252631
-542.855718,3571,6844.622362
-337.260401,3571,6948.482651
-615.641671,3571,7048.000539
-395.756165,3571,7154.009676
-447.891032,3571,7256.228815
-544.816316,3571,7357.008409
-134.74335,3571,7461.119223
290.669683,3571,7566.308754
-733.177578,3571,7667.186674
-606.777574,3571,7763.664369
66.352632,3571,7867.533771
-538.026278,3571,7975.256493
-760.455916,3571,8072.12577
124.271766,3571,8173.918948
-69.67941,3571,8275.624868
-45.182641,3571,8379.190046
168.122856,3571,8484.88546
-47.159198,3571,8588.230173
-464.55598,3571,8691.113541
162.363591,3571,8798.504575
-19.936865,3571,8900.502484
182.492849,3571,9006.896556
-121.000249,35,9007.85616
-455.344728,3571,9105.787795
775.182159,3571,9207.45274
229.1795,3571,9312.430935
6.514484,3571,9411.329237
-501.237617,3571,9506.307091
369.679834,3571,9612.168791
-326.865888,3571,9718.02154
-605.995713,3571,9827.883561
329.407504,3571,9934.904272
-74.124373,3571,10035.299625
-596.226159,3571,10141.530868
-395.349356,3571,10238.675439
2035.037501,3571,10343.391891
-118.672635,29,10344.172534
123.087549,3571,10448.053287
-613.750682,3571,10550.806969
-621.531325,3571,10657.488598
-340.884701,3571,10767.47821
1751.175776,3571,10871.110546
1854.194552,3571,10972.608142
-500.525114,3571,11067.255141
901.165503,3571,11165.005517
-427.496992,3571,11262.067305
1256.443298,3571,11365.31286
-466.22853,3571,11465.998471
80.767927,3571,11563.865038
-395.92425,3571,11666.449904
-367.388793,3571,11767.289033
2611.674516,3571,11870.104941
2285.326452,3571,11970.360843
1519.032028,3571,12072.358136
2062.078873,3571,12176.103815
62.14127,3571,12281.198455
-581.4912,3571,12387.021234
2166.490682,3571,12490.264833
-453.09536,3571,12594.582042
2119.877731,3571,12698.210542
-37.659751,3571,12803.792843
2912.637131,3571,12908.471259
731.435317,3571,13011.716825
-301.665061,3571,13112.975467
-738.541284,3571,13217.726599
21.844056,3571,13319.611729
2541.192805,3571,13422.60428
2467.240322,3571,13527.351732
2948.656183,3571,13630.707835
-372.385515,3571,13732.91082
2317.813724,3571,13835.852317
-460.360255,3571,13928.293519
-480.280733,3571,14034.606545
1369.374214,3571,14136.561327
-609.668924,3571,14245.465973
-599.323166,3571,14351.247959
286.196109,3571,14458.515116
-606.971487,3571,14564.5348
-427.766629,3571,14659.226573
-337.238942,3571,14764.914338
-594.465325,3571,14871.607774
1585.89743,3571,14978.488967
7.913804,3571,15084.724173
-599.564768,3571,15189.946209
438.024433,3571,15289.293153
2504.225268,3571,15390.981349
-589.370554,3571,15497.485061
671.11035,3571,15603.169235
-877.773471,3571,15702.390817
-586.306145,3571,15801.313395
-597.478182,3571,15909.593614
211.539029,3571,16008.249906
418.575341,3571,16112.070701
1997.131324,3571,16213.801323
2971.458236,3571,16317.427685
424.442043,3571,16418.800034
-793.832155,3571,16520.741948
2658.936668,3571,16623.551545
-344.104963,3571,16727.309227
-393.449575,3571,16823.05301
-577.797035,3571,16928.920415
-596.235116,3571,17031.394186
858.230983,3571,17133.343876
-606.243544,3571,17240.306398
3247.993979,3571,17342.248702
1614.777448,3571,17444.875071
-425.825475,3571,17547.690566
-577.759285,3571,17656.124667
3636.542178,3571,17760.197645
-168.098454,3571,17867.631205
-17.142564,3571,17972.776245
-577.725251,3571,18079.218396
-582.574218,3571,18186.022222
3709.060304,3571,18288.155394
-587.899226,3571,18393.944714
-594.531613,3571,18499.703146
-587.175067,3571,18604.883283
-573.05425,3571,18715.311459
-564.604488,3571,18819.261939
3495.749148,3571,18921.14241
-193.337477,3571,19027.584782
3254.695109,3571,19129.749187
-591.949387,3571,19233.406165
1646.057,3571,19336.98034
-105.857405,3571,19444.028388
-598.406588,3571,19549.492367
673.476246,3571,19652.053999
3456.847523,3571,19753.205442
-559.314159,3571,19861.25879
-39.217396,3571,19967.134062
3570.273739,3571,20071.536684
3721.312058,3571,20173.508676
-583.010316,3571,20279.833671
3329.970398,3571,20381.957404
3938.438593,3571,20483.55058
-260.116073,3571,20590.542903
-736.751647,3571,20694.520918
4195.996855,3571,20797.635387
-1169.353185,1925,20844.17997
-1111.87907,3571,20934.941523
2081.10187,3571,21038.343567
-156.508157,3571,21136.344357
-560.50684,3571,21244.0832
-589.035044,3571,21341.111149
-490.509046,3571,21450.333631
1880.051235,3571,21552.480046
199.295947,3571,21657.505807
1287.294255,3571,21760.895566
1487.202211,3571,21865.515513
2052.586371,3571,21965.713771
3918.480182,3571,22064.802554
-560.997097,3571,22170.442215
3665.999252,3571,22272.019866
-576.102029,3571,22378.111507
192.386347,3571,22483.111772
4368.760343,3571,22586.797894
4211.149436,3571,22688.154601
-106.690747,3571,22793.055663
1052.266847,3571,22897.299734
62.640268,3571,23003.86435
455.743152,3571,23110.486999
1627.939915,3571,23211.816909
-571.196589,3571,23318.706687
-544.733529,3571,23410.603698
3574.328995,3571,23513.858078
-460.189583,3571,23612.668839
3294.524659,3571,23715.36698
-662.20543,3571,23808.493937
3368.350034,3571,23909.170933
1428.396962,3571,24010.250239
4126.602484,3571,24112.481912
-170.295422,3571,24211.41955
-408.382187,3571,24306.828785
3007.651205,3571,24411.462005
3527.750219,3571,24514.560174
-279.024105,3571,24616.318574
-116.139801,3571,24712.435854
3652.781227,3571,24811.830824
2844.518869,3571,24913.829282
3579.32422,3571,25011.6561
4477.797058,3571,25111.265068
-561.422538,3571,25210.90015
-264.859066,3571,25306.691689
4739.870171,3571,25400.807701
1698.394165,3571,25497.739088
3154.753194,3571,25589.745997
5421.592383,3571,25683.601607
5262.142174,3571,25777.802109
-116.855888,28,25778.455801
2704.379842,3571,25875.411365
-258.083452,3571,25973.434836
474.031193,3571,26065.80567
-83.214895,3571,26151.51437
3565.80228,3571,26244.897417
4812.948454,3571,26338.080062
5587.322589,3571,26429.188299
4781.410016,3571,26520.051014
3467.956111,3571,26612.866515
-270.903986,3571,26704.274377
3016.949779,3571,26798.493392
4953.970762,3571,26889.162054
2283.017985,3571,26976.990443
5247.029562,3571,27068.87891
5376.232088,3571,27162.587649
660.650863,3571,27249.651603
5674.408903,3571,27342.175823
5634.486543,3571,27435.583452
5586.704117,3571,27528.75606
-244.266523,3571,27619.875135
-536.472264,3571,27722.544682
-530.290927,3571,27849.160795
-117.408456,29,27849.89329
2696.489608,3571,27939.388462
